name,category,lat,lon,height_m
Pylon 8397020720,POWER_PYLON,27.844358,93.904692,40.0
Pylon 8397020721,POWER_PYLON,27.843144,93.902568,40.0
Pylon 8397020722,POWER_PYLON,27.841626,93.900315,40.0
Pylon 8397020723,POWER_PYLON,27.840260,93.896173,40.0
Pylon 8397020724,POWER_PYLON,27.839463,93.894156,40.0
Pylon 8397020725,POWER_PYLON,27.846919,93.903812,40.0
Pylon 8397020726,POWER_PYLON,27.850240,93.901817,40.0
Pylon 8397020727,POWER_PYLON,27.852744,93.900679,40.0
Pylon 8397020728,POWER_PYLON,27.854338,93.899607,40.0
Pylon 8397020729,POWER_PYLON,27.855343,93.897246,40.0
Pylon 8397020730,POWER_PYLON,27.856766,93.896431,40.0
Pylon 8397020731,POWER_PYLON,27.860257,93.896946,40.0
Pylon 8397020732,POWER_PYLON,27.862685,93.897096,40.0
Pylon 8397020733,POWER_PYLON,27.864013,93.896881,40.0
Pylon 8397020734,POWER_PYLON,27.865644,93.894843,40.0
Pylon 8397020735,POWER_PYLON,27.870614,93.891174,40.0
Pylon 8397020736,POWER_PYLON,27.874010,93.892931,40.0
Pylon 8397020737,POWER_PYLON,27.878809,93.892394,40.0
Pylon 12312904921,POWER_PYLON,27.500754,94.310224,40.0
Pylon 12312936507,POWER_PYLON,27.543612,94.270774,40.0
Pylon 12312936508,POWER_PYLON,27.541658,94.273939,40.0
Pylon 12312936509,POWER_PYLON,27.539246,94.277029,40.0
Pylon 12312936510,POWER_PYLON,27.537258,94.280613,40.0
Pylon 12312936511,POWER_PYLON,27.536863,94.284378,40.0
Pylon 12312936512,POWER_PYLON,27.538899,94.287028,40.0
Pylon 12312936513,POWER_PYLON,27.541636,94.289732,40.0
Pylon 12312936514,POWER_PYLON,27.541719,94.290974,40.0
Pylon 12312936515,POWER_PYLON,27.537836,94.294817,40.0
Pylon 12312936516,POWER_PYLON,27.536168,94.295558,40.0
Pylon 12312936517,POWER_PYLON,27.533752,94.297097,40.0
Pylon 12312936518,POWER_PYLON,27.532001,94.299147,40.0
Pylon 12312936519,POWER_PYLON,27.530199,94.301126,40.0
Pylon 12312936520,POWER_PYLON,27.528491,94.300970,40.0
Pylon 12312936521,POWER_PYLON,27.525927,94.302124,40.0
Pylon 12312936522,POWER_PYLON,27.523325,94.303320,40.0
Pylon 12312936523,POWER_PYLON,27.520465,94.305788,40.0
Pylon 12312936524,POWER_PYLON,27.516873,94.305831,40.0
Pylon 12312936525,POWER_PYLON,27.513334,94.305906,40.0
Pylon 12312936526,POWER_PYLON,27.512858,94.306684,40.0
Pylon 12312936527,POWER_PYLON,27.511245,94.306544,40.0
Pylon 12312936528,POWER_PYLON,27.510279,94.307697,40.0
Pylon 12312936529,POWER_PYLON,27.508743,94.308202,40.0
Pylon 12312936530,POWER_PYLON,27.506758,94.306458,40.0
Pylon 12312936531,POWER_PYLON,27.505550,94.303808,40.0
Pylon 12312936532,POWER_PYLON,27.502124,94.303417,40.0
Pylon 12312936606,POWER_PYLON,27.544271,94.269948,40.0
Pylon 12312936607,POWER_PYLON,27.542476,94.275243,40.0
