lat,lon,elev_m,slope_deg,roughness_m,surface_type
27.950000,93.800000,1645.00,21.800,40.72,hilly
27.950000,93.802000,1602.23,22.116,49.88,hilly
27.950000,93.804000,1559.47,22.431,50.46,hilly
27.950000,93.806000,1516.70,22.748,51.05,hilly
27.950000,93.808000,1473.94,23.064,51.64,hilly
27.950000,93.810000,1431.17,23.381,52.23,hilly
27.950000,93.812000,1388.40,23.698,52.83,hilly
27.950000,93.814000,1345.64,24.014,53.44,hilly
27.950000,93.816000,1302.87,24.331,54.05,hilly
27.950000,93.818000,1260.10,24.648,54.66,hilly
27.950000,93.820000,1217.34,23.399,48.47,hilly
27.950000,93.822000,1207.81,22.418,43.47,hilly
27.950000,93.824000,1204.07,22.266,43.04,hilly
27.950000,93.826000,1200.32,22.159,42.82,hilly
27.950000,93.828000,1196.58,22.053,42.59,hilly
27.950000,93.830000,1192.83,21.946,42.36,hilly
27.950000,93.832000,1189.09,21.839,42.14,hilly
27.950000,93.834000,1185.34,21.732,41.91,hilly
27.950000,93.836000,1181.60,21.625,41.68,hilly
27.950000,93.838000,1177.85,21.518,41.46,hilly
27.950000,93.840000,1174.11,21.523,41.67,hilly
27.950000,93.842000,1159.62,21.377,42.52,hilly
27.950000,93.844000,1140.60,20.898,42.07,hilly
27.950000,93.846000,1121.58,20.284,40.85,hilly
27.950000,93.848000,1102.57,19.666,39.64,hilly
27.950000,93.850000,1083.55,19.045,38.43,hilly
27.950000,93.852000,1064.53,18.421,37.23,hilly
27.950000,93.854000,1045.51,17.795,36.04,hilly
27.950000,93.856000,1026.49,17.167,34.86,hilly
27.950000,93.858000,1007.47,16.537,33.69,hilly
27.950000,93.860000,988.46,16.761,36.45,hilly
27.950000,93.862000,953.40,18.239,43.90,hilly
27.950000,93.864000,905.51,18.771,47.22,hilly
27.950000,93.866000,857.62,18.204,46.35,hilly
27.950000,93.868000,809.73,17.656,45.53,hilly
27.950000,93.870000,761.84,17.129,44.76,hilly
27.950000,93.872000,713.95,16.626,44.04,hilly
27.950000,93.874000,666.06,16.151,43.37,hilly
27.950000,93.876000,618.17,15.706,42.76,hilly
27.950000,93.878000,570.28,15.296,42.20,hilly
27.950000,93.880000,522.39,9.125,25.79,rolling
27.950000,93.882000,523.97,11.940,35.34,rolling
27.950000,93.884000,597.58,20.805,59.29,hilly
27.950000,93.886000,671.19,20.638,59.05,hilly
27.950000,93.888000,744.79,20.530,58.90,hilly
27.950000,93.890000,818.40,20.483,58.83,hilly
27.950000,93.892000,892.01,20.498,58.86,hilly
27.950000,93.894000,965.62,20.574,58.96,hilly
27.950000,93.896000,1039.23,20.711,59.15,hilly
27.950000,93.898000,1112.84,20.907,59.43,hilly
27.950000,93.900000,1186.45,19.710,55.54,hilly
27.950000,93.902000,1248.25,14.046,39.97,rolling
27.950000,93.904000,1276.23,8.547,27.04,rolling
27.950000,93.906000,1304.22,8.087,26.55,rolling
27.950000,93.908000,1332.20,8.748,27.27,rolling
27.950000,93.910000,1360.19,10.304,29.10,rolling
27.950000,93.912000,1388.17,12.396,31.86,rolling
27.950000,93.914000,1416.16,14.764,35.32,rolling
27.950000,93.916000,1444.14,17.256,39.31,hilly
27.950000,93.918000,1472.13,19.785,43.68,hilly
27.950000,93.920000,1500.11,22.413,48.37,hilly
27.950000,93.922000,1530.68,25.448,53.71,hilly
27.950000,93.924000,1582.02,24.880,56.35,hilly
27.950000,93.926000,1633.36,23.160,53.12,hilly
27.950000,93.928000,1684.70,21.479,50.11,hilly
27.950000,93.930000,1736.04,19.871,47.38,hilly
27.950000,93.932000,1787.38,18.376,44.96,hilly
27.950000,93.934000,1838.72,17.047,42.91,hilly
27.950000,93.936000,1890.05,15.945,41.29,hilly
27.950000,93.938000,1941.39,15.137,40.15,hilly
27.950000,93.940000,1992.73,14.685,39.53,rolling
27.950000,93.942000,2044.07,8.554,24.58,rolling
27.950000,93.944000,2051.69,2.425,5.69,flat
27.950000,93.946000,2057.60,2.528,5.57,flat
27.950000,93.948000,2063.52,2.861,6.09,flat
27.950000,93.950000,2069.43,3.219,6.66,flat
27.950000,93.952000,2075.34,3.593,7.28,flat
27.950000,93.954000,2081.25,3.978,7.93,flat
27.950000,93.956000,2087.16,4.372,8.60,flat
27.950000,93.958000,2093.08,4.773,9.29,flat
27.950000,93.960000,2098.99,5.178,10.00,rolling
27.950000,93.962000,2104.90,5.576,10.86,rolling
27.950000,93.964000,2110.57,6.372,12.04,rolling
27.950000,93.966000,2116.19,7.275,13.62,rolling
27.950000,93.968000,2121.81,8.183,15.29,rolling
27.950000,93.970000,2127.42,9.091,16.97,rolling
27.950000,93.972000,2133.04,9.997,18.66,rolling
27.950000,93.974000,2138.66,10.901,20.36,rolling
27.950000,93.976000,2144.27,11.801,22.06,rolling
27.950000,93.978000,2149.89,12.696,23.77,rolling
27.950000,93.980000,2155.51,13.586,25.48,rolling
27.950000,93.982000,2161.12,14.421,27.24,rolling
27.950000,93.984000,2148.23,15.603,31.37,hilly
27.950000,93.986000,2126.06,16.246,33.66,hilly
27.950000,93.988000,2103.89,16.446,34.02,hilly
27.950000,93.990000,2081.72,16.645,34.38,hilly
27.950000,93.992000,2059.55,16.844,34.74,hilly
27.950000,93.994000,2037.38,17.043,35.11,hilly
27.950000,93.996000,2015.21,17.243,35.48,hilly
27.950000,93.998000,1993.03,17.442,35.84,hilly
27.950000,94.000000,1970.86,17.641,36.21,hilly
27.950000,94.002000,1948.69,17.534,34.85,hilly
27.950000,94.004000,1933.66,16.817,32.14,hilly
27.950000,94.006000,1925.29,15.947,30.28,hilly
27.950000,94.008000,1916.91,15.222,28.86,hilly
27.950000,94.010000,1908.54,14.493,27.45,rolling
27.950000,94.012000,1900.16,13.760,26.04,rolling
27.950000,94.014000,1891.78,13.024,24.64,rolling
27.950000,94.016000,1883.41,12.286,23.24,rolling
27.950000,94.018000,1875.03,11.544,21.84,rolling
27.950000,94.020000,1866.66,10.801,20.46,rolling
27.950000,94.022000,1858.28,9.770,18.77,rolling
27.950000,94.024000,1866.36,11.378,26.23,rolling
27.950000,94.026000,1902.53,14.285,34.38,rolling
27.950000,94.028000,1938.69,14.644,34.93,rolling
27.950000,94.030000,1974.86,15.011,35.50,hilly
27.950000,94.032000,2011.02,15.385,36.08,hilly
27.950000,94.034000,2047.18,15.766,36.69,hilly
27.950000,94.036000,2083.35,16.152,37.31,hilly
27.950000,94.038000,2119.51,16.543,37.95,hilly
27.950000,94.040000,2155.68,16.939,38.60,hilly
27.950000,94.042000,2191.84,16.235,35.03,hilly
27.950000,94.044000,2212.78,14.226,28.16,rolling
27.950000,94.046000,2180.16,15.167,33.35,hilly
27.950000,94.048000,2147.55,13.645,30.86,rolling
27.950000,94.050000,2114.93,12.248,28.67,rolling
27.950000,94.052000,2082.31,11.042,26.88,rolling
27.950000,94.054000,2049.70,10.109,25.55,rolling
27.950000,94.056000,2017.08,9.540,24.78,rolling
27.950000,94.058000,1984.46,9.408,24.60,rolling
27.950000,94.060000,1951.85,9.732,25.04,rolling
27.950000,94.062000,1919.23,10.359,25.77,rolling
27.950000,94.064000,1887.48,10.006,23.44,rolling
27.950000,94.066000,1866.69,8.386,20.80,rolling
27.950000,94.068000,1845.90,7.908,20.15,rolling
27.950000,94.070000,1825.10,7.466,19.56,rolling
27.950000,94.072000,1804.31,7.068,19.04,rolling
27.950000,94.074000,1783.52,6.721,18.61,rolling
27.950000,94.076000,1762.73,6.435,18.26,rolling
27.950000,94.078000,1741.94,6.219,18.00,rolling
27.950000,94.080000,1721.15,6.080,17.84,rolling
27.950000,94.082000,1700.35,6.024,17.77,rolling
27.950000,94.084000,1679.56,7.133,20.80,rolling
27.950000,94.086000,1651.21,8.341,23.97,rolling
27.950000,94.088000,1622.23,8.492,24.28,rolling
27.950000,94.090000,1593.26,8.578,24.39,rolling
27.950000,94.092000,1564.29,8.684,24.52,rolling
27.950000,94.094000,1535.32,8.810,24.67,rolling
27.950000,94.096000,1506.35,8.955,24.85,rolling
27.950000,94.098000,1477.38,9.117,25.05,rolling
27.950000,94.100000,1448.41,9.297,25.28,rolling
27.950000,94.102000,1419.44,9.492,25.53,rolling
27.950000,94.104000,1390.47,12.009,32.68,rolling
27.950000,94.106000,1342.98,14.944,41.28,rolling
27.950000,94.108000,1290.16,15.475,43.09,hilly
27.950000,94.110000,1237.34,15.339,42.91,hilly
27.950000,94.112000,1184.53,15.226,42.76,hilly
27.950000,94.114000,1131.71,15.135,42.64,hilly
27.950000,94.116000,1078.89,15.068,42.55,hilly
27.950000,94.118000,1026.08,15.024,42.50,hilly
27.950000,94.120000,973.26,15.004,42.47,hilly
27.950000,94.122000,920.44,15.008,42.48,hilly
27.950000,94.124000,867.62,10.586,30.74,rolling
27.950000,94.126000,847.13,3.233,10.74,flat
27.950000,94.128000,845.75,0.622,2.92,flat
27.950000,94.130000,844.37,1.610,4.00,flat
27.950000,94.132000,842.99,2.672,5.59,flat
27.950000,94.134000,841.61,3.744,7.38,flat
27.950000,94.136000,840.24,4.817,9.25,flat
27.950000,94.138000,838.86,5.889,11.16,rolling
27.950000,94.140000,837.48,6.957,13.09,rolling
27.950000,94.142000,836.10,8.021,15.03,rolling
27.950000,94.144000,834.72,9.619,19.22,rolling
27.950000,94.146000,813.70,12.691,29.99,rolling
27.950000,94.148000,771.43,14.185,35.97,rolling
27.950000,94.150000,729.15,13.541,35.05,rolling
27.950000,94.152000,686.88,12.999,34.30,rolling
27.950000,94.154000,644.61,12.573,33.73,rolling
27.950000,94.156000,602.33,12.279,33.34,rolling
27.950000,94.158000,560.06,12.127,33.14,rolling
27.950000,94.160000,517.79,12.123,33.14,rolling
27.950000,94.162000,475.51,12.268,33.33,rolling
27.950000,94.164000,433.24,10.426,27.66,rolling
27.950000,94.166000,406.93,5.479,13.37,rolling
27.950000,94.168000,412.74,5.651,11.44,rolling
27.950000,94.170000,418.56,6.404,12.72,rolling
27.950000,94.172000,424.37,7.161,14.03,rolling
27.950000,94.174000,430.19,7.921,15.37,rolling
27.950000,94.176000,436.00,8.682,16.73,rolling
27.950000,94.178000,441.81,9.442,18.10,rolling
27.950000,94.180000,447.63,10.201,19.49,rolling
27.950000,94.182000,453.44,10.958,20.88,rolling
27.950000,94.184000,459.25,11.837,22.82,rolling
27.950000,94.186000,470.27,13.761,29.64,rolling
27.950000,94.188000,504.36,15.495,35.95,hilly
27.950000,94.190000,538.46,15.499,35.95,hilly
27.950000,94.192000,572.55,15.503,35.96,hilly
27.950000,94.194000,606.64,15.507,35.97,hilly
27.950000,94.196000,640.74,15.511,35.97,hilly
27.950000,94.198000,674.83,15.515,35.98,hilly
27.950000,94.200000,708.93,15.519,35.99,hilly
27.950000,94.202000,743.02,15.523,35.99,hilly
27.950000,94.204000,777.12,15.479,35.80,hilly
27.950000,94.206000,810.63,14.207,30.66,rolling
27.950000,94.208000,828.47,12.628,25.59,rolling
27.950000,94.210000,846.31,12.025,24.53,rolling
27.950000,94.212000,864.14,11.426,23.49,rolling
27.950000,94.214000,881.98,10.832,22.48,rolling
27.950000,94.216000,899.81,10.246,21.49,rolling
27.950000,94.218000,917.65,9.669,20.54,rolling
27.950000,94.220000,935.48,9.103,19.62,rolling
27.950000,94.222000,953.32,8.552,18.74,rolling
27.950000,94.224000,971.16,8.020,17.91,rolling
27.950000,94.226000,988.99,6.168,13.13,rolling
27.950000,94.228000,990.83,4.957,9.15,flat
27.950000,94.230000,990.63,4.447,8.23,flat
27.950000,94.232000,990.43,3.941,7.30,flat
27.950000,94.234000,990.23,3.436,6.38,flat
27.950000,94.236000,990.04,2.929,5.47,flat
27.950000,94.238000,989.84,2.422,4.56,flat
27.950000,94.240000,989.64,1.915,3.66,flat
27.950000,94.242000,989.45,1.408,2.78,flat
27.950000,94.244000,989.25,0.900,1.94,flat
27.950000,94.246000,989.05,3.536,11.68,flat
27.950000,94.248000,965.04,8.151,23.25,rolling
27.950000,94.250000,932.62,9.343,26.54,rolling
27.950000,94.252000,900.20,9.342,26.54,rolling
27.950000,94.254000,867.78,9.342,26.54,rolling
27.950000,94.256000,835.36,9.342,26.54,rolling
27.950000,94.258000,802.94,9.342,26.54,rolling
27.950000,94.260000,770.52,9.343,26.54,rolling
27.950000,94.262000,738.10,9.344,26.54,rolling
27.950000,94.264000,705.68,9.346,26.54,rolling
27.950000,94.266000,673.26,8.431,23.73,rolling
27.950000,94.268000,647.31,6.863,18.86,rolling
27.950000,94.270000,625.82,6.261,16.90,rolling
27.950000,94.272000,604.34,6.375,17.04,rolling
27.950000,94.274000,582.86,6.557,17.28,rolling
27.950000,94.276000,561.38,6.803,17.60,rolling
27.950000,94.278000,539.90,7.104,18.00,rolling
27.950000,94.280000,518.42,7.455,18.48,rolling
27.950000,94.282000,496.94,7.849,19.03,rolling
27.950000,94.284000,475.45,8.277,19.65,rolling
27.950000,94.286000,453.97,8.107,18.25,rolling
27.950000,94.288000,438.99,6.881,14.39,rolling
27.950000,94.290000,432.19,5.497,11.61,rolling
27.950000,94.292000,425.39,4.585,10.18,flat
27.950000,94.294000,418.59,3.713,8.90,flat
27.950000,94.296000,411.79,2.918,7.84,flat
27.950000,94.298000,404.99,2.286,7.10,flat
27.950000,94.300000,398.19,1.982,6.78,flat
27.950000,94.302000,391.40,2.150,6.95,flat
27.950000,94.304000,384.60,2.704,7.57,flat
27.950000,94.306000,377.80,3.401,7.97,flat
27.950000,94.308000,371.75,3.763,7.28,flat
27.950000,94.310000,367.52,3.372,6.57,flat
27.950000,94.312000,363.28,3.081,6.07,flat
27.950000,94.314000,359.04,2.794,5.58,flat
27.950000,94.316000,354.80,2.515,5.11,flat
27.950000,94.318000,350.57,2.245,4.67,flat
27.950000,94.320000,346.33,1.989,4.26,flat
27.950000,94.322000,342.09,1.752,3.90,flat
27.950000,94.324000,337.85,1.543,3.59,flat
27.950000,94.326000,333.62,1.015,2.40,flat
27.950000,94.328000,332.29,2.108,7.33,flat
27.950000,94.330000,347.96,4.547,12.99,flat
27.950000,94.332000,363.63,4.546,12.99,flat
27.950000,94.334000,379.29,4.552,13.00,flat
27.950000,94.336000,394.96,4.565,13.02,flat
27.950000,94.338000,410.63,4.587,13.04,flat
27.950000,94.340000,426.30,4.615,13.08,flat
27.950000,94.342000,441.97,4.651,13.12,flat
27.950000,94.344000,457.63,4.693,13.17,flat
27.950000,94.346000,473.30,4.743,13.23,flat
27.950000,94.348000,488.97,6.267,17.93,rolling
27.950000,94.350000,515.26,7.858,22.29,rolling
27.950000,94.352000,541.57,7.992,22.46,rolling
27.950000,94.354000,567.88,8.147,22.65,rolling
27.950000,94.356000,594.19,8.324,22.87,rolling
27.950000,94.358000,620.50,8.524,23.12,rolling
27.950000,94.360000,646.81,8.743,23.41,rolling
27.950000,94.362000,673.12,8.981,23.72,rolling
27.950000,94.364000,699.43,9.235,24.05,rolling
27.950000,94.366000,725.74,9.504,24.41,rolling
27.950000,94.368000,752.05,7.348,16.96,rolling
27.950000,94.370000,752.73,6.135,11.34,rolling
27.950000,94.372000,748.89,6.001,11.36,rolling
27.950000,94.374000,745.05,5.784,10.97,rolling
27.950000,94.376000,741.21,5.568,10.58,rolling
27.950000,94.378000,737.36,5.352,10.20,rolling
27.950000,94.380000,733.52,5.135,9.81,rolling
27.950000,94.382000,729.68,4.920,9.43,flat
27.950000,94.384000,725.83,4.704,9.05,flat
27.950000,94.386000,721.99,4.489,8.67,flat
27.950000,94.388000,718.15,4.166,7.91,flat
27.950000,94.390000,718.11,4.036,7.46,flat
27.950000,94.392000,719.68,4.011,7.42,flat
27.950000,94.394000,721.26,3.966,7.33,flat
27.950000,94.396000,722.84,3.922,7.25,flat
27.950000,94.398000,724.41,3.877,7.17,flat
27.950000,94.400000,725.99,3.832,7.04,flat
27.948000,93.800000,1719.81,21.574,64.52,hilly
27.948000,93.802000,1678.73,21.893,70.90,hilly
27.948000,93.804000,1637.65,22.214,72.12,hilly
27.948000,93.806000,1596.58,22.534,73.34,hilly
27.948000,93.808000,1555.50,22.855,74.57,hilly
27.948000,93.810000,1514.42,23.176,75.81,hilly
27.948000,93.812000,1473.35,23.497,77.05,hilly
27.948000,93.814000,1432.27,23.818,78.29,hilly
27.948000,93.816000,1391.19,24.138,79.54,hilly
27.948000,93.818000,1350.12,24.459,80.79,hilly
27.948000,93.820000,1309.04,23.342,77.56,hilly
27.948000,93.822000,1299.35,22.424,74.88,hilly
27.948000,93.824000,1295.12,22.271,74.43,hilly
27.948000,93.826000,1290.90,22.165,74.03,hilly
27.948000,93.828000,1286.67,22.059,73.64,hilly
27.948000,93.830000,1282.44,21.952,73.25,hilly
27.948000,93.832000,1278.21,21.845,72.85,hilly
27.948000,93.834000,1273.99,21.738,72.46,hilly
27.948000,93.836000,1269.76,21.631,72.07,hilly
27.948000,93.838000,1265.53,21.524,71.67,hilly
27.948000,93.840000,1261.31,21.564,71.32,hilly
27.948000,93.842000,1244.69,21.522,71.06,hilly
27.948000,93.844000,1222.85,21.091,69.51,hilly
27.948000,93.846000,1201.01,20.485,67.29,hilly
27.948000,93.848000,1179.18,19.875,65.07,hilly
27.948000,93.850000,1157.34,19.263,62.86,hilly
27.948000,93.852000,1135.50,18.649,60.66,hilly
27.948000,93.854000,1113.67,18.033,58.46,hilly
27.948000,93.856000,1091.83,17.415,56.28,hilly
27.948000,93.858000,1069.99,16.797,54.10,hilly
27.948000,93.860000,1048.15,17.144,54.65,hilly
27.948000,93.862000,1009.87,18.820,58.94,hilly
27.948000,93.864000,958.41,19.444,60.30,hilly
27.948000,93.866000,906.96,18.903,58.25,hilly
27.948000,93.868000,855.50,18.382,56.28,hilly
27.948000,93.870000,804.05,17.882,54.39,hilly
27.948000,93.872000,752.59,17.406,52.59,hilly
27.948000,93.874000,701.14,16.958,50.90,hilly
27.948000,93.876000,649.68,16.540,49.32,hilly
27.948000,93.878000,598.23,16.156,47.87,hilly
27.948000,93.880000,546.77,9.941,31.87,rolling
27.948000,93.882000,544.29,10.841,35.97,rolling
27.948000,93.884000,613.13,19.606,57.71,hilly
27.948000,93.886000,681.96,19.424,56.98,hilly
27.948000,93.888000,750.80,19.307,56.51,hilly
27.948000,93.890000,819.64,19.256,56.30,hilly
27.948000,93.892000,888.47,19.272,56.37,hilly
27.948000,93.894000,957.31,19.355,56.70,hilly
27.948000,93.896000,1026.15,19.504,57.30,hilly
27.948000,93.898000,1094.99,19.716,58.15,hilly
27.948000,93.900000,1163.82,19.068,55.96,hilly
27.948000,93.902000,1225.21,15.504,44.71,hilly
27.948000,93.904000,1265.27,11.813,34.85,rolling
27.948000,93.906000,1305.34,11.494,33.70,rolling
27.948000,93.908000,1345.40,11.956,35.37,rolling
27.948000,93.910000,1385.46,13.107,39.51,rolling
27.948000,93.912000,1425.52,14.766,45.44,rolling
27.948000,93.914000,1465.59,16.753,52.57,hilly
27.948000,93.916000,1505.65,18.932,60.47,hilly
27.948000,93.918000,1545.71,21.207,68.88,hilly
27.948000,93.920000,1585.77,23.525,76.99,hilly
