name,category,lat,lon,height_m
Pylon 344371119,POWER_PYLON,13.037574,77.629188,40.0
Pylon 419809381,POWER_PYLON,13.050363,77.644385,40.0
Pylon 454082643,POWER_PYLON,13.028236,77.634907,40.0
Radar,TOWER,13.145057,77.609000,30.0
Pylon 1403889071,POWER_PYLON,12.801283,77.532279,40.0
Pylon 1403889072,POWER_PYLON,12.802439,77.534410,40.0
Pylon 1403889073,POWER_PYLON,12.805053,77.536634,40.0
Pylon 1403889074,POWER_PYLON,12.807144,77.538473,40.0
Pylon 1403889075,POWER_PYLON,12.809227,77.540283,40.0
Pylon 1403889077,POWER_PYLON,12.811661,77.542360,40.0
Pylon 1403889080,POWER_PYLON,12.814104,77.544237,40.0
Pylon 1403889081,POWER_PYLON,12.816423,77.545901,40.0
Pylon 1403889083,POWER_PYLON,12.819736,77.548451,40.0
Pylon 1403889084,POWER_PYLON,12.822998,77.550907,40.0
Pylon 1403889086,POWER_PYLON,12.825960,77.553215,40.0
Pylon 1403889087,POWER_PYLON,12.828358,77.570203,40.0
Pylon 1403889089,POWER_PYLON,12.828353,77.582294,40.0
Pylon 1403889090,POWER_PYLON,12.828383,77.572708,40.0
Pylon 1403889091,POWER_PYLON,12.828438,77.575040,40.0
Pylon 1403889092,POWER_PYLON,12.828558,77.555203,40.0
Pylon 1403889093,POWER_PYLON,12.828602,77.576910,40.0
Pylon 1403889094,POWER_PYLON,12.828754,77.557343,40.0
Pylon 1403889096,POWER_PYLON,12.828866,77.582825,40.0
Pylon 1403889097,POWER_PYLON,12.828930,77.566915,40.0
Pylon 1403889098,POWER_PYLON,12.828942,77.581296,40.0
Pylon 1403889099,POWER_PYLON,12.829030,77.561332,40.0
Pylon 1403889101,POWER_PYLON,12.829314,77.564693,40.0
Pylon 1403889102,POWER_PYLON,12.831728,77.585117,40.0
Pylon 1403889104,POWER_PYLON,12.833255,77.588376,40.0
Pylon 1403889105,POWER_PYLON,12.834207,77.591314,40.0
Pylon 1403889106,POWER_PYLON,12.836627,77.594407,40.0
Pylon 1403889108,POWER_PYLON,12.838757,77.597174,40.0
Pylon 1403889110,POWER_PYLON,12.839547,77.599707,40.0
Pylon 1403889111,POWER_PYLON,12.840555,77.603019,40.0
Pylon 1403889114,POWER_PYLON,12.841413,77.605809,40.0
Pylon 1403889115,POWER_PYLON,12.842308,77.595730,40.0
Pylon 1403889116,POWER_PYLON,12.842503,77.609307,40.0
Pylon 1403889117,POWER_PYLON,12.842548,77.598379,40.0
Pylon 1403889119,POWER_PYLON,12.842759,77.601229,40.0
Pylon 1403889120,POWER_PYLON,12.843037,77.604405,40.0
Pylon 1403889122,POWER_PYLON,12.843267,77.607035,40.0
Pylon 1403889123,POWER_PYLON,12.843471,77.612367,40.0
Pylon 1403889124,POWER_PYLON,12.844233,77.609893,40.0
Pylon 1403889125,POWER_PYLON,12.844452,77.615520,40.0
Pylon 1403889126,POWER_PYLON,12.845134,77.612531,40.0
Pylon 1403889128,POWER_PYLON,12.845428,77.618478,40.0
Pylon 1403889131,POWER_PYLON,12.846257,77.615624,40.0
Pylon 1403889132,POWER_PYLON,12.846265,77.621695,40.0
Pylon 1403889133,POWER_PYLON,12.847238,77.618381,40.0
Pylon 1403889134,POWER_PYLON,12.847746,77.624070,40.0
Pylon 1403889135,POWER_PYLON,12.848086,77.620687,40.0
Pylon 1403889137,POWER_PYLON,12.848880,77.627790,40.0
Pylon 1403889139,POWER_PYLON,12.848908,77.621420,40.0
Pylon 1403889140,POWER_PYLON,12.850622,77.629163,40.0
Pylon 1403889141,POWER_PYLON,12.850974,77.623487,40.0
Pylon 1403889142,POWER_PYLON,12.852858,77.631032,40.0
Pylon 1403889143,POWER_PYLON,12.853615,77.625450,40.0
Pylon 1403889146,POWER_PYLON,12.855240,77.632933,40.0
Pylon 1403889147,POWER_PYLON,12.855695,77.627641,40.0
Pylon 1403889148,POWER_PYLON,12.857427,77.629509,40.0
Pylon 1403889149,POWER_PYLON,12.857622,77.634929,40.0
Pylon 1403889150,POWER_PYLON,12.859710,77.631938,40.0
Pylon 1403889151,POWER_PYLON,12.860329,77.637496,40.0
Pylon 1403889153,POWER_PYLON,12.861800,77.634181,40.0
Pylon 1403889157,POWER_PYLON,12.863948,77.636427,40.0
Pylon 1403889158,POWER_PYLON,12.864962,77.641890,40.0
Pylon 1403889159,POWER_PYLON,12.865887,77.638546,40.0
Pylon 1403889160,POWER_PYLON,12.867190,77.643898,40.0
Pylon 1403889163,POWER_PYLON,12.867596,77.640962,40.0
Pylon 1403889165,POWER_PYLON,12.869402,77.643532,40.0
Pylon 1403889166,POWER_PYLON,12.869782,77.646450,40.0
Pylon 1403889167,POWER_PYLON,12.870975,77.645699,40.0
Pylon 1403889168,POWER_PYLON,12.872036,77.648610,40.0
Pylon 1403889169,POWER_PYLON,12.872600,77.647963,40.0
Pylon 1403889170,POWER_PYLON,12.872927,77.649730,40.0
Pylon 1403889172,POWER_PYLON,12.873799,77.649556,40.0
Pylon 1403889173,POWER_PYLON,12.873898,77.651085,40.0
Pylon 1403889174,POWER_PYLON,12.874297,77.650217,40.0
Pylon 1403889175,POWER_PYLON,12.874575,77.650614,40.0
Pylon 1403889176,POWER_PYLON,12.875611,77.660365,40.0
Pylon 1403889179,POWER_PYLON,12.875622,77.656751,40.0
Pylon 1403889180,POWER_PYLON,12.875621,77.653534,40.0
Pylon 1403889182,POWER_PYLON,12.875629,77.664002,40.0
Pylon 1403889183,POWER_PYLON,12.875651,77.667677,40.0
Pylon 1403889184,POWER_PYLON,12.876071,77.653176,40.0
Pylon 1403889185,POWER_PYLON,12.877260,77.670196,40.0
Pylon 1403889187,POWER_PYLON,12.877402,77.655476,40.0
Pylon 1403889188,POWER_PYLON,12.878632,77.657573,40.0
Pylon 1403889190,POWER_PYLON,12.878977,77.672904,40.0
Pylon 1403889192,POWER_PYLON,12.879232,77.688345,40.0
Pylon 1403889193,POWER_PYLON,12.879919,77.690992,40.0
Pylon 1403889194,POWER_PYLON,12.880093,77.660055,40.0
Pylon 1403889195,POWER_PYLON,12.880418,77.693448,40.0
Pylon 1403889197,POWER_PYLON,12.880550,77.675315,40.0
Pylon 1403889198,POWER_PYLON,12.881020,77.678166,40.0
Pylon 1403889199,POWER_PYLON,12.881028,77.696074,40.0
Pylon 1403889200,POWER_PYLON,12.881359,77.662300,40.0
Pylon 1403889201,POWER_PYLON,12.881535,77.681181,40.0
Pylon 1403889204,POWER_PYLON,12.881943,77.683494,40.0
Pylon 1403889205,POWER_PYLON,12.882033,77.663757,40.0
Pylon 1403889207,POWER_PYLON,12.882236,77.687348,40.0
Pylon 1403889208,POWER_PYLON,12.882343,77.663593,40.0
Pylon 1403889209,POWER_PYLON,12.882395,77.690234,40.0
Pylon 1403889210,POWER_PYLON,12.882559,77.697590,40.0
Pylon 1403889212,POWER_PYLON,12.882651,77.693926,40.0
Pylon 1403889213,POWER_PYLON,12.882784,77.664776,40.0
Pylon 1403889214,POWER_PYLON,12.882979,77.697681,40.0
Pylon 1403889215,POWER_PYLON,12.883268,77.697422,40.0
Pylon 1403889216,POWER_PYLON,12.883898,77.700710,40.0
Pylon 1403889217,POWER_PYLON,12.884094,77.666983,40.0
Pylon 1403889220,POWER_PYLON,12.884249,77.662986,40.0
Pylon 1403889221,POWER_PYLON,12.884740,77.703526,40.0
Pylon 1403889223,POWER_PYLON,12.885367,77.669185,40.0
Pylon 1403889224,POWER_PYLON,12.885659,77.706723,40.0
Pylon 1403889225,POWER_PYLON,12.886214,77.708529,40.0
Pylon 1403889227,POWER_PYLON,12.886538,77.663087,40.0
Pylon 1403889229,POWER_PYLON,12.886637,77.671419,40.0
Pylon 1403889230,POWER_PYLON,12.888004,77.673761,40.0
Pylon 1403889232,POWER_PYLON,12.888844,77.709854,40.0
Pylon 1403889234,POWER_PYLON,12.889504,77.676352,40.0
Pylon 1403889236,POWER_PYLON,12.889674,77.676248,40.0
Pylon 1403889238,POWER_PYLON,12.890837,77.678848,40.0
Pylon 1403889239,POWER_PYLON,12.890938,77.673622,40.0
Pylon 1403889240,POWER_PYLON,12.891456,77.711163,40.0
Pylon 1403889241,POWER_PYLON,12.892041,77.681111,40.0
Pylon 1403889242,POWER_PYLON,12.892115,77.671182,40.0
Pylon 1403889243,POWER_PYLON,12.892382,77.714521,40.0
Pylon 1403889246,POWER_PYLON,12.892790,77.668873,40.0
