lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
13.300000,77.400000,2964.8,40.0,POWER_PYLON
13.300000,77.402000,2754.1,40.0,POWER_PYLON
13.300000,77.404000,2544.5,40.0,POWER_PYLON
13.300000,77.406000,2336.2,40.0,POWER_PYLON
13.300000,77.408000,2129.5,40.0,POWER_PYLON
13.300000,77.410000,1925.2,40.0,POWER_PYLON
13.300000,77.412000,1723.9,40.0,POWER_PYLON
13.300000,77.414000,1526.9,40.0,POWER_PYLON
13.300000,77.416000,1336.0,40.0,POWER_PYLON
13.300000,77.418000,1154.4,40.0,POWER_PYLON
13.300000,77.420000,987.1,40.0,POWER_PYLON
13.300000,77.422000,842.8,40.0,POWER_PYLON
13.300000,77.424000,701.1,40.0,POWER_PYLON
13.300000,77.426000,561.8,40.0,POWER_PYLON
13.300000,77.428000,483.5,40.0,POWER_PYLON
13.300000,77.430000,447.4,40.0,POWER_PYLON
13.300000,77.432000,412.2,40.0,POWER_PYLON
13.300000,77.434000,390.1,40.0,POWER_PYLON
13.300000,77.436000,343.3,40.0,POWER_PYLON
13.300000,77.438000,273.6,40.0,POWER_PYLON
13.300000,77.440000,267.3,40.0,POWER_PYLON
13.300000,77.442000,176.5,40.0,POWER_PYLON
13.300000,77.444000,101.1,40.0,POWER_PYLON
13.300000,77.446000,44.6,40.0,POWER_PYLON
13.300000,77.448000,178.8,40.0,POWER_PYLON
13.300000,77.450000,395.0,40.0,POWER_PYLON
13.300000,77.452000,460.1,40.0,POWER_PYLON
13.300000,77.454000,392.7,40.0,POWER_PYLON
13.300000,77.456000,201.7,40.0,POWER_PYLON
13.300000,77.458000,145.8,40.0,POWER_PYLON
13.300000,77.460000,309.7,40.0,POWER_PYLON
13.300000,77.462000,514.5,40.0,POWER_PYLON
13.300000,77.464000,726.3,40.0,POWER_PYLON
13.300000,77.466000,940.4,40.0,POWER_PYLON
13.300000,77.468000,1155.6,40.0,POWER_PYLON
