lat,lon,elev_m,slope_deg,roughness_m,surface_type
13.300000,77.400000,919.00,0.547,0.99,flat
13.300000,77.402000,917.48,0.547,1.41,flat
13.300000,77.404000,915.96,0.547,1.41,flat
13.300000,77.406000,914.45,0.547,1.41,flat
13.300000,77.408000,912.93,0.547,1.41,flat
13.300000,77.410000,911.41,0.547,1.41,flat
13.300000,77.412000,909.89,0.547,1.41,flat
13.300000,77.414000,908.37,0.547,1.41,flat
13.300000,77.416000,906.85,0.547,1.41,flat
13.300000,77.418000,905.34,0.376,0.93,flat
13.300000,77.420000,906.44,0.528,1.39,flat
13.300000,77.422000,908.28,0.594,1.65,flat
13.300000,77.424000,910.12,0.583,1.63,flat
13.300000,77.426000,911.97,0.573,1.62,flat
13.300000,77.428000,913.81,0.563,1.61,flat
13.300000,77.430000,915.65,0.554,1.60,flat
13.300000,77.432000,917.50,0.546,1.59,flat
13.300000,77.434000,919.34,0.537,1.58,flat
13.300000,77.436000,921.18,0.330,0.99,flat
13.300000,77.438000,921.27,0.242,0.66,flat
13.300000,77.440000,919.97,0.374,1.06,flat
13.300000,77.442000,918.67,0.362,1.05,flat
13.300000,77.444000,917.37,0.353,1.04,flat
13.300000,77.446000,916.07,0.347,1.03,flat
13.300000,77.448000,914.77,0.344,1.03,flat
13.300000,77.450000,913.47,0.345,1.03,flat
13.300000,77.452000,912.17,0.349,1.03,flat
13.300000,77.454000,910.86,0.310,0.91,flat
13.300000,77.456000,909.93,0.186,0.53,flat
13.300000,77.458000,909.71,0.103,0.26,flat
13.300000,77.460000,909.49,0.086,0.23,flat
13.300000,77.462000,909.28,0.071,0.22,flat
13.300000,77.464000,909.06,0.061,0.21,flat
13.300000,77.466000,908.84,0.057,0.20,flat
13.300000,77.468000,908.63,0.062,0.21,flat
13.300000,77.470000,908.41,0.073,0.22,flat
13.300000,77.472000,908.19,0.104,0.30,flat
13.300000,77.474000,907.80,0.294,0.94,flat
13.300000,77.476000,906.07,0.466,1.43,flat
13.300000,77.478000,904.33,0.466,1.43,flat
13.300000,77.480000,902.60,0.466,1.43,flat
13.300000,77.482000,900.86,0.466,1.43,flat
13.300000,77.484000,899.12,0.466,1.43,flat
13.300000,77.486000,897.39,0.466,1.43,flat
13.300000,77.488000,895.65,0.466,1.43,flat
13.300000,77.490000,893.92,0.466,1.43,flat
13.300000,77.492000,892.18,0.317,1.00,flat
13.300000,77.494000,891.61,0.168,0.47,flat
13.300000,77.496000,891.18,0.167,0.44,flat
13.300000,77.498000,890.74,0.181,0.45,flat
13.300000,77.500000,890.31,0.196,0.47,flat
13.300000,77.502000,889.88,0.211,0.50,flat
13.300000,77.504000,889.44,0.227,0.52,flat
13.300000,77.506000,889.01,0.243,0.54,flat
13.300000,77.508000,888.58,0.260,0.57,flat
13.300000,77.510000,888.14,0.291,0.78,flat
13.300000,77.512000,889.68,0.596,1.72,flat
13.300000,77.514000,892.17,0.717,2.09,flat
13.300000,77.516000,894.67,0.724,2.09,flat
13.300000,77.518000,897.16,0.730,2.10,flat
13.300000,77.520000,899.65,0.737,2.11,flat
13.300000,77.522000,902.15,0.744,2.12,flat
13.300000,77.524000,904.64,0.752,2.13,flat
13.300000,77.526000,907.14,0.759,2.14,flat
13.300000,77.528000,909.63,0.556,1.48,flat
13.300000,77.530000,910.12,0.430,1.06,flat
13.300000,77.532000,908.17,0.622,1.68,flat
13.300000,77.534000,906.22,0.601,1.66,flat
13.300000,77.536000,904.26,0.583,1.63,flat
13.300000,77.538000,902.31,0.567,1.61,flat
13.300000,77.540000,900.36,0.552,1.60,flat
13.300000,77.542000,898.41,0.540,1.58,flat
13.300000,77.544000,896.46,0.530,1.57,flat
13.300000,77.546000,894.50,0.442,1.32,flat
13.300000,77.548000,893.17,0.087,0.54,flat
13.300000,77.550000,893.93,0.201,0.69,flat
13.300000,77.552000,894.69,0.216,0.71,flat
13.300000,77.554000,895.45,0.247,0.74,flat
13.300000,77.556000,896.21,0.287,0.79,flat
13.300000,77.558000,896.97,0.334,0.85,flat
13.300000,77.560000,897.73,0.386,0.92,flat
13.300000,77.562000,898.49,0.440,1.00,flat
13.300000,77.564000,899.25,0.497,1.08,flat
13.300000,77.566000,900.01,0.590,1.28,flat
13.300000,77.568000,901.42,0.618,1.45,flat
13.300000,77.570000,902.83,0.601,1.42,flat
13.300000,77.572000,904.24,0.584,1.40,flat
13.300000,77.574000,905.65,0.568,1.37,flat
13.300000,77.576000,907.06,0.551,1.35,flat
13.300000,77.578000,908.47,0.536,1.33,flat
13.300000,77.580000,909.88,0.520,1.31,flat
13.300000,77.582000,911.29,0.505,1.29,flat
13.300000,77.584000,912.70,0.458,1.12,flat
13.300000,77.586000,913.77,0.366,0.88,flat
13.300000,77.588000,914.74,0.303,0.77,flat
13.300000,77.590000,915.72,0.268,0.73,flat
13.300000,77.592000,916.70,0.258,0.72,flat
13.300000,77.594000,917.67,0.277,0.74,flat
13.300000,77.596000,918.65,0.319,0.80,flat
13.300000,77.598000,919.62,0.377,0.88,flat
13.300000,77.600000,920.60,0.445,0.98,flat
13.300000,77.602000,921.58,0.535,1.15,flat
13.300000,77.604000,922.80,0.574,1.36,flat
13.300000,77.606000,924.21,0.550,1.42,flat
13.300000,77.608000,925.62,0.512,1.37,flat
13.300000,77.610000,927.03,0.477,1.33,flat
13.300000,77.612000,928.44,0.446,1.29,flat
13.300000,77.614000,929.85,0.419,1.26,flat
13.300000,77.616000,931.26,0.398,1.24,flat
13.300000,77.618000,932.67,0.383,1.22,flat
13.300000,77.620000,934.08,0.384,1.22,flat
13.300000,77.622000,935.56,0.411,1.25,flat
13.300000,77.624000,937.19,0.438,1.28,flat
13.300000,77.626000,938.81,0.454,1.29,flat
13.300000,77.628000,940.44,0.477,1.32,flat
13.300000,77.630000,942.07,0.507,1.36,flat
13.300000,77.632000,943.69,0.543,1.40,flat
13.300000,77.634000,945.32,0.583,1.46,flat
13.300000,77.636000,946.95,0.627,1.52,flat
13.300000,77.638000,948.57,0.660,1.53,flat
13.300000,77.640000,950.04,0.625,1.28,flat
13.300000,77.642000,950.37,0.631,1.17,flat
13.300000,77.644000,950.69,0.677,1.25,flat
13.300000,77.646000,951.02,0.724,1.34,flat
13.300000,77.648000,951.34,0.770,1.42,flat
13.300000,77.650000,951.67,0.816,1.50,flat
13.300000,77.652000,951.99,0.863,1.59,flat
13.300000,77.654000,952.32,0.909,1.67,flat
13.300000,77.656000,952.64,0.955,1.76,flat
13.300000,77.658000,952.97,0.999,1.80,flat
13.300000,77.660000,952.32,0.984,1.85,flat
13.300000,77.662000,951.56,0.947,1.79,flat
13.300000,77.664000,950.80,0.908,1.72,flat
13.300000,77.666000,950.04,0.868,1.65,flat
13.300000,77.668000,949.28,0.829,1.58,flat
13.300000,77.670000,948.52,0.790,1.52,flat
13.300000,77.672000,947.76,0.751,1.45,flat
13.300000,77.674000,947.00,0.712,1.38,flat
13.300000,77.676000,946.24,0.690,1.42,flat
13.300000,77.678000,945.11,0.720,1.56,flat
13.300000,77.680000,943.81,0.750,1.63,flat
13.300000,77.682000,942.51,0.770,1.66,flat
13.300000,77.684000,941.21,0.789,1.69,flat
13.300000,77.686000,939.91,0.809,1.73,flat
13.300000,77.688000,938.61,0.828,1.76,flat
13.300000,77.690000,937.31,0.848,1.79,flat
13.300000,77.692000,936.00,0.868,1.82,flat
13.300000,77.694000,934.70,0.867,1.74,flat
13.300000,77.696000,933.85,0.838,1.58,flat
13.300000,77.698000,933.53,0.813,1.50,flat
13.300000,77.700000,933.20,0.797,1.47,flat
13.300000,77.702000,932.87,0.782,1.45,flat
13.300000,77.704000,932.55,0.766,1.42,flat
13.300000,77.706000,932.22,0.751,1.39,flat
13.300000,77.708000,931.90,0.735,1.36,flat
13.300000,77.710000,931.57,0.720,1.33,flat
13.300000,77.712000,931.25,0.708,1.32,flat
13.300000,77.714000,930.72,0.711,1.39,flat
13.300000,77.716000,929.52,0.691,1.45,flat
13.300000,77.718000,928.33,0.639,1.37,flat
13.300000,77.720000,927.14,0.588,1.29,flat
13.300000,77.722000,925.94,0.539,1.22,flat
13.300000,77.724000,924.75,0.492,1.15,flat
13.300000,77.726000,923.56,0.449,1.09,flat
13.300000,77.728000,922.37,0.409,1.03,flat
13.300000,77.730000,921.17,0.374,0.99,flat
13.300000,77.732000,919.98,0.360,1.05,flat
13.300000,77.734000,918.68,0.380,1.12,flat
13.300000,77.736000,917.37,0.388,1.13,flat
13.300000,77.738000,916.07,0.397,1.14,flat
13.300000,77.740000,914.77,0.407,1.15,flat
13.300000,77.742000,913.47,0.417,1.17,flat
13.300000,77.744000,912.17,0.428,1.18,flat
13.300000,77.746000,910.87,0.440,1.19,flat
13.300000,77.748000,909.57,0.451,1.21,flat
13.300000,77.750000,908.27,0.455,1.16,flat
13.300000,77.752000,907.05,0.427,1.08,flat
13.300000,77.754000,905.86,0.401,1.04,flat
13.300000,77.756000,904.66,0.379,1.01,flat
13.300000,77.758000,903.47,0.360,0.99,flat
13.300000,77.760000,902.28,0.343,0.97,flat
13.300000,77.762000,901.09,0.330,0.95,flat
13.300000,77.764000,899.89,0.321,0.94,flat
13.300000,77.766000,898.70,0.316,0.94,flat
13.300000,77.768000,897.51,0.200,0.62,flat
13.300000,77.770000,897.19,0.027,0.15,flat
13.300000,77.772000,897.51,0.089,0.27,flat
13.300000,77.774000,897.84,0.088,0.27,flat
13.300000,77.776000,898.16,0.088,0.26,flat
13.300000,77.778000,898.49,0.087,0.26,flat
13.300000,77.780000,898.81,0.087,0.26,flat
13.300000,77.782000,899.14,0.086,0.26,flat
13.300000,77.784000,899.46,0.086,0.26,flat
13.300000,77.786000,899.79,0.031,0.22,flat
13.300000,77.788000,899.23,0.360,1.15,flat
13.300000,77.790000,897.06,0.574,1.74,flat
13.300000,77.792000,894.90,0.578,1.74,flat
13.300000,77.794000,892.73,0.582,1.75,flat
13.300000,77.796000,890.56,0.589,1.76,flat
