name,category,lat,lon,height_m
Police Radio Station,TOWER,12.897813,80.095670,30.0
Pylon 340446147,POWER_PYLON,12.971612,80.002749,40.0
Pylon 340446181,POWER_PYLON,12.971378,80.000543,40.0
Pylon 340446200,POWER_PYLON,12.971838,80.005908,40.0
Pylon 340446233,POWER_PYLON,12.972005,80.008388,40.0
Pylon 340446251,POWER_PYLON,12.972189,80.011161,40.0
Pylon 340446302,POWER_PYLON,12.972373,80.013967,40.0
Pylon 340446309,POWER_PYLON,12.972599,80.016843,40.0
Pylon 340446314,POWER_PYLON,12.972791,80.019503,40.0
Pylon 340446339,POWER_PYLON,12.972975,80.022276,40.0
Pylon 340446538,POWER_PYLON,12.973385,80.025168,40.0
Pylon 340446544,POWER_PYLON,12.973218,80.033305,40.0
Pylon 340446550,POWER_PYLON,12.973519,80.030687,40.0
Pylon 340446564,POWER_PYLON,12.973812,80.028112,40.0
Pylon 340446572,POWER_PYLON,12.972959,80.035828,40.0
Pylon 340446580,POWER_PYLON,12.972666,80.038420,40.0
Pylon 340446600,POWER_PYLON,12.972356,80.041021,40.0
Pylon 340446795,POWER_PYLON,12.972097,80.043313,40.0
Pylon 340446834,POWER_PYLON,12.969730,80.049536,40.0
Pylon 340446861,POWER_PYLON,12.971068,80.047287,40.0
Pylon 340446968,POWER_PYLON,12.971796,80.046034,40.0
Pylon 340447042,POWER_PYLON,12.966970,80.054256,40.0
Pylon 340447046,POWER_PYLON,12.968517,80.051604,40.0
Pylon 340447258,POWER_PYLON,12.965439,80.056797,40.0
Pylon 340447334,POWER_PYLON,12.964210,80.058994,40.0
Pylon 340447379,POWER_PYLON,12.962804,80.061294,40.0
Pylon 340447400,POWER_PYLON,12.961290,80.063903,40.0
Pylon 340447426,POWER_PYLON,12.959818,80.066341,40.0
Pylon 340447430,POWER_PYLON,12.958329,80.068925,40.0
Pylon 340447523,POWER_PYLON,12.956790,80.071457,40.0
Pylon 340447820,POWER_PYLON,12.957702,80.072907,40.0
Pylon 340448018,POWER_PYLON,12.959191,80.078529,40.0
Pylon 340448113,POWER_PYLON,12.958425,80.075811,40.0
Pylon 340448162,POWER_PYLON,12.959718,80.080246,40.0
Pylon 340448169,POWER_PYLON,12.960370,80.082907,40.0
Pylon 340448232,POWER_PYLON,12.960429,80.083447,40.0
Pylon 340448247,POWER_PYLON,12.960345,80.086348,40.0
Pylon 340448254,POWER_PYLON,12.960638,80.086374,40.0
Pylon 340448302,POWER_PYLON,12.961175,80.086356,40.0
Pylon 340448390,POWER_PYLON,12.958463,80.082622,40.0
Pylon 340448440,POWER_PYLON,12.959400,80.084451,40.0
Pylon 340448651,POWER_PYLON,12.962522,80.085163,40.0
Pylon 340448828,POWER_PYLON,12.960864,80.089325,40.0
Pylon 340448865,POWER_PYLON,12.960595,80.089301,40.0
Pylon 340448876,POWER_PYLON,12.961215,80.089311,40.0
Pylon 340448963,POWER_PYLON,12.961401,80.091240,40.0
Pylon 340448983,POWER_PYLON,12.961167,80.097157,40.0
Pylon 340449001,POWER_PYLON,12.961652,80.096252,40.0
Pylon 340449028,POWER_PYLON,12.960864,80.096991,40.0
Pylon 340449091,POWER_PYLON,12.961510,80.093377,40.0
Pylon 340449194,POWER_PYLON,12.960930,80.090993,40.0
Pylon 340449222,POWER_PYLON,12.960718,80.090895,40.0
Pylon 340449333,POWER_PYLON,12.960759,80.094315,40.0
Pylon 340449343,POWER_PYLON,12.961017,80.094136,40.0
Pylon 340449622,POWER_PYLON,12.961936,80.101908,40.0
Pylon 340449704,POWER_PYLON,12.961416,80.102424,40.0
Pylon 340449725,POWER_PYLON,12.961282,80.099463,40.0
Pylon 340449747,POWER_PYLON,12.961811,80.099050,40.0
Pylon 340449885,POWER_PYLON,12.961006,80.099789,40.0
Pylon 340449919,POWER_PYLON,12.961081,80.101771,40.0
Pylon 340449935,POWER_PYLON,12.961594,80.105419,40.0
Pylon 340449943,POWER_PYLON,12.962122,80.104758,40.0
Pylon 340449948,POWER_PYLON,12.961288,80.104623,40.0
Pylon 340449995,POWER_PYLON,12.961447,80.107613,40.0
Pylon 340450011,POWER_PYLON,12.961753,80.108320,40.0
Pylon 340450019,POWER_PYLON,12.962396,80.110363,40.0
Pylon 340450029,POWER_PYLON,12.961829,80.110141,40.0
Pylon 340450036,POWER_PYLON,12.961571,80.110096,40.0
Pylon 340450045,POWER_PYLON,12.962279,80.107842,40.0
Pylon 340450139,POWER_PYLON,12.960367,80.111672,40.0
Pylon 340450146,POWER_PYLON,12.960154,80.111495,40.0
Pylon 340450226,POWER_PYLON,12.960655,80.112144,40.0
Pylon 340450258,POWER_PYLON,12.958475,80.113590,40.0
Pylon 340450362,POWER_PYLON,12.958873,80.113978,40.0
Pylon 340450519,POWER_PYLON,12.958220,80.113401,40.0
Pylon 340451152,POWER_PYLON,12.952866,80.118596,40.0
Pylon 340451308,POWER_PYLON,12.953324,80.118683,40.0
Pylon 340451320,POWER_PYLON,12.954102,80.117884,40.0
Pylon 340451692,POWER_PYLON,12.953754,80.117496,40.0
Pylon 340451964,POWER_PYLON,12.952340,80.120457,40.0
Pylon 340451989,POWER_PYLON,12.947585,80.131393,40.0
Pylon 340452123,POWER_PYLON,12.947037,80.130560,40.0
Pylon 340452511,POWER_PYLON,12.950369,80.129357,40.0
Pylon 340452709,POWER_PYLON,12.948320,80.131205,40.0
Pylon 340452900,POWER_PYLON,12.951604,80.123177,40.0
Pylon 340453023,POWER_PYLON,12.951944,80.123703,40.0
Pylon 340453053,POWER_PYLON,12.951157,80.126492,40.0
Pylon 340453141,POWER_PYLON,12.950952,80.126508,40.0
Pylon 340453952,POWER_PYLON,12.951012,80.128901,40.0
Pylon 340453996,POWER_PYLON,12.948676,80.130816,40.0
Pylon 340455014,POWER_PYLON,12.955835,80.115815,40.0
Pylon 340455172,POWER_PYLON,12.955022,80.117034,40.0
Pylon 340461822,POWER_PYLON,12.963713,80.084041,40.0
