lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
13.300000,80.000000,825.1,40.0,POWER_PYLON
13.300000,80.002000,610.1,40.0,POWER_PYLON
13.300000,80.004000,397.4,40.0,POWER_PYLON
13.300000,80.006000,193.9,40.0,POWER_PYLON
13.300000,80.008000,106.8,40.0,POWER_PYLON
13.300000,80.010000,281.6,40.0,POWER_PYLON
13.300000,80.012000,377.4,40.0,POWER_PYLON
13.300000,80.014000,219.1,40.0,POWER_PYLON
13.300000,80.016000,36.8,40.0,POWER_PYLON
13.300000,80.018000,64.2,40.0,POWER_PYLON
13.300000,80.020000,140.7,40.0,POWER_PYLON
13.300000,80.022000,179.3,40.0,POWER_PYLON
13.300000,80.024000,246.3,40.0,POWER_PYLON
13.300000,80.026000,251.2,40.0,POWER_PYLON
13.300000,80.028000,309.4,40.0,POWER_PYLON
13.300000,80.030000,352.0,40.0,POWER_PYLON
13.300000,80.032000,457.7,40.0,POWER_PYLON
13.300000,80.034000,623.8,40.0,POWER_PYLON
13.300000,80.036000,814.2,40.0,POWER_PYLON
13.300000,80.038000,1003.0,40.0,POWER_PYLON
13.300000,80.040000,1136.8,40.0,POWER_PYLON
13.300000,80.042000,933.6,40.0,POWER_PYLON
13.300000,80.044000,723.5,40.0,POWER_PYLON
13.300000,80.046000,519.1,40.0,POWER_PYLON
13.300000,80.048000,330.9,40.0,POWER_PYLON
13.300000,80.050000,208.8,40.0,POWER_PYLON
13.300000,80.052000,268.0,40.0,POWER_PYLON
13.300000,80.054000,440.6,40.0,POWER_PYLON
13.300000,80.056000,640.7,40.0,POWER_PYLON
13.300000,80.058000,849.1,40.0,POWER_PYLON
13.300000,80.060000,1060.9,40.0,POWER_PYLON
13.300000,80.062000,1274.4,40.0,POWER_PYLON
13.300000,80.064000,1488.9,40.0,POWER_PYLON
13.300000,80.066000,1704.0,40.0,POWER_PYLON
13.300000,80.068000,1919.5,40.0,POWER_PYLON
13.300000,80.070000,2135.2,40.0,POWER_PYLON
13.300000,80.072000,2351.2,40.0,POWER_PYLON
13.300000,80.074000,2518.2,40.0,POWER_PYLON
13.300000,80.076000,2301.8,40.0,POWER_PYLON
13.300000,80.078000,2085.6,40.0,POWER_PYLON
13.300000,80.080000,1869.5,40.0,POWER_PYLON
13.300000,80.082000,1653.6,40.0,POWER_PYLON
13.300000,80.084000,1438.0,40.0,POWER_PYLON
13.300000,80.086000,1222.9,40.0,POWER_PYLON
13.300000,80.088000,1008.5,40.0,POWER_PYLON
13.300000,80.090000,795.5,40.0,POWER_PYLON
13.300000,80.092000,585.4,40.0,POWER_PYLON
13.300000,80.094000,382.9,40.0,POWER_PYLON
13.300000,80.096000,211.1,40.0,POWER_PYLON
13.300000,80.098000,191.4,40.0,POWER_PYLON
13.300000,80.100000,350.4,40.0,POWER_PYLON
13.300000,80.102000,534.8,40.0,POWER_PYLON
13.300000,80.104000,691.0,40.0,POWER_PYLON
13.300000,80.106000,813.8,40.0,POWER_PYLON
13.300000,80.108000,934.1,40.0,POWER_PYLON
13.300000,80.110000,1033.3,40.0,POWER_PYLON
13.300000,80.112000,1164.8,40.0,POWER_PYLON
13.300000,80.114000,1319.1,40.0,POWER_PYLON
13.300000,80.116000,1489.0,40.0,POWER_PYLON
13.300000,80.118000,1669.9,40.0,POWER_PYLON
13.300000,80.120000,1858.5,40.0,POWER_PYLON
13.300000,80.122000,1888.9,40.0,POWER_PYLON
13.300000,80.124000,1673.3,40.0,POWER_PYLON
13.300000,80.126000,1458.2,40.0,POWER_PYLON
13.300000,80.128000,1243.6,40.0,POWER_PYLON
13.300000,80.130000,1030.1,40.0,POWER_PYLON
13.300000,80.132000,818.2,40.0,POWER_PYLON
13.300000,80.134000,610.0,40.0,POWER_PYLON
13.300000,80.136000,410.7,40.0,POWER_PYLON
13.300000,80.138000,243.8,40.0,POWER_PYLON
13.300000,80.140000,210.4,40.0,POWER_PYLON
13.300000,80.142000,350.9,40.0,POWER_PYLON
13.300000,80.144000,544.2,40.0,POWER_PYLON
13.300000,80.146000,514.6,40.0,POWER_PYLON
13.300000,80.148000,318.6,40.0,POWER_PYLON
13.300000,80.150000,179.6,40.0,POWER_PYLON
13.300000,80.152000,226.7,40.0,POWER_PYLON
13.300000,80.154000,404.9,40.0,POWER_PYLON
13.300000,80.156000,608.7,40.0,POWER_PYLON
13.300000,80.158000,819.3,40.0,POWER_PYLON
13.300000,80.160000,987.8,40.0,POWER_PYLON
13.300000,80.162000,1150.7,40.0,POWER_PYLON
13.300000,80.164000,1239.7,40.0,POWER_PYLON
13.300000,80.166000,1311.5,40.0,POWER_PYLON
13.300000,80.168000,1363.0,40.0,POWER_PYLON
13.300000,80.170000,1417.5,40.0,POWER_PYLON
13.300000,80.172000,1478.4,40.0,POWER_PYLON
13.300000,80.174000,1528.2,40.0,POWER_PYLON
13.300000,80.176000,1583.3,40.0,POWER_PYLON
13.300000,80.178000,1604.6,40.0,POWER_PYLON
13.300000,80.180000,1388.0,40.0,POWER_PYLON
13.300000,80.182000,1171.5,40.0,POWER_PYLON
13.300000,80.184000,955.2,40.0,POWER_PYLON
13.300000,80.186000,739.2,40.0,POWER_PYLON
13.300000,80.188000,524.0,40.0,POWER_PYLON
13.300000,80.190000,311.0,40.0,POWER_PYLON
13.300000,80.192000,114.1,40.0,POWER_PYLON
13.300000,80.194000,153.0,40.0,POWER_PYLON
