lat,lon,elev_m,slope_deg,roughness_m,surface_type
13.300000,80.000000,33.00,0.229,0.40,flat
13.300000,80.002000,32.13,0.230,0.69,flat
13.300000,80.004000,31.26,0.231,0.69,flat
13.300000,80.006000,30.40,0.234,0.70,flat
13.300000,80.008000,29.53,0.237,0.70,flat
13.300000,80.010000,28.66,0.242,0.71,flat
13.300000,80.012000,27.79,0.247,0.71,flat
13.300000,80.014000,26.93,0.254,0.72,flat
13.300000,80.016000,26.06,0.261,0.73,flat
13.300000,80.018000,25.19,0.176,0.46,flat
13.300000,80.020000,25.25,0.134,0.27,flat
13.300000,80.022000,25.58,0.131,0.30,flat
13.300000,80.024000,25.90,0.114,0.28,flat
13.300000,80.026000,26.23,0.099,0.26,flat
13.300000,80.028000,26.55,0.089,0.25,flat
13.300000,80.030000,26.88,0.086,0.24,flat
13.300000,80.032000,27.21,0.090,0.25,flat
13.300000,80.034000,27.53,0.099,0.26,flat
13.300000,80.036000,27.86,0.081,0.18,flat
13.300000,80.038000,27.76,0.108,0.27,flat
13.300000,80.040000,27.32,0.138,0.37,flat
13.300000,80.042000,26.89,0.134,0.37,flat
13.300000,80.044000,26.46,0.131,0.37,flat
13.300000,80.046000,26.02,0.128,0.36,flat
13.300000,80.048000,25.59,0.126,0.36,flat
13.300000,80.050000,25.16,0.123,0.36,flat
13.300000,80.052000,24.72,0.121,0.35,flat
13.300000,80.054000,24.29,0.115,0.34,flat
13.300000,80.056000,23.89,0.099,0.30,flat
13.300000,80.058000,23.57,0.089,0.27,flat
13.300000,80.060000,23.24,0.089,0.27,flat
13.300000,80.062000,22.91,0.088,0.26,flat
13.300000,80.064000,22.59,0.087,0.26,flat
13.300000,80.066000,22.26,0.087,0.26,flat
13.300000,80.068000,21.94,0.086,0.26,flat
13.300000,80.070000,21.61,0.086,0.26,flat
13.300000,80.072000,21.29,0.086,0.26,flat
13.300000,80.074000,20.96,0.086,0.27,flat
13.300000,80.076000,20.64,0.086,0.27,flat
13.300000,80.078000,20.31,0.086,0.27,flat
13.300000,80.080000,19.99,0.086,0.27,flat
13.300000,80.082000,19.66,0.087,0.27,flat
13.300000,80.084000,19.34,0.087,0.27,flat
13.300000,80.086000,19.01,0.088,0.27,flat
13.300000,80.088000,18.69,0.089,0.27,flat
13.300000,80.090000,18.36,0.090,0.27,flat
13.300000,80.092000,18.03,0.045,0.15,flat
13.300000,80.094000,18.10,0.041,0.09,flat
13.300000,80.096000,18.21,0.050,0.11,flat
13.300000,80.098000,18.31,0.055,0.12,flat
13.300000,80.100000,18.42,0.060,0.13,flat
13.300000,80.102000,18.53,0.066,0.14,flat
13.300000,80.104000,18.64,0.071,0.15,flat
13.300000,80.106000,18.75,0.077,0.15,flat
13.300000,80.108000,18.86,0.083,0.16,flat
13.300000,80.110000,18.96,0.086,0.17,flat
13.300000,80.112000,18.71,0.116,0.30,flat
13.300000,80.114000,18.27,0.125,0.34,flat
13.300000,80.116000,17.84,0.118,0.34,flat
13.300000,80.118000,17.41,0.115,0.33,flat
13.300000,80.120000,16.97,0.116,0.33,flat
13.300000,80.122000,16.54,0.121,0.34,flat
13.300000,80.124000,16.11,0.129,0.35,flat
13.300000,80.126000,15.67,0.140,0.36,flat
13.300000,80.128000,15.24,0.144,0.35,flat
13.300000,80.130000,14.90,0.134,0.30,flat
13.300000,80.132000,14.69,0.120,0.27,flat
13.300000,80.134000,14.47,0.115,0.26,flat
13.300000,80.136000,14.25,0.109,0.25,flat
13.300000,80.138000,14.03,0.104,0.24,flat
13.300000,80.140000,13.82,0.099,0.24,flat
13.300000,80.142000,13.60,0.094,0.23,flat
13.300000,80.144000,13.38,0.089,0.22,flat
13.300000,80.146000,13.17,0.074,0.18,flat
