name,category,lat,lon,height_m
Pylon 267092393,POWER_PYLON,28.512683,77.165569,40.0
Pylon 267092408,POWER_PYLON,28.510915,77.167131,40.0
Pylon 267125837,POWER_PYLON,28.483608,77.095420,40.0
Pylon 309249828,POWER_PYLON,28.588754,77.271242,40.0
Pylon 309249829,POWER_PYLON,28.590650,77.277273,40.0
Pylon 309249831,POWER_PYLON,28.591027,77.280303,40.0
Pylon 309249833,POWER_PYLON,28.589776,77.284208,40.0
Pylon 309249834,POWER_PYLON,28.588397,77.288388,40.0
Pylon 309249835,POWER_PYLON,28.587085,77.292242,40.0
Pylon 309249836,POWER_PYLON,28.584184,77.296010,40.0
Pylon 309250477,POWER_PYLON,28.587629,77.267859,40.0
Pylon 309911780,POWER_PYLON,28.412803,77.434314,40.0
Pylon 309911781,POWER_PYLON,28.414804,77.437688,40.0
Pylon 309911782,POWER_PYLON,28.416721,77.440263,40.0
Pylon 309911783,POWER_PYLON,28.418145,77.442273,40.0
Pylon 309911786,POWER_PYLON,28.424700,77.451137,40.0
Pylon 309911790,POWER_PYLON,28.431523,77.477662,40.0
Pylon 309911791,POWER_PYLON,28.432393,77.479500,40.0
Pylon 309911792,POWER_PYLON,28.439252,77.481745,40.0
Pylon 309911794,POWER_PYLON,28.445150,77.483639,40.0
Pylon 309911795,POWER_PYLON,28.452897,77.486122,40.0
Pylon 309911796,POWER_PYLON,28.455199,77.489796,40.0
Pylon 309911797,POWER_PYLON,28.458119,77.492079,40.0
Pylon 309911798,POWER_PYLON,28.464239,77.496739,40.0
Pylon 309911799,POWER_PYLON,28.467136,77.498997,40.0
Pylon 309978847,POWER_PYLON,28.727516,77.497921,40.0
Pylon 309978848,POWER_PYLON,28.728058,77.495681,40.0
Pylon 309978849,POWER_PYLON,28.730993,77.493269,40.0
Pylon 309978850,POWER_PYLON,28.734154,77.490651,40.0
Pylon 309978851,POWER_PYLON,28.737225,77.488111,40.0
Pylon 309978852,POWER_PYLON,28.738467,77.486360,40.0
Pylon 309978853,POWER_PYLON,28.740795,77.483333,40.0
Pylon 309978854,POWER_PYLON,28.742237,77.481501,40.0
Pylon 309978855,POWER_PYLON,28.744878,77.476060,40.0
Pylon 309978856,POWER_PYLON,28.747911,77.473820,40.0
Pylon 309978857,POWER_PYLON,28.750146,77.472103,40.0
Pylon 309978858,POWER_PYLON,28.752975,77.469949,40.0
Pylon 309978859,POWER_PYLON,28.755948,77.467674,40.0
Pylon 309978860,POWER_PYLON,28.758987,77.465340,40.0
Pylon 309978861,POWER_PYLON,28.761606,77.462567,40.0
Pylon 309978862,POWER_PYLON,28.764172,77.459864,40.0
Pylon 309978863,POWER_PYLON,28.766797,77.457066,40.0
Pylon 309978864,POWER_PYLON,28.769468,77.454225,40.0
Pylon 309978865,POWER_PYLON,28.771808,77.451770,40.0
Pylon 309978866,POWER_PYLON,28.774449,77.448972,40.0
