lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
28.900000,76.900000,911.2,40.0,POWER_PYLON
28.900000,76.902000,813.9,40.0,POWER_PYLON
28.900000,76.904000,748.9,40.0,POWER_PYLON
28.900000,76.906000,650.2,40.0,POWER_PYLON
28.900000,76.908000,581.1,40.0,POWER_PYLON
28.900000,76.910000,489.2,40.0,POWER_PYLON
28.900000,76.912000,406.8,40.0,POWER_PYLON
28.900000,76.914000,337.6,40.0,POWER_PYLON
28.900000,76.916000,237.9,40.0,POWER_PYLON
28.900000,76.918000,222.5,40.0,POWER_PYLON
28.900000,76.920000,64.0,40.0,POWER_PYLON
28.900000,76.922000,187.1,40.0,POWER_PYLON
28.900000,76.924000,377.2,40.0,POWER_PYLON
28.900000,76.926000,331.8,40.0,POWER_PYLON
28.900000,76.928000,234.4,40.0,POWER_PYLON
28.900000,76.930000,139.2,40.0,POWER_PYLON
28.900000,76.932000,162.7,40.0,POWER_PYLON
28.900000,76.934000,331.5,40.0,POWER_PYLON
28.900000,76.936000,519.3,40.0,POWER_PYLON
28.900000,76.938000,711.2,40.0,POWER_PYLON
28.900000,76.940000,904.6,40.0,POWER_PYLON
28.900000,76.942000,1098.7,40.0,POWER_PYLON
28.900000,76.944000,1293.2,40.0,POWER_PYLON
28.900000,76.946000,1487.9,40.0,POWER_PYLON
28.900000,76.948000,1682.8,40.0,POWER_PYLON
28.900000,76.950000,1877.7,40.0,POWER_PYLON
28.900000,76.952000,2072.8,40.0,POWER_PYLON
28.900000,76.954000,2267.9,40.0,POWER_PYLON
28.900000,76.956000,2463.1,40.0,POWER_PYLON
28.900000,76.958000,2658.2,40.0,POWER_PYLON
28.900000,76.960000,2853.5,40.0,POWER_PYLON
28.900000,76.962000,3048.7,40.0,POWER_PYLON
28.900000,76.964000,3243.9,40.0,POWER_PYLON
28.900000,76.966000,3439.2,40.0,POWER_PYLON
28.900000,76.968000,3634.5,40.0,POWER_PYLON
28.900000,76.970000,3829.8,40.0,POWER_PYLON
28.900000,76.972000,4025.1,40.0,POWER_PYLON
28.900000,76.974000,4220.4,40.0,POWER_PYLON
28.900000,76.976000,4415.7,40.0,POWER_PYLON
28.900000,76.978000,4611.0,40.0,POWER_PYLON
28.900000,76.980000,4806.3,40.0,POWER_PYLON
28.900000,76.982000,5001.7,40.0,POWER_PYLON
28.900000,76.984000,5197.0,40.0,POWER_PYLON
28.900000,76.986000,5188.8,40.0,POWER_PYLON
28.900000,76.988000,5113.0,40.0,POWER_PYLON
28.900000,76.990000,5043.6,40.0,POWER_PYLON
28.900000,76.992000,4981.0,40.0,POWER_PYLON
28.900000,76.994000,4925.3,40.0,POWER_PYLON
28.900000,76.996000,4876.8,40.0,POWER_PYLON
28.900000,76.998000,4835.8,40.0,POWER_PYLON
28.900000,77.000000,4802.3,40.0,POWER_PYLON
28.900000,77.002000,4776.6,40.0,POWER_PYLON
28.900000,77.004000,4758.8,40.0,POWER_PYLON
28.900000,77.006000,4748.9,40.0,POWER_PYLON
28.900000,77.008000,4747.1,40.0,POWER_PYLON
28.900000,77.010000,4752.9,40.0,POWER_PYLON
28.900000,77.012000,4757.2,40.0,POWER_PYLON
28.900000,77.014000,4767.0,40.0,POWER_PYLON
28.900000,77.016000,4773.5,40.0,POWER_PYLON
28.900000,77.018000,4780.6,40.0,POWER_PYLON
28.900000,77.020000,4761.8,40.0,POWER_PYLON
28.900000,77.022000,4577.8,40.0,POWER_PYLON
28.900000,77.024000,4394.7,40.0,POWER_PYLON
28.900000,77.026000,4212.8,40.0,POWER_PYLON
28.900000,77.028000,4032.1,40.0,POWER_PYLON
28.900000,77.030000,3852.9,40.0,POWER_PYLON
28.900000,77.032000,3675.3,40.0,POWER_PYLON
28.900000,77.034000,3499.6,40.0,POWER_PYLON
28.900000,77.036000,3326.1,40.0,POWER_PYLON
28.900000,77.038000,3155.1,40.0,POWER_PYLON
28.900000,77.040000,2987.2,40.0,POWER_PYLON
28.900000,77.042000,2822.8,40.0,POWER_PYLON
28.900000,77.044000,2662.5,40.0,POWER_PYLON
28.900000,77.046000,2507.3,40.0,POWER_PYLON
28.900000,77.048000,2358.0,40.0,POWER_PYLON
28.900000,77.050000,2215.9,40.0,POWER_PYLON
28.900000,77.052000,2064.8,40.0,POWER_PYLON
28.900000,77.054000,1871.1,40.0,POWER_PYLON
28.900000,77.056000,1677.9,40.0,POWER_PYLON
28.900000,77.058000,1485.2,40.0,POWER_PYLON
28.900000,77.060000,1293.3,40.0,POWER_PYLON
28.900000,77.062000,1102.7,40.0,POWER_PYLON
28.900000,77.064000,914.1,40.0,POWER_PYLON
28.900000,77.066000,729.0,40.0,POWER_PYLON
28.900000,77.068000,551.1,40.0,POWER_PYLON
28.900000,77.070000,390.3,40.0,POWER_PYLON
28.900000,77.072000,278.0,40.0,POWER_PYLON
28.900000,77.074000,280.3,40.0,POWER_PYLON
28.900000,77.076000,395.2,40.0,POWER_PYLON
28.900000,77.078000,557.0,40.0,POWER_PYLON
28.900000,77.080000,595.4,40.0,POWER_PYLON
28.900000,77.082000,402.9,40.0,POWER_PYLON
28.900000,77.084000,215.6,40.0,POWER_PYLON
28.900000,77.086000,83.5,40.0,POWER_PYLON
28.900000,77.088000,209.3,40.0,POWER_PYLON
28.900000,77.090000,126.5,40.0,POWER_PYLON
28.900000,77.092000,71.0,40.0,POWER_PYLON
28.900000,77.094000,207.9,40.0,POWER_PYLON
28.900000,77.096000,385.6,40.0,POWER_PYLON
28.900000,77.098000,557.4,40.0,POWER_PYLON
28.900000,77.100000,730.9,40.0,POWER_PYLON
28.900000,77.102000,907.1,40.0,POWER_PYLON
28.900000,77.104000,1023.1,40.0,POWER_PYLON
28.900000,77.106000,1125.4,40.0,POWER_PYLON
28.900000,77.108000,1234.9,40.0,POWER_PYLON
28.900000,77.110000,1099.9,40.0,POWER_PYLON
28.900000,77.112000,960.9,40.0,POWER_PYLON
28.900000,77.114000,826.6,40.0,POWER_PYLON
28.900000,77.116000,673.6,40.0,POWER_PYLON
28.900000,77.118000,548.2,40.0,POWER_PYLON
28.900000,77.120000,399.6,40.0,POWER_PYLON
28.900000,77.122000,257.1,40.0,POWER_PYLON
28.900000,77.124000,220.9,40.0,POWER_PYLON
28.900000,77.126000,328.4,40.0,POWER_PYLON
28.900000,77.128000,493.2,40.0,POWER_PYLON
28.900000,77.130000,674.6,40.0,POWER_PYLON
28.900000,77.132000,862.1,40.0,POWER_PYLON
28.900000,77.134000,1052.4,40.0,POWER_PYLON
28.900000,77.136000,1112.1,40.0,POWER_PYLON
28.900000,77.138000,919.6,40.0,POWER_PYLON
28.900000,77.140000,728.5,40.0,POWER_PYLON
28.900000,77.142000,540.6,40.0,POWER_PYLON
28.900000,77.144000,360.7,40.0,POWER_PYLON
28.900000,77.146000,210.5,40.0,POWER_PYLON
28.900000,77.148000,186.7,40.0,POWER_PYLON
28.900000,77.150000,319.0,40.0,POWER_PYLON
28.900000,77.152000,494.9,40.0,POWER_PYLON
28.900000,77.154000,681.6,40.0,POWER_PYLON
28.900000,77.156000,872.1,40.0,POWER_PYLON
28.900000,77.158000,1064.3,40.0,POWER_PYLON
28.900000,77.160000,1257.5,40.0,POWER_PYLON
28.900000,77.162000,1451.3,40.0,POWER_PYLON
28.900000,77.164000,1645.5,40.0,POWER_PYLON
28.900000,77.166000,1839.9,40.0,POWER_PYLON
28.900000,77.168000,2034.6,40.0,POWER_PYLON
28.900000,77.170000,2229.3,40.0,POWER_PYLON
28.900000,77.172000,2424.1,40.0,POWER_PYLON
28.900000,77.174000,2619.1,40.0,POWER_PYLON
28.900000,77.176000,2814.1,40.0,POWER_PYLON
28.900000,77.178000,3009.1,40.0,POWER_PYLON
28.900000,77.180000,3204.2,40.0,POWER_PYLON
28.900000,77.182000,3399.3,40.0,POWER_PYLON
28.900000,77.184000,3594.4,40.0,POWER_PYLON
28.900000,77.186000,3789.6,40.0,POWER_PYLON
28.900000,77.188000,3984.8,40.0,POWER_PYLON
28.900000,77.190000,4180.0,40.0,POWER_PYLON
28.900000,77.192000,4375.2,40.0,POWER_PYLON
28.900000,77.194000,4570.5,40.0,POWER_PYLON
28.900000,77.196000,4765.7,40.0,POWER_PYLON
28.900000,77.198000,4826.0,50.0,CHIMNEY
28.900000,77.200000,4631.9,50.0,CHIMNEY
28.900000,77.202000,4438.0,50.0,CHIMNEY
28.900000,77.204000,4244.2,50.0,CHIMNEY
28.900000,77.206000,4050.5,50.0,CHIMNEY
28.900000,77.208000,3857.0,50.0,CHIMNEY
28.900000,77.210000,3663.7,50.0,CHIMNEY
28.900000,77.212000,3470.6,50.0,CHIMNEY
28.900000,77.214000,3277.8,50.0,CHIMNEY
28.900000,77.216000,3085.3,50.0,CHIMNEY
28.900000,77.218000,2893.3,50.0,CHIMNEY
28.900000,77.220000,2701.6,50.0,CHIMNEY
28.900000,77.222000,2510.6,50.0,CHIMNEY
28.900000,77.224000,2320.3,50.0,CHIMNEY
28.900000,77.226000,2130.9,50.0,CHIMNEY
28.900000,77.228000,1942.7,50.0,CHIMNEY
28.900000,77.230000,1756.1,50.0,CHIMNEY
28.900000,77.232000,1571.6,50.0,CHIMNEY
28.900000,77.234000,1390.1,50.0,CHIMNEY
28.900000,77.236000,1212.9,50.0,CHIMNEY
28.900000,77.238000,1042.2,50.0,CHIMNEY
28.900000,77.240000,881.8,50.0,CHIMNEY
28.900000,77.242000,738.5,50.0,CHIMNEY
28.900000,77.244000,624.1,50.0,CHIMNEY
28.900000,77.246000,556.8,50.0,CHIMNEY
28.900000,77.248000,480.8,40.0,POWER_PYLON
28.900000,77.250000,286.3,40.0,POWER_PYLON
28.900000,77.252000,95.6,40.0,POWER_PYLON
28.900000,77.254000,112.5,40.0,POWER_PYLON
28.900000,77.256000,304.2,40.0,POWER_PYLON
28.900000,77.258000,409.8,50.0,CHIMNEY
28.900000,77.260000,504.2,50.0,CHIMNEY
28.900000,77.262000,645.7,50.0,CHIMNEY
28.900000,77.264000,647.1,50.0,CHIMNEY
28.900000,77.266000,531.0,50.0,CHIMNEY
28.900000,77.268000,470.6,50.0,CHIMNEY
28.900000,77.270000,487.2,50.0,CHIMNEY
28.900000,77.272000,574.1,50.0,CHIMNEY
28.900000,77.274000,705.8,50.0,CHIMNEY
28.900000,77.276000,862.0,50.0,CHIMNEY
28.900000,77.278000,1031.7,50.0,CHIMNEY
28.900000,77.280000,1209.1,50.0,CHIMNEY
28.900000,77.282000,1391.4,50.0,CHIMNEY
28.900000,77.284000,1576.8,50.0,CHIMNEY
28.900000,77.286000,1764.4,50.0,CHIMNEY
28.900000,77.288000,1953.5,50.0,CHIMNEY
28.900000,77.290000,2143.7,50.0,CHIMNEY
28.900000,77.292000,2334.8,50.0,CHIMNEY
28.900000,77.294000,2259.1,40.0,POWER_PYLON
28.900000,77.296000,2064.2,40.0,POWER_PYLON
28.900000,77.298000,1869.5,40.0,POWER_PYLON
28.900000,77.300000,1675.0,40.0,POWER_PYLON
28.900000,77.302000,1480.6,40.0,POWER_PYLON
28.900000,77.304000,1286.6,40.0,POWER_PYLON
28.900000,77.306000,1093.0,40.0,POWER_PYLON
28.900000,77.308000,900.2,40.0,POWER_PYLON
28.900000,77.310000,708.9,40.0,POWER_PYLON
28.900000,77.312000,520.6,40.0,POWER_PYLON
28.900000,77.314000,340.3,40.0,POWER_PYLON
28.900000,77.316000,192.2,40.0,POWER_PYLON
28.900000,77.318000,185.6,40.0,POWER_PYLON
28.900000,77.320000,329.0,40.0,POWER_PYLON
28.900000,77.322000,411.9,40.0,POWER_PYLON
28.900000,77.324000,427.7,40.0,POWER_PYLON
28.900000,77.326000,270.5,40.0,POWER_PYLON
