lat,lon,elev_m,slope_deg,roughness_m,surface_type
28.900000,76.900000,221.00,0.029,0.05,flat
28.900000,76.902000,221.00,0.026,0.05,flat
28.900000,76.904000,221.00,0.023,0.04,flat
28.900000,76.906000,221.00,0.020,0.04,flat
28.900000,76.908000,221.00,0.017,0.03,flat
28.900000,76.910000,221.00,0.015,0.03,flat
28.900000,76.912000,221.00,0.012,0.02,flat
28.900000,76.914000,221.00,0.009,0.02,flat
28.900000,76.916000,221.00,0.006,0.01,flat
28.900000,76.918000,221.00,0.003,0.01,flat
28.900000,76.920000,221.00,0.001,0.00,flat
28.900000,76.922000,221.00,0.000,0.00,flat
28.900000,76.924000,221.00,0.000,0.00,flat
28.900000,76.926000,221.00,0.000,0.00,flat
28.900000,76.928000,221.00,0.000,0.00,flat
28.900000,76.930000,221.00,0.000,0.00,flat
28.900000,76.932000,221.00,0.000,0.00,flat
28.900000,76.934000,221.00,0.000,0.00,flat
28.900000,76.936000,221.00,0.000,0.00,flat
28.900000,76.938000,221.00,0.000,0.00,flat
28.900000,76.940000,221.00,0.000,0.00,flat
28.900000,76.942000,221.00,0.001,0.01,flat
28.900000,76.944000,221.00,0.004,0.01,flat
28.900000,76.946000,221.00,0.007,0.01,flat
28.900000,76.948000,221.00,0.010,0.02,flat
28.900000,76.950000,221.00,0.013,0.02,flat
28.900000,76.952000,221.00,0.015,0.03,flat
28.900000,76.954000,221.00,0.018,0.03,flat
28.900000,76.956000,221.00,0.021,0.04,flat
28.900000,76.958000,221.00,0.024,0.04,flat
28.900000,76.960000,221.00,0.027,0.05,flat
28.900000,76.962000,220.97,0.033,0.07,flat
28.900000,76.964000,220.87,0.038,0.09,flat
28.900000,76.966000,220.78,0.036,0.09,flat
28.900000,76.968000,220.68,0.035,0.08,flat
28.900000,76.970000,220.58,0.033,0.08,flat
28.900000,76.972000,220.48,0.032,0.08,flat
28.900000,76.974000,220.39,0.031,0.08,flat
28.900000,76.976000,220.29,0.030,0.08,flat
28.900000,76.978000,220.19,0.029,0.08,flat
28.900000,76.980000,220.09,0.028,0.07,flat
28.900000,76.982000,220.00,0.014,0.04,flat
28.900000,76.984000,220.00,0.003,0.01,flat
28.900000,76.986000,220.00,0.006,0.01,flat
28.900000,76.988000,220.00,0.009,0.02,flat
28.900000,76.990000,220.00,0.011,0.02,flat
28.900000,76.992000,220.00,0.014,0.03,flat
28.900000,76.994000,220.00,0.017,0.03,flat
28.900000,76.996000,220.00,0.020,0.04,flat
28.900000,76.998000,220.00,0.023,0.04,flat
28.900000,77.000000,220.00,0.025,0.05,flat
28.900000,77.002000,220.00,0.030,0.06,flat
28.900000,77.004000,220.08,0.039,0.09,flat
28.900000,77.006000,220.18,0.041,0.10,flat
28.900000,77.008000,220.28,0.041,0.10,flat
28.900000,77.010000,220.37,0.041,0.10,flat
28.900000,77.012000,220.47,0.041,0.10,flat
28.900000,77.014000,220.57,0.041,0.10,flat
28.900000,77.016000,220.67,0.041,0.10,flat
28.900000,77.018000,220.76,0.041,0.10,flat
28.900000,77.020000,220.86,0.041,0.10,flat
28.900000,77.022000,220.96,0.031,0.07,flat
28.900000,77.024000,220.94,0.032,0.07,flat
28.900000,77.026000,220.85,0.038,0.09,flat
28.900000,77.028000,220.75,0.036,0.09,flat
28.900000,77.030000,220.65,0.034,0.09,flat
28.900000,77.032000,220.55,0.033,0.09,flat
28.900000,77.034000,220.45,0.031,0.09,flat
28.900000,77.036000,220.36,0.030,0.08,flat
28.900000,77.038000,220.26,0.030,0.08,flat
28.900000,77.040000,220.16,0.029,0.08,flat
28.900000,77.042000,220.06,0.048,0.14,flat
28.900000,77.044000,219.83,0.106,0.31,flat
28.900000,77.046000,219.34,0.143,0.41,flat
28.900000,77.048000,218.85,0.144,0.41,flat
28.900000,77.050000,218.37,0.144,0.41,flat
28.900000,77.052000,217.88,0.145,0.41,flat
28.900000,77.054000,217.39,0.146,0.41,flat
28.900000,77.056000,216.90,0.148,0.41,flat
28.900000,77.058000,216.41,0.149,0.41,flat
28.900000,77.060000,215.92,0.151,0.41,flat
28.900000,77.062000,215.44,0.148,0.40,flat
28.900000,77.064000,214.98,0.111,0.29,flat
28.900000,77.066000,214.78,0.079,0.19,flat
28.900000,77.068000,214.59,0.077,0.18,flat
28.900000,77.070000,214.39,0.075,0.18,flat
28.900000,77.072000,214.20,0.073,0.18,flat
28.900000,77.074000,214.00,0.072,0.18,flat
28.900000,77.076000,213.81,0.070,0.17,flat
28.900000,77.078000,213.61,0.068,0.17,flat
28.900000,77.080000,213.42,0.067,0.17,flat
28.900000,77.082000,213.22,0.066,0.17,flat
28.900000,77.084000,213.02,0.035,0.10,flat
28.900000,77.086000,213.09,0.037,0.08,flat
28.900000,77.088000,213.18,0.041,0.10,flat
28.900000,77.090000,213.28,0.041,0.10,flat
28.900000,77.092000,213.38,0.041,0.10,flat
28.900000,77.094000,213.48,0.041,0.10,flat
28.900000,77.096000,213.57,0.041,0.10,flat
28.900000,77.098000,213.67,0.041,0.10,flat
28.900000,77.100000,213.77,0.041,0.10,flat
28.900000,77.102000,213.87,0.041,0.10,flat
28.900000,77.104000,213.96,0.035,0.08,flat
28.900000,77.106000,214.00,0.026,0.05,flat
28.900000,77.108000,214.00,0.019,0.04,flat
28.900000,77.110000,214.00,0.014,0.03,flat
28.900000,77.112000,214.00,0.008,0.02,flat
28.900000,77.114000,214.00,0.003,0.01,flat
28.900000,77.116000,214.00,0.003,0.01,flat
28.900000,77.118000,214.00,0.008,0.02,flat
28.900000,77.120000,214.00,0.014,0.03,flat
