name,category,lat,lon,height_m
Pylon 1778276864,POWER_PYLON,26.201033,91.703618,40.0
Pylon 1778276867,POWER_PYLON,26.201117,91.705898,40.0
Pylon 1778276868,POWER_PYLON,26.203678,91.704545,40.0
Pylon 1778276870,POWER_PYLON,26.203699,91.707128,40.0
Pylon 1778276872,POWER_PYLON,26.206086,91.705475,40.0
Pylon 1778276874,POWER_PYLON,26.206657,91.707882,40.0
Pylon 1778276876,POWER_PYLON,26.208853,91.706464,40.0
Pylon 1778276878,POWER_PYLON,26.209669,91.708604,40.0
Pylon 1778276880,POWER_PYLON,26.211536,91.707444,40.0
Pylon 1778276882,POWER_PYLON,26.212582,91.709294,40.0
Pylon 1778276884,POWER_PYLON,26.214107,91.708391,40.0
Pylon 1778276886,POWER_PYLON,26.215508,91.710005,40.0
Pylon 1778276888,POWER_PYLON,26.216749,91.709341,40.0
Pylon 1778276890,POWER_PYLON,26.218922,91.710857,40.0
Pylon 1778276900,POWER_PYLON,26.219368,91.710304,40.0
Pylon 1778276901,POWER_PYLON,26.221961,91.711256,40.0
Pylon 1778276902,POWER_PYLON,26.222014,91.711634,40.0
Pylon 1778276903,POWER_PYLON,26.224512,91.712247,40.0
Pylon 1778276904,POWER_PYLON,26.224746,91.711208,40.0
Pylon 1778276905,POWER_PYLON,26.226141,91.714757,40.0
Pylon 1778276906,POWER_PYLON,26.227264,91.711101,40.0
Pylon 1778276907,POWER_PYLON,26.227983,91.717527,40.0
Pylon 1778276908,POWER_PYLON,26.229691,91.725978,40.0
Pylon 1778276909,POWER_PYLON,26.229745,91.711045,40.0
Pylon 1778276911,POWER_PYLON,26.231146,91.728191,40.0
Pylon 1778276913,POWER_PYLON,26.232280,91.729962,40.0
Pylon 1778276923,POWER_PYLON,26.232491,91.710975,40.0
Pylon 1778276925,POWER_PYLON,26.233417,91.733615,40.0
Pylon 1778276927,POWER_PYLON,26.234658,91.737515,40.0
Pylon 1778276929,POWER_PYLON,26.234992,91.710896,40.0
Pylon 1778276931,POWER_PYLON,26.235884,91.741545,40.0
Pylon 1778276933,POWER_PYLON,26.237477,91.710848,40.0
Pylon 1778276934,POWER_PYLON,26.240042,91.710786,40.0
Pylon 1778276935,POWER_PYLON,26.242618,91.710720,40.0
Pylon 1778276936,POWER_PYLON,26.244815,91.710666,40.0
Pylon 1778276937,POWER_PYLON,26.247539,91.710595,40.0
Pylon 1778276938,POWER_PYLON,26.249540,91.708935,40.0
Pylon 1778276939,POWER_PYLON,26.251531,91.707290,40.0
Pylon 1778276940,POWER_PYLON,26.253536,91.705612,40.0
Pylon 1778276941,POWER_PYLON,26.255982,91.703601,40.0
Pylon 1778276942,POWER_PYLON,26.258261,91.701702,40.0
Pylon 2472749043,POWER_PYLON,26.104176,91.777853,40.0
Pylon 2472749045,POWER_PYLON,26.105298,91.783141,40.0
Pylon 2472749047,POWER_PYLON,26.106095,91.753854,40.0
Pylon 2472749049,POWER_PYLON,26.106320,91.771314,40.0
Pylon 2472749051,POWER_PYLON,26.106801,91.768188,40.0
Pylon 2472749052,POWER_PYLON,26.107285,91.765246,40.0
Pylon 2472749053,POWER_PYLON,26.107851,91.761587,40.0
Pylon 2472749054,POWER_PYLON,26.108016,91.762387,40.0
Pylon 2472749056,POWER_PYLON,26.108208,91.769009,40.0
Pylon 2472749057,POWER_PYLON,26.108218,91.765902,40.0
Pylon 2472749058,POWER_PYLON,26.108548,91.757570,40.0
Pylon 2472749059,POWER_PYLON,26.108726,91.757825,40.0
Pylon 2472749061,POWER_PYLON,26.109510,91.756035,40.0
Pylon 2472749062,POWER_PYLON,26.109701,91.756513,40.0
Pylon 2472749064,POWER_PYLON,26.109853,91.753733,40.0
Pylon 2472749067,POWER_PYLON,26.112171,91.753996,40.0
Pylon 2472749068,POWER_PYLON,26.112456,91.755258,40.0
Pylon 2472749069,POWER_PYLON,26.112769,91.754876,40.0
Pylon 2472749073,POWER_PYLON,26.114020,91.754158,40.0
Pylon 2472749074,POWER_PYLON,26.113996,91.753907,40.0
Pylon 2472749076,POWER_PYLON,26.114260,91.755004,40.0
Pylon 2472749077,POWER_PYLON,26.114868,91.755304,40.0
Pylon 2472749080,POWER_PYLON,26.116335,91.754561,40.0
Pylon 2472749082,POWER_PYLON,26.116418,91.755619,40.0
Pylon 2472749083,POWER_PYLON,26.117250,91.755701,40.0
Pylon 2472749085,POWER_PYLON,26.117762,91.753920,40.0
Pylon 2472749088,POWER_PYLON,26.119809,91.751351,40.0
Pylon 2472749089,POWER_PYLON,26.119889,91.751996,40.0
Pylon 2472749091,POWER_PYLON,26.121383,91.750116,40.0
Pylon 2472749095,POWER_PYLON,26.123148,91.751511,40.0
Pylon 2472749098,POWER_PYLON,26.124445,91.751656,40.0
Pylon 2472749149,POWER_PYLON,26.218051,91.896812,40.0
Pylon 2472749151,POWER_PYLON,26.220288,91.901750,40.0
Pylon 2472749152,POWER_PYLON,26.221964,91.905521,40.0
Pylon 2472749154,POWER_PYLON,26.224177,91.908788,40.0
Pylon 2472749155,POWER_PYLON,26.225897,91.911348,40.0
Pylon 2472749156,POWER_PYLON,26.227714,91.914028,40.0
Pylon 2472749157,POWER_PYLON,26.229298,91.916381,40.0
Pylon 2472749158,POWER_PYLON,26.231237,91.919198,40.0
Pylon 2472749159,POWER_PYLON,26.234108,91.918966,40.0
Pylon 2472749160,POWER_PYLON,26.235187,91.980660,40.0
Pylon 2472749161,POWER_PYLON,26.235251,91.983654,40.0
Pylon 2472749162,POWER_PYLON,26.235301,91.986177,40.0
Pylon 2472749163,POWER_PYLON,26.235355,91.988715,40.0
Pylon 2472749164,POWER_PYLON,26.235405,91.990987,40.0
Pylon 2472749165,POWER_PYLON,26.235462,91.993989,40.0
Pylon 2472749166,POWER_PYLON,26.235522,91.997192,40.0
Pylon 2472749168,POWER_PYLON,26.235573,91.977928,40.0
Pylon 2472749171,POWER_PYLON,26.236174,91.922644,40.0
Pylon 2472749173,POWER_PYLON,26.236696,91.970432,40.0
Pylon 2850463490,POWER_PYLON,26.167267,91.696449,40.0
Pylon 2850463491,POWER_PYLON,26.169689,91.696954,40.0
Pylon 2850463492,POWER_PYLON,26.182269,91.697684,40.0
Pylon 2850463493,POWER_PYLON,26.185316,91.697886,40.0
Pylon 2850463494,POWER_PYLON,26.187948,91.698870,40.0
Pylon 2850463495,POWER_PYLON,26.190562,91.699816,40.0
Pylon 2850463496,POWER_PYLON,26.191295,91.700070,40.0
Pylon 2850463497,POWER_PYLON,26.191346,91.699897,40.0
Pylon 2850463498,POWER_PYLON,26.194219,91.702318,40.0
Pylon 2850463499,POWER_PYLON,26.194246,91.700022,40.0
Pylon 2850463801,POWER_PYLON,26.194667,91.700767,40.0
Pylon 2850463802,POWER_PYLON,26.195825,91.701732,40.0
Pylon 2850463803,POWER_PYLON,26.195935,91.700053,40.0
Pylon 2850463804,POWER_PYLON,26.196157,91.699711,40.0
Pylon 2850463805,POWER_PYLON,26.196818,91.704160,40.0
Pylon 2850463806,POWER_PYLON,26.198450,91.702622,40.0
Pylon 2850463807,POWER_PYLON,26.236846,91.744749,40.0
Pylon 2850463808,POWER_PYLON,26.238689,91.746966,40.0
Pylon 2850463809,POWER_PYLON,26.240935,91.748728,40.0
Pylon 2851519342,POWER_PYLON,26.042762,91.558982,40.0
Pylon 2851519343,POWER_PYLON,26.043575,91.555802,40.0
Pylon 2851519344,POWER_PYLON,26.043972,91.562511,40.0
Pylon 2851519345,POWER_PYLON,26.044454,91.552331,40.0
Pylon 2851519346,POWER_PYLON,26.044991,91.565441,40.0
Pylon 2851519347,POWER_PYLON,26.045378,91.548900,40.0
Pylon 2851519348,POWER_PYLON,26.045880,91.875108,40.0
Pylon 2851519349,POWER_PYLON,26.046132,91.568753,40.0
Pylon 2851519350,POWER_PYLON,26.046300,91.545344,40.0
Pylon 2851519351,POWER_PYLON,26.047209,91.541706,40.0
Pylon 2851519352,POWER_PYLON,26.047291,91.572251,40.0
Pylon 2851519353,POWER_PYLON,26.048126,91.538082,40.0
Pylon 2851519354,POWER_PYLON,26.048478,91.876494,40.0
Pylon 2851519355,POWER_PYLON,26.048551,91.575872,40.0
Pylon 2851519356,POWER_PYLON,26.049099,91.534461,40.0
Pylon 2851519357,POWER_PYLON,26.049783,91.579345,40.0
Pylon 2851519358,POWER_PYLON,26.049983,91.530922,40.0
Pylon 2851519359,POWER_PYLON,26.050871,91.527415,40.0
Pylon 2851519360,POWER_PYLON,26.050964,91.582782,40.0
Pylon 2851519361,POWER_PYLON,26.051197,91.877952,40.0
Pylon 2851519362,POWER_PYLON,26.051847,91.523848,40.0
Pylon 2851519363,POWER_PYLON,26.051962,91.520607,40.0
Pylon 2851519364,POWER_PYLON,26.052076,91.517438,40.0
Pylon 2851519365,POWER_PYLON,26.052228,91.586404,40.0
Pylon 2851519366,POWER_PYLON,26.052253,91.514130,40.0
Pylon 2851519367,POWER_PYLON,26.053578,91.511199,40.0
Pylon 2851519368,POWER_PYLON,26.053770,91.888210,40.0
Pylon 2851519369,POWER_PYLON,26.054424,91.891007,40.0
Pylon 2851519370,POWER_PYLON,26.054564,91.589185,40.0
Pylon 2851519371,POWER_PYLON,26.054682,91.508225,40.0
Pylon 2851519372,POWER_PYLON,26.055581,91.885158,40.0
Pylon 2851519373,POWER_PYLON,26.055891,91.505214,40.0
Pylon 2851519374,POWER_PYLON,26.056141,91.892222,40.0
Pylon 2851519375,POWER_PYLON,26.056890,91.591907,40.0
Pylon 2851519376,POWER_PYLON,26.057116,91.504839,40.0
Pylon 2851519377,POWER_PYLON,26.057450,91.893123,40.0
Pylon 2851519378,POWER_PYLON,26.057638,91.458490,40.0
Pylon 2851519379,POWER_PYLON,26.057860,91.460579,40.0
Pylon 2851519380,POWER_PYLON,26.058046,91.503205,40.0
Pylon 2851519381,POWER_PYLON,26.058057,91.455699,40.0
Pylon 2851519382,POWER_PYLON,26.058151,91.463615,40.0
Pylon 2851519383,POWER_PYLON,26.058311,91.506485,40.0
Pylon 2851519384,POWER_PYLON,26.058346,91.881581,40.0
Pylon 2851519385,POWER_PYLON,26.058419,91.500209,40.0
Pylon 2851519386,POWER_PYLON,26.058428,91.895409,40.0
Pylon 2851519387,POWER_PYLON,26.058429,91.466571,40.0
Pylon 2851519388,POWER_PYLON,26.058536,91.509688,40.0
Pylon 2851519389,POWER_PYLON,26.058555,91.452763,40.0
Pylon 2851519390,POWER_PYLON,26.058772,91.497034,40.0
Pylon 2851519391,POWER_PYLON,26.058792,91.512906,40.0
Pylon 2851519392,POWER_PYLON,26.058805,91.470471,40.0
Pylon 2851519393,POWER_PYLON,26.058807,91.594178,40.0
Pylon 2851519394,POWER_PYLON,26.058877,91.504349,40.0
Pylon 2851519395,POWER_PYLON,26.058994,91.449903,40.0
Pylon 2851519396,POWER_PYLON,26.059016,91.516069,40.0
Pylon 2851519397,POWER_PYLON,26.059040,91.473296,40.0
Pylon 2851519398,POWER_PYLON,26.059048,91.494700,40.0
Pylon 2851519399,POWER_PYLON,26.059277,91.519327,40.0
Pylon 2851519400,POWER_PYLON,26.059336,91.476296,40.0
Pylon 2851521238,POWER_PYLON,26.281790,91.700817,40.0
Pylon 2851521240,POWER_PYLON,26.282459,91.823124,40.0
Pylon 2851521250,POWER_PYLON,26.284467,91.701586,40.0
Pylon 2851521255,POWER_PYLON,26.285298,91.825810,40.0
Pylon 2851521261,POWER_PYLON,26.287007,91.702320,40.0
Pylon 2851521263,POWER_PYLON,26.287884,91.828258,40.0
Pylon 2851521266,POWER_PYLON,26.289545,91.703069,40.0
Pylon 2851521267,POWER_PYLON,26.289814,91.830369,40.0
Pylon 2851521271,POWER_PYLON,26.291833,91.832540,40.0
Pylon 2851521272,POWER_PYLON,26.291912,91.703724,40.0
Pylon 2851521275,POWER_PYLON,26.293858,91.834843,40.0
Pylon 2851521277,POWER_PYLON,26.294580,91.704498,40.0
Pylon 2851521278,POWER_PYLON,26.295721,91.836898,40.0
Pylon 2851521280,POWER_PYLON,26.297271,91.705264,40.0
Pylon 2851521281,POWER_PYLON,26.297507,91.838910,40.0
Pylon 2851521284,POWER_PYLON,26.299588,91.841203,40.0
Pylon 2851521285,POWER_PYLON,26.299754,91.705985,40.0
Pylon 2851521501,POWER_PYLON,26.059395,91.447047,40.0
Pylon 2851521502,POWER_PYLON,26.059399,91.897697,40.0
Pylon 2851521503,POWER_PYLON,26.059446,91.491289,40.0
Pylon 2851521504,POWER_PYLON,26.059563,91.522897,40.0
Pylon 2851521505,POWER_PYLON,26.059640,91.479255,40.0
Pylon 2851521506,POWER_PYLON,26.059770,91.525804,40.0
Pylon 2851521507,POWER_PYLON,26.059817,91.488043,40.0
Pylon 2851521508,POWER_PYLON,26.059834,91.443923,40.0
Pylon 2851521509,POWER_PYLON,26.059913,91.481973,40.0
Pylon 2851521510,POWER_PYLON,26.059984,91.529093,40.0
Pylon 2851521511,POWER_PYLON,26.060212,91.484965,40.0
Pylon 2851521512,POWER_PYLON,26.060226,91.532353,40.0
Pylon 2851521513,POWER_PYLON,26.060285,91.899791,40.0
Pylon 2851521514,POWER_PYLON,26.060362,91.440892,40.0
Pylon 2851521515,POWER_PYLON,26.060454,91.535554,40.0
Pylon 2851521516,POWER_PYLON,26.060720,91.538815,40.0
Pylon 2851521517,POWER_PYLON,26.060799,91.437992,40.0
Pylon 2851521518,POWER_PYLON,26.060811,91.596546,40.0
Pylon 2851521519,POWER_PYLON,26.060855,91.502227,40.0
Pylon 2851521520,POWER_PYLON,26.061235,91.435056,40.0
Pylon 2851521521,POWER_PYLON,26.061288,91.902165,40.0
Pylon 2851521522,POWER_PYLON,26.061723,91.431887,40.0
Pylon 2851521523,POWER_PYLON,26.061816,91.541962,40.0
Pylon 2851521524,POWER_PYLON,26.062231,91.428857,40.0
Pylon 2851521525,POWER_PYLON,26.062401,91.498959,40.0
Pylon 2851521526,POWER_PYLON,26.062718,91.598769,40.0
Pylon 2851521527,POWER_PYLON,26.062719,91.425685,40.0
Pylon 2851521540,POWER_PYLON,26.063204,91.422530,40.0
Pylon 2851521541,POWER_PYLON,26.063220,91.544827,40.0
Pylon 2851521542,POWER_PYLON,26.063430,91.495755,40.0
Pylon 2851521544,POWER_PYLON,26.063694,91.419281,40.0
Pylon 2851521547,POWER_PYLON,26.064014,91.905104,40.0
Pylon 2851521548,POWER_PYLON,26.064029,91.417249,40.0
Pylon 2851521549,POWER_PYLON,26.064488,91.492330,40.0
Pylon 2851521550,POWER_PYLON,26.064531,91.600927,40.0
Pylon 2851521551,POWER_PYLON,26.064750,91.546086,40.0
Pylon 2851521552,POWER_PYLON,26.064982,91.555227,40.0
Pylon 2851521553,POWER_PYLON,26.064728,91.553509,40.0
Pylon 2851521554,POWER_PYLON,26.065285,91.414543,40.0
Pylon 2851521555,POWER_PYLON,26.065299,91.548801,40.0
Pylon 2851521556,POWER_PYLON,26.065309,91.551686,40.0
Pylon 2851521557,POWER_PYLON,26.065491,91.906616,40.0
Pylon 2851521559,POWER_PYLON,26.065535,91.489098,40.0
Pylon 2851521574,POWER_PYLON,26.065977,91.450144,40.0
Pylon 2851521575,POWER_PYLON,26.066242,91.557590,40.0
Pylon 2851521576,POWER_PYLON,26.066340,91.485204,40.0
Pylon 2851521577,POWER_PYLON,26.066343,91.603065,40.0
Pylon 2851521579,POWER_PYLON,26.066465,91.411982,40.0
Pylon 2851521581,POWER_PYLON,26.067000,91.908260,40.0
Pylon 2851521582,POWER_PYLON,26.067102,91.481502,40.0
Pylon 2851521583,POWER_PYLON,26.067197,91.408619,40.0
Pylon 2851521584,POWER_PYLON,26.067230,91.560728,40.0
Pylon 2851521585,POWER_PYLON,26.067580,91.452958,40.0
Pylon 2851521587,POWER_PYLON,26.067614,91.910334,40.0
Pylon 2851521588,POWER_PYLON,26.067892,91.477776,40.0
Pylon 2851521589,POWER_PYLON,26.067950,91.608954,40.0
Pylon 2851521590,POWER_PYLON,26.068095,91.607137,40.0
Pylon 2851521591,POWER_PYLON,26.068178,91.605232,40.0
Pylon 2851521592,POWER_PYLON,26.068180,91.408219,40.0
Pylon 2851521593,POWER_PYLON,26.068200,91.564102,40.0
Pylon 2851521595,POWER_PYLON,26.068701,91.473985,40.0
Pylon 2851521597,POWER_PYLON,26.068925,91.914619,40.0
Pylon 2851521598,POWER_PYLON,26.069030,91.612681,40.0
Pylon 2851521599,POWER_PYLON,26.069123,91.455615,40.0
Pylon 2851521600,POWER_PYLON,26.069235,91.406004,40.0
Pylon 2851521801,POWER_PYLON,26.069252,91.567601,40.0
Pylon 2851521803,POWER_PYLON,26.069546,91.470086,40.0
Pylon 2851521804,POWER_PYLON,26.069957,91.400169,40.0
Pylon 2851521805,POWER_PYLON,26.069965,91.917920,40.0
Pylon 2851521806,POWER_PYLON,26.070151,91.570631,40.0
Pylon 2851521807,POWER_PYLON,26.070351,91.466207,40.0
Pylon 2851521808,POWER_PYLON,26.070517,91.458068,40.0
Pylon 2851521809,POWER_PYLON,26.070532,91.403154,40.0
Pylon 2851521810,POWER_PYLON,26.070824,91.615326,40.0
Pylon 2851521811,POWER_PYLON,26.071189,91.462292,40.0
Pylon 2851521812,POWER_PYLON,26.071389,91.571074,40.0
Pylon 2851521813,POWER_PYLON,26.072002,91.919998,40.0
Pylon 2851521814,POWER_PYLON,26.072442,91.618931,40.0
Pylon 2851521815,POWER_PYLON,26.073421,91.574184,40.0
Pylon 2851521816,POWER_PYLON,26.073908,91.622513,40.0
Pylon 2851521817,POWER_PYLON,26.074707,91.922889,40.0
Pylon 2851521818,POWER_PYLON,26.074905,91.576597,40.0
Pylon 2851521819,POWER_PYLON,26.076247,91.924537,40.0
Pylon 2851521820,POWER_PYLON,26.076503,91.579184,40.0
Pylon 2851521821,POWER_PYLON,26.077855,91.926208,40.0
Pylon 2851521822,POWER_PYLON,26.078124,91.581764,40.0
Pylon 2851521823,POWER_PYLON,26.079326,91.927775,40.0
Pylon 2851521824,POWER_PYLON,26.079758,91.584371,40.0
Pylon 2851521825,POWER_PYLON,26.080898,91.929446,40.0
Pylon 2851521826,POWER_PYLON,26.081328,91.586957,40.0
Pylon 2851521827,POWER_PYLON,26.082486,91.931120,40.0
Pylon 2851521828,POWER_PYLON,26.082875,91.589461,40.0
Pylon 2851521829,POWER_PYLON,26.083689,91.933712,40.0
Pylon 2851521830,POWER_PYLON,26.083780,91.935591,40.0
Pylon 2851521831,POWER_PYLON,26.084545,91.592165,40.0
Pylon 2851521832,POWER_PYLON,26.084654,91.937825,40.0
Pylon 2851521833,POWER_PYLON,26.085593,91.940218,40.0
Pylon 2851521834,POWER_PYLON,26.086191,91.594831,40.0
Pylon 2851521835,POWER_PYLON,26.086880,91.943510,40.0
Pylon 2851521836,POWER_PYLON,26.087863,91.597511,40.0
Pylon 2851521837,POWER_PYLON,26.087868,91.946102,40.0
Pylon 2851521838,POWER_PYLON,26.088586,91.977826,40.0
Pylon 2851521839,POWER_PYLON,26.088703,91.948226,40.0
Pylon 2851521840,POWER_PYLON,26.089056,91.975959,40.0
Pylon 2851521841,POWER_PYLON,26.089535,91.600231,40.0
Pylon 2851521842,POWER_PYLON,26.089566,91.973886,40.0
Pylon 2851521843,POWER_PYLON,26.089630,91.950571,40.0
Pylon 2851521844,POWER_PYLON,26.089946,91.980745,40.0
Pylon 2851521845,POWER_PYLON,26.090232,91.971175,40.0
Pylon 2851521846,POWER_PYLON,26.090516,91.952916,40.0
Pylon 2851521847,POWER_PYLON,26.090758,91.969037,40.0
Pylon 2851521848,POWER_PYLON,26.091294,91.966931,40.0
Pylon 2851521849,POWER_PYLON,26.091378,91.602650,40.0
Pylon 2851521850,POWER_PYLON,26.091435,91.955243,40.0
Pylon 2851521851,POWER_PYLON,26.091915,91.964444,40.0
Pylon 2851521852,POWER_PYLON,26.092341,91.957588,40.0
Pylon 2851521853,POWER_PYLON,26.092412,91.982786,40.0
