lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
26.300000,91.400000,19153.7,30.0,TOWER
26.300000,91.402000,18962.5,30.0,TOWER
26.300000,91.404000,18771.4,30.0,TOWER
26.300000,91.406000,18580.5,30.0,TOWER
26.300000,91.408000,18389.8,30.0,TOWER
26.300000,91.410000,18199.3,30.0,TOWER
26.300000,91.412000,18009.1,30.0,TOWER
26.300000,91.414000,17819.0,30.0,TOWER
26.300000,91.416000,17629.1,30.0,TOWER
26.300000,91.418000,17439.5,30.0,TOWER
26.300000,91.420000,17250.1,30.0,TOWER
26.300000,91.422000,17061.0,30.0,TOWER
26.300000,91.424000,16872.1,30.0,TOWER
26.300000,91.426000,16683.5,30.0,TOWER
26.300000,91.428000,16495.1,30.0,TOWER
26.300000,91.430000,16307.0,30.0,TOWER
26.300000,91.432000,16119.2,30.0,TOWER
26.300000,91.434000,15931.7,30.0,TOWER
26.300000,91.436000,15744.5,30.0,TOWER
26.300000,91.438000,15557.6,30.0,TOWER
26.300000,91.440000,15371.1,30.0,TOWER
26.300000,91.442000,15184.9,30.0,TOWER
26.300000,91.444000,14999.0,30.0,TOWER
26.300000,91.446000,14813.6,30.0,TOWER
26.300000,91.448000,14628.5,30.0,TOWER
26.300000,91.450000,14443.8,30.0,TOWER
26.300000,91.452000,14259.5,30.0,TOWER
26.300000,91.454000,14075.7,30.0,TOWER
26.300000,91.456000,13892.2,30.0,TOWER
26.300000,91.458000,13709.3,30.0,TOWER
26.300000,91.460000,13526.9,30.0,TOWER
26.300000,91.462000,13344.9,30.0,TOWER
26.300000,91.464000,13163.5,30.0,TOWER
26.300000,91.466000,12982.6,30.0,TOWER
26.300000,91.468000,12802.3,30.0,TOWER
26.300000,91.470000,12622.6,30.0,TOWER
26.300000,91.472000,12443.5,30.0,TOWER
26.300000,91.474000,12265.0,30.0,TOWER
26.300000,91.476000,12087.2,30.0,TOWER
26.300000,91.478000,11910.2,30.0,TOWER
26.300000,91.480000,11733.8,30.0,TOWER
26.300000,91.482000,11558.3,30.0,TOWER
26.300000,91.484000,11383.5,30.0,TOWER
26.300000,91.486000,11209.6,30.0,TOWER
26.300000,91.488000,11036.6,30.0,TOWER
26.300000,91.490000,10864.5,30.0,TOWER
26.300000,91.492000,10693.3,30.0,TOWER
26.300000,91.494000,10523.2,30.0,TOWER
26.300000,91.496000,10354.2,30.0,TOWER
26.300000,91.498000,10186.3,30.0,TOWER
26.300000,91.500000,10019.6,30.0,TOWER
26.300000,91.502000,9854.1,30.0,TOWER
26.300000,91.504000,9689.9,30.0,TOWER
26.300000,91.506000,9527.0,30.0,TOWER
26.300000,91.508000,9365.7,30.0,TOWER
26.300000,91.510000,9205.8,30.0,TOWER
26.300000,91.512000,9047.5,30.0,TOWER
26.300000,91.514000,8890.9,30.0,TOWER
26.300000,91.516000,8736.1,30.0,TOWER
26.300000,91.518000,8583.2,30.0,TOWER
26.300000,91.520000,8432.2,30.0,TOWER
