lat,lon,elev_m,slope_deg,roughness_m,surface_type
26.300000,91.400000,44.00,0.000,0.00,flat
26.300000,91.402000,44.00,0.000,0.00,flat
26.300000,91.404000,44.00,0.000,0.00,flat
26.300000,91.406000,44.00,0.000,0.00,flat
26.300000,91.408000,44.00,0.000,0.00,flat
26.300000,91.410000,44.00,0.000,0.00,flat
26.300000,91.412000,44.00,0.000,0.00,flat
26.300000,91.414000,44.00,0.000,0.00,flat
26.300000,91.416000,44.00,0.000,0.00,flat
26.300000,91.418000,44.00,0.000,0.00,flat
26.300000,91.420000,44.00,0.158,0.50,flat
26.300000,91.422000,45.10,0.316,0.87,flat
26.300000,91.424000,46.20,0.320,0.88,flat
26.300000,91.426000,47.30,0.327,0.88,flat
26.300000,91.428000,48.40,0.335,0.89,flat
26.300000,91.430000,49.50,0.346,0.91,flat
26.300000,91.432000,50.60,0.359,0.92,flat
26.300000,91.434000,51.70,0.374,0.94,flat
26.300000,91.436000,52.80,0.390,0.97,flat
26.300000,91.438000,53.90,0.407,0.99,flat
26.300000,91.440000,55.00,0.287,0.68,flat
26.300000,91.442000,54.00,0.385,0.92,flat
26.300000,91.444000,53.00,0.367,0.89,flat
26.300000,91.446000,52.00,0.350,0.87,flat
26.300000,91.448000,51.00,0.334,0.85,flat
26.300000,91.450000,50.00,0.320,0.83,flat
26.300000,91.452000,49.00,0.309,0.81,flat
26.300000,91.454000,48.00,0.299,0.80,flat
26.300000,91.456000,47.00,0.292,0.79,flat
26.300000,91.458000,46.00,0.287,0.79,flat
26.300000,91.460000,45.00,0.071,0.39,flat
26.300000,91.462000,45.50,0.144,0.39,flat
26.300000,91.464000,46.00,0.147,0.40,flat
26.300000,91.466000,46.50,0.152,0.40,flat
26.300000,91.468000,47.00,0.159,0.41,flat
26.300000,91.470000,47.50,0.167,0.42,flat
26.300000,91.472000,48.00,0.177,0.43,flat
26.300000,91.474000,48.50,0.187,0.45,flat
26.300000,91.476000,49.00,0.199,0.47,flat
26.300000,91.478000,49.50,0.211,0.48,flat
26.300000,91.480000,50.00,0.177,0.36,flat
26.300000,91.482000,49.80,0.170,0.33,flat
26.300000,91.484000,49.60,0.160,0.31,flat
26.300000,91.486000,49.40,0.149,0.29,flat
26.300000,91.488000,49.20,0.138,0.28,flat
26.300000,91.490000,49.00,0.128,0.26,flat
26.300000,91.492000,48.80,0.118,0.24,flat
26.300000,91.494000,48.60,0.108,0.23,flat
26.300000,91.496000,48.40,0.099,0.21,flat
26.300000,91.498000,48.20,0.089,0.20,flat
