name,category,lat,lon,height_m
Pylon 4141778998,POWER_PYLON,24.623786,93.767477,40.0
Pylon 4141778999,POWER_PYLON,24.625552,93.767623,40.0
Pylon 4141779000,POWER_PYLON,24.627128,93.768497,40.0
Pylon 4141779001,POWER_PYLON,24.627941,93.768366,40.0
Pylon 4141779002,POWER_PYLON,24.630142,93.769043,40.0
Pylon 4141779003,POWER_PYLON,24.630425,93.769555,40.0
Pylon 4141779004,POWER_PYLON,24.633227,93.769374,40.0
Pylon 4141779005,POWER_PYLON,24.633599,93.770551,40.0
Pylon 4141779006,POWER_PYLON,24.636601,93.769747,40.0
Pylon 4141779007,POWER_PYLON,24.636661,93.771536,40.0
Pylon 4141779008,POWER_PYLON,24.639549,93.770063,40.0
Pylon 4141779009,POWER_PYLON,24.640333,93.772686,40.0
Pylon 4141779010,POWER_PYLON,24.642910,93.773494,40.0
Pylon 4141781193,POWER_PYLON,24.601185,93.749810,40.0
Pylon 4141781194,POWER_PYLON,24.602150,93.760154,40.0
Pylon 4141781195,POWER_PYLON,24.602467,93.751764,40.0
Pylon 4141781196,POWER_PYLON,24.603838,93.753873,40.0
Pylon 4141781197,POWER_PYLON,24.604958,93.760429,40.0
Pylon 4141781198,POWER_PYLON,24.605104,93.755877,40.0
Pylon 4141781199,POWER_PYLON,24.606740,93.758385,40.0
Pylon 4141781200,POWER_PYLON,24.607726,93.760716,40.0
Pylon 4141781201,POWER_PYLON,24.608331,93.760865,40.0
Pylon 4141781202,POWER_PYLON,24.609132,93.762836,40.0
Pylon 4141781203,POWER_PYLON,24.609527,93.762720,40.0
Pylon 4141781204,POWER_PYLON,24.612295,93.763574,40.0
Pylon 4141781205,POWER_PYLON,24.612459,93.763874,40.0
Pylon 4141781206,POWER_PYLON,24.615092,93.764425,40.0
Pylon 4141781207,POWER_PYLON,24.615501,93.764853,40.0
Pylon 4141781208,POWER_PYLON,24.617839,93.765273,40.0
Pylon 4141781209,POWER_PYLON,24.618104,93.765673,40.0
Pylon 4141781210,POWER_PYLON,24.620652,93.766135,40.0
Pylon 4141781211,POWER_PYLON,24.621061,93.766615,40.0
Pylon 4141781212,POWER_PYLON,24.623134,93.766885,40.0
Tower 7390337977,TOWER,24.763933,93.896332,30.0
Pylon 10064402273,POWER_PYLON,24.700404,93.803214,40.0
Pylon 10064402274,POWER_PYLON,24.702420,93.805744,40.0
Pylon 10064402275,POWER_PYLON,24.704420,93.808233,40.0
Pylon 10064402276,POWER_PYLON,24.706501,93.810786,40.0
Pylon 10064402277,POWER_PYLON,24.708195,93.812862,40.0
Pylon 10064402278,POWER_PYLON,24.710227,93.815423,40.0
Pylon 10064402279,POWER_PYLON,24.712293,93.817996,40.0
Pylon 10064402280,POWER_PYLON,24.712965,93.816633,40.0
Pylon 10064402281,POWER_PYLON,24.711031,93.814348,40.0
Pylon 10064402282,POWER_PYLON,24.709008,93.812004,40.0
Pylon 10064402283,POWER_PYLON,24.706966,93.809584,40.0
Pylon 10064402284,POWER_PYLON,24.704883,93.807194,40.0
Pylon 10064402285,POWER_PYLON,24.702780,93.804716,40.0
Pylon 10064402286,POWER_PYLON,24.700675,93.802291,40.0
