lat,lon,elev_m,slope_deg,roughness_m,surface_type
25.100000,93.700000,1101.00,19.387,33.23,hilly
25.100000,93.702000,1166.86,19.073,54.11,hilly
25.100000,93.704000,1232.72,18.797,53.74,hilly
25.100000,93.706000,1298.58,18.562,53.42,hilly
25.100000,93.708000,1364.44,18.370,53.16,hilly
25.100000,93.710000,1430.30,18.222,52.97,hilly
25.100000,93.712000,1496.16,18.121,52.83,hilly
25.100000,93.714000,1562.02,18.066,52.76,hilly
25.100000,93.716000,1627.88,18.059,52.75,hilly
25.100000,93.718000,1693.74,17.383,50.54,hilly
25.100000,93.720000,1754.02,10.157,30.45,rolling
25.100000,93.722000,1764.23,4.451,9.65,flat
25.100000,93.724000,1774.43,5.290,11.00,rolling
25.100000,93.726000,1784.63,6.191,12.49,rolling
25.100000,93.728000,1794.83,7.127,14.09,rolling
25.100000,93.730000,1805.03,8.085,15.77,rolling
25.100000,93.732000,1815.24,9.055,17.50,rolling
25.100000,93.734000,1825.44,10.032,19.27,rolling
25.100000,93.736000,1835.64,11.011,21.06,rolling
25.100000,93.738000,1845.84,11.680,21.41,rolling
25.100000,93.740000,1840.99,15.135,35.63,hilly
25.100000,93.742000,1776.14,19.406,51.71,hilly
25.100000,93.744000,1711.29,18.329,50.16,hilly
25.100000,93.746000,1646.44,17.825,49.46,hilly
25.100000,93.748000,1581.59,17.957,49.64,hilly
25.100000,93.750000,1516.74,18.708,50.70,hilly
25.100000,93.752000,1451.89,19.989,52.58,hilly
25.100000,93.754000,1387.04,21.674,55.20,hilly
25.100000,93.756000,1322.19,23.639,58.46,hilly
25.100000,93.758000,1257.34,24.286,56.00,hilly
25.100000,93.760000,1212.70,22.180,43.77,hilly
25.100000,93.762000,1215.02,19.678,37.65,hilly
25.100000,93.764000,1217.35,17.800,33.82,hilly
25.100000,93.766000,1219.67,15.883,30.00,hilly
25.100000,93.768000,1221.99,13.928,26.19,rolling
25.100000,93.770000,1224.32,11.941,22.39,rolling
25.100000,93.772000,1226.64,9.925,18.59,rolling
25.100000,93.774000,1228.96,7.886,14.83,rolling
25.100000,93.776000,1231.29,5.831,11.11,rolling
25.100000,93.778000,1233.61,4.218,11.60,flat
25.100000,93.780000,1217.13,8.920,26.89,rolling
