name,category,lat,lon,height_m
Wind Turbine 1242395526,WIND_TURBINE,26.962998,70.890714,120.0
Wind Turbine 1242395528,WIND_TURBINE,26.953100,70.902430,120.0
Wind Turbine 1242395531,WIND_TURBINE,26.951522,70.898021,120.0
Wind Turbine 1242395533,WIND_TURBINE,26.961803,70.892957,120.0
Wind Turbine 1242395538,WIND_TURBINE,26.952689,70.896926,120.0
Wind Turbine 1242395543,WIND_TURBINE,26.956314,70.894319,120.0
Wind Turbine 1242395546,WIND_TURBINE,26.958398,70.897645,120.0
Wind Turbine 1242395549,WIND_TURBINE,26.959842,70.894469,120.0
Wind Turbine 1242395559,WIND_TURBINE,26.958829,70.890575,120.0
Wind Turbine 1242395561,WIND_TURBINE,26.954793,70.900649,120.0
Wind Turbine 1242395563,WIND_TURBINE,26.956314,70.898729,120.0
Wind Turbine 1242395565,WIND_TURBINE,26.955147,70.895167,120.0
Wind Turbine 1242395570,WIND_TURBINE,26.953799,70.896208,120.0
Wind Turbine 1242395582,WIND_TURBINE,26.957547,70.893128,120.0
Wind Turbine 1242406777,WIND_TURBINE,26.948931,70.872368,120.0
Wind Turbine 1242406778,WIND_TURBINE,26.945038,70.880232,120.0
Wind Turbine 1242406780,WIND_TURBINE,26.950050,70.871231,120.0
Wind Turbine 1242406782,WIND_TURBINE,26.942456,70.883526,120.0
Wind Turbine 1242406786,WIND_TURBINE,26.946922,70.871274,120.0
Wind Turbine 1242406789,WIND_TURBINE,26.940323,70.885929,120.0
Wind Turbine 1242406790,WIND_TURBINE,26.952316,70.881386,120.0
Wind Turbine 1242406793,WIND_TURBINE,26.943259,70.885994,120.0
Wind Turbine 1242406794,WIND_TURBINE,26.951580,70.875833,120.0
Wind Turbine 1242406795,WIND_TURBINE,26.945861,70.872572,120.0
Wind Turbine 1242406797,WIND_TURBINE,26.941375,70.884749,120.0
Wind Turbine 1242406806,WIND_TURBINE,26.953134,70.871177,120.0
Wind Turbine 1242406810,WIND_TURBINE,26.947697,70.884256,120.0
Wind Turbine 1242406814,WIND_TURBINE,26.953383,70.880227,120.0
Wind Turbine 1242406815,WIND_TURBINE,26.942207,70.887152,120.0
Wind Turbine 1242406816,WIND_TURBINE,26.946865,70.881992,120.0
Wind Turbine 1242406819,WIND_TURBINE,26.949007,70.879588,120.0
Wind Turbine 1242406821,WIND_TURBINE,26.948768,70.875823,120.0
Wind Turbine 1242406822,WIND_TURBINE,26.946827,70.874771,120.0
Wind Turbine 1242406824,WIND_TURBINE,26.952039,70.872368,120.0
Wind Turbine 1242406826,WIND_TURBINE,26.945669,70.875876,120.0
Wind Turbine 1242406827,WIND_TURBINE,26.944914,70.873731,120.0
Wind Turbine 1242406828,WIND_TURBINE,26.950011,70.882099,120.0
Wind Turbine 1242406830,WIND_TURBINE,26.950948,70.873527,120.0
Wind Turbine 1242406832,WIND_TURBINE,26.947907,70.880833,120.0
Wind Turbine 1242406833,WIND_TURBINE,26.948931,70.883290,120.0
Wind Turbine 1242406834,WIND_TURBINE,26.949858,70.874696,120.0
Wind Turbine 1242406836,WIND_TURBINE,26.947840,70.873548,120.0
Wind Turbine 1242445489,WIND_TURBINE,26.984349,70.893654,120.0
Wind Turbine 1242445494,WIND_TURBINE,27.029247,70.942288,120.0
Wind Turbine 1242445498,WIND_TURBINE,27.014041,70.932525,120.0
Wind Turbine 1242445500,WIND_TURBINE,27.044107,70.964078,120.0
Wind Turbine 1242445507,WIND_TURBINE,27.039616,70.965065,120.0
Wind Turbine 1242445510,WIND_TURBINE,27.041929,70.945624,120.0
Wind Turbine 1242445512,WIND_TURBINE,27.041996,70.966460,120.0
Wind Turbine 1242445514,WIND_TURBINE,26.970227,70.917858,120.0
Wind Turbine 1242445517,WIND_TURBINE,26.961841,70.907634,120.0
Wind Turbine 1242445526,WIND_TURBINE,26.989149,70.911775,120.0
Wind Turbine 1242445532,WIND_TURBINE,26.968716,70.919854,120.0
Wind Turbine 1242445541,WIND_TURBINE,26.982083,70.896497,120.0
Wind Turbine 1242445543,WIND_TURBINE,27.040448,70.953017,120.0
Wind Turbine 1242445544,WIND_TURBINE,26.970810,70.924596,120.0
Wind Turbine 1242445564,WIND_TURBINE,27.004549,70.930014,120.0
Wind Turbine 1242445569,WIND_TURBINE,26.972952,70.923233,120.0
Wind Turbine 1242445576,WIND_TURBINE,27.032057,70.962469,120.0
Wind Turbine 1242445578,WIND_TURBINE,27.041360,70.943361,120.0
Wind Turbine 1242445581,WIND_TURBINE,26.985611,70.896604,120.0
Wind Turbine 1242445587,WIND_TURBINE,26.965188,70.918277,120.0
Wind Turbine 1242445589,WIND_TURBINE,27.043802,70.960377,120.0
Wind Turbine 1242445591,WIND_TURBINE,26.995659,70.914682,120.0
Wind Turbine 1242445594,WIND_TURBINE,27.044432,70.955216,120.0
Wind Turbine 1242445598,WIND_TURBINE,27.029955,70.964894,120.0
Wind Turbine 1242445608,WIND_TURBINE,27.038575,70.966213,120.0
