lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
27.200000,70.600000,741.7,40.0,POWER_PYLON
27.200000,70.602000,740.6,40.0,POWER_PYLON
27.200000,70.604000,791.0,40.0,POWER_PYLON
27.200000,70.606000,884.1,40.0,POWER_PYLON
27.200000,70.608000,1008.1,40.0,POWER_PYLON
27.200000,70.610000,938.8,120.0,WIND_TURBINE
27.200000,70.612000,742.9,120.0,WIND_TURBINE
27.200000,70.614000,548.7,120.0,WIND_TURBINE
27.200000,70.616000,359.3,120.0,WIND_TURBINE
27.200000,70.618000,189.4,120.0,WIND_TURBINE
27.200000,70.620000,146.4,120.0,WIND_TURBINE
27.200000,70.622000,292.9,120.0,WIND_TURBINE
27.200000,70.624000,478.4,120.0,WIND_TURBINE
27.200000,70.626000,550.8,120.0,WIND_TURBINE
27.200000,70.628000,655.4,120.0,WIND_TURBINE
27.200000,70.630000,726.0,120.0,WIND_TURBINE
27.200000,70.632000,787.1,120.0,WIND_TURBINE
27.200000,70.634000,889.2,120.0,WIND_TURBINE
27.200000,70.636000,964.1,120.0,WIND_TURBINE
27.200000,70.638000,770.8,120.0,WIND_TURBINE
27.200000,70.640000,580.9,120.0,WIND_TURBINE
27.200000,70.642000,399.5,120.0,WIND_TURBINE
27.200000,70.644000,246.1,120.0,WIND_TURBINE
27.200000,70.646000,200.7,120.0,WIND_TURBINE
27.200000,70.648000,314.3,120.0,WIND_TURBINE
27.200000,70.650000,405.3,120.0,WIND_TURBINE
27.200000,70.652000,420.4,120.0,WIND_TURBINE
27.200000,70.654000,517.7,120.0,WIND_TURBINE
27.200000,70.656000,585.4,120.0,WIND_TURBINE
27.200000,70.658000,645.9,120.0,WIND_TURBINE
27.200000,70.660000,755.3,120.0,WIND_TURBINE
27.200000,70.662000,815.5,120.0,WIND_TURBINE
27.200000,70.664000,745.5,120.0,WIND_TURBINE
27.200000,70.666000,549.2,120.0,WIND_TURBINE
27.200000,70.668000,355.1,120.0,WIND_TURBINE
27.200000,70.670000,171.5,120.0,WIND_TURBINE
27.200000,70.672000,107.2,120.0,WIND_TURBINE
27.200000,70.674000,230.3,40.0,POWER_PYLON
27.200000,70.676000,259.8,120.0,WIND_TURBINE
27.200000,70.678000,259.0,120.0,WIND_TURBINE
27.200000,70.680000,381.3,120.0,WIND_TURBINE
27.200000,70.682000,432.9,120.0,WIND_TURBINE
27.200000,70.684000,489.9,120.0,WIND_TURBINE
27.200000,70.686000,609.5,120.0,WIND_TURBINE
27.200000,70.688000,657.4,120.0,WIND_TURBINE
27.200000,70.690000,721.2,120.0,WIND_TURBINE
27.200000,70.692000,828.7,120.0,WIND_TURBINE
27.200000,70.694000,895.0,120.0,WIND_TURBINE
27.200000,70.696000,962.6,120.0,WIND_TURBINE
27.200000,70.698000,1063.5,120.0,WIND_TURBINE
27.200000,70.700000,1084.5,40.0,POWER_PYLON
27.200000,70.702000,889.1,40.0,POWER_PYLON
27.200000,70.704000,695.5,40.0,POWER_PYLON
27.200000,70.706000,505.5,40.0,POWER_PYLON
27.200000,70.708000,325.9,40.0,POWER_PYLON
27.200000,70.710000,167.9,40.0,POWER_PYLON
27.200000,70.712000,167.5,40.0,POWER_PYLON
27.200000,70.714000,326.6,40.0,POWER_PYLON
27.200000,70.716000,499.2,40.0,POWER_PYLON
27.200000,70.718000,637.5,40.0,POWER_PYLON
27.200000,70.720000,801.5,40.0,POWER_PYLON
27.200000,70.722000,960.4,40.0,POWER_PYLON
27.200000,70.724000,1114.0,40.0,POWER_PYLON
27.200000,70.726000,1279.9,40.0,POWER_PYLON
27.200000,70.728000,1433.5,40.0,POWER_PYLON
27.200000,70.730000,1591.4,40.0,POWER_PYLON
27.200000,70.732000,1755.4,40.0,POWER_PYLON
27.200000,70.734000,1907.9,40.0,POWER_PYLON
27.200000,70.736000,2068.1,40.0,POWER_PYLON
27.200000,70.738000,2228.2,40.0,POWER_PYLON
27.200000,70.740000,2383.3,40.0,POWER_PYLON
27.200000,70.742000,2445.2,120.0,WIND_TURBINE
27.200000,70.744000,2442.3,120.0,WIND_TURBINE
27.200000,70.746000,2455.5,120.0,WIND_TURBINE
27.200000,70.748000,2484.6,120.0,WIND_TURBINE
27.200000,70.750000,2528.9,120.0,WIND_TURBINE
27.200000,70.752000,2587.8,120.0,WIND_TURBINE
27.200000,70.754000,2660.2,120.0,WIND_TURBINE
27.200000,70.756000,2745.0,120.0,WIND_TURBINE
27.200000,70.758000,2786.7,120.0,WIND_TURBINE
27.200000,70.760000,2626.4,120.0,WIND_TURBINE
27.200000,70.762000,2471.6,120.0,WIND_TURBINE
27.200000,70.764000,2323.4,120.0,WIND_TURBINE
27.200000,70.766000,2183.2,120.0,WIND_TURBINE
27.200000,70.768000,2052.7,120.0,WIND_TURBINE
27.200000,70.770000,1933.7,120.0,WIND_TURBINE
27.200000,70.772000,1828.6,120.0,WIND_TURBINE
27.200000,70.774000,1739.9,120.0,WIND_TURBINE
27.200000,70.776000,1670.2,120.0,WIND_TURBINE
27.200000,70.778000,1621.8,120.0,WIND_TURBINE
27.200000,70.780000,1596.9,120.0,WIND_TURBINE
27.200000,70.782000,1596.4,120.0,WIND_TURBINE
27.200000,70.784000,1620.4,120.0,WIND_TURBINE
27.200000,70.786000,1580.3,120.0,WIND_TURBINE
27.200000,70.788000,1439.2,120.0,WIND_TURBINE
27.200000,70.790000,1313.0,120.0,WIND_TURBINE
27.200000,70.792000,1206.4,120.0,WIND_TURBINE
