lat,lon,elev_m,slope_deg,roughness_m,surface_type
27.200000,70.600000,222.00,0.264,0.44,flat
27.200000,70.602000,221.40,0.241,0.55,flat
27.200000,70.604000,220.81,0.220,0.52,flat
27.200000,70.606000,220.21,0.202,0.50,flat
27.200000,70.608000,219.62,0.188,0.48,flat
27.200000,70.610000,219.02,0.177,0.46,flat
27.200000,70.612000,218.43,0.172,0.46,flat
27.200000,70.614000,217.83,0.173,0.46,flat
27.200000,70.616000,217.24,0.179,0.46,flat
27.200000,70.618000,216.64,0.190,0.48,flat
27.200000,70.620000,216.05,0.113,0.35,flat
27.200000,70.622000,216.73,0.241,0.64,flat
27.200000,70.624000,217.53,0.254,0.68,flat
27.200000,70.626000,218.32,0.253,0.67,flat
27.200000,70.628000,219.11,0.251,0.67,flat
27.200000,70.630000,219.91,0.250,0.67,flat
27.200000,70.632000,220.70,0.249,0.67,flat
27.200000,70.634000,221.50,0.248,0.67,flat
27.200000,70.636000,222.29,0.247,0.67,flat
27.200000,70.638000,223.08,0.246,0.67,flat
27.200000,70.640000,223.88,0.245,0.66,flat
27.200000,70.642000,224.67,0.242,0.65,flat
27.200000,70.644000,225.46,0.238,0.65,flat
27.200000,70.646000,226.26,0.235,0.64,flat
27.200000,70.648000,227.05,0.233,0.64,flat
27.200000,70.650000,227.85,0.231,0.64,flat
27.200000,70.652000,228.64,0.230,0.64,flat
27.200000,70.654000,229.43,0.229,0.64,flat
27.200000,70.656000,230.23,0.229,0.64,flat
27.200000,70.658000,231.02,0.230,0.64,flat
27.200000,70.660000,231.82,0.198,0.55,flat
27.200000,70.662000,232.38,0.159,0.42,flat
27.200000,70.664000,232.88,0.155,0.40,flat
27.200000,70.666000,233.37,0.162,0.41,flat
27.200000,70.668000,233.87,0.171,0.42,flat
27.200000,70.670000,234.37,0.181,0.44,flat
27.200000,70.672000,234.86,0.191,0.45,flat
27.200000,70.674000,235.36,0.203,0.47,flat
27.200000,70.676000,235.85,0.216,0.49,flat
27.200000,70.678000,236.35,0.229,0.51,flat
27.200000,70.680000,236.85,0.198,0.40,flat
27.200000,70.682000,236.59,0.230,0.50,flat
27.200000,70.684000,235.99,0.253,0.59,flat
27.200000,70.686000,235.40,0.247,0.58,flat
27.200000,70.688000,234.80,0.241,0.57,flat
27.200000,70.690000,234.21,0.235,0.56,flat
27.200000,70.692000,233.61,0.229,0.55,flat
27.200000,70.694000,233.02,0.224,0.54,flat
27.200000,70.696000,232.42,0.219,0.54,flat
27.200000,70.698000,231.83,0.213,0.53,flat
27.200000,70.700000,231.23,0.187,0.46,flat
27.200000,70.702000,230.82,0.154,0.36,flat
27.200000,70.704000,230.52,0.143,0.32,flat
27.200000,70.706000,230.22,0.143,0.32,flat
27.200000,70.708000,229.92,0.143,0.32,flat
