name,category,lat,lon,height_m
Wind Turbine 1616515264,WIND_TURBINE,26.423765,72.878253,120.0
Wind Turbine 1616515265,WIND_TURBINE,26.426705,72.876161,120.0
Wind Turbine 1616515267,WIND_TURBINE,26.428549,72.876528,120.0
Wind Turbine 1616515269,WIND_TURBINE,26.429538,72.875125,120.0
Wind Turbine 1616515270,WIND_TURBINE,26.430007,72.880088,120.0
Wind Turbine 1616515272,WIND_TURBINE,26.431258,72.873716,120.0
Wind Turbine 1616515274,WIND_TURBINE,26.431747,72.871112,120.0
Wind Turbine 1616515277,WIND_TURBINE,26.432634,72.869548,120.0
Wind Turbine 1616515281,WIND_TURBINE,26.434066,72.862246,120.0
Wind Turbine 1616515292,WIND_TURBINE,26.434413,72.868929,120.0
Wind Turbine 1616515294,WIND_TURBINE,26.434485,72.859575,120.0
Wind Turbine 1616515296,WIND_TURBINE,26.435398,72.858307,120.0
Wind Turbine 1616515299,WIND_TURBINE,26.438346,72.874994,120.0
Wind Turbine 1616515303,WIND_TURBINE,26.438388,72.877110,120.0
Wind Turbine 1616515308,WIND_TURBINE,26.438924,72.865993,120.0
Wind Turbine 1616515312,WIND_TURBINE,26.440158,72.864276,120.0
Wind Turbine 1616515316,WIND_TURBINE,26.440956,72.862245,120.0
Wind Turbine 1616515319,WIND_TURBINE,26.441046,72.860505,120.0
Wind Turbine 1616515324,WIND_TURBINE,26.442327,72.859171,120.0
Wind Turbine 1616515328,WIND_TURBINE,26.442775,72.855494,120.0
Wind Turbine 1616515333,WIND_TURBINE,26.443039,72.870934,120.0
Wind Turbine 1616515343,WIND_TURBINE,26.445785,72.872575,120.0
Wind Turbine 1616534598,WIND_TURBINE,26.426234,72.862409,120.0
Wind Turbine 1616535871,WIND_TURBINE,26.439439,72.871734,120.0
Wind Turbine 1616536438,WIND_TURBINE,26.450817,72.890803,120.0
Wind Turbine 1616536564,WIND_TURBINE,26.452350,72.888364,120.0
Wind Turbine 1616536602,WIND_TURBINE,26.454045,72.886368,120.0
Pylon 1837892971,POWER_PYLON,26.125618,73.001099,40.0
Pylon 1837892972,POWER_PYLON,26.128339,73.000360,40.0
Pylon 1837892973,POWER_PYLON,26.130986,72.999638,40.0
Pylon 1837892978,POWER_PYLON,26.142191,72.996526,40.0
Pylon 1837892979,POWER_PYLON,26.144976,72.995783,40.0
Pylon 1837892980,POWER_PYLON,26.147522,72.995068,40.0
Pylon 1837892981,POWER_PYLON,26.149195,72.994603,40.0
Pylon 1837892982,POWER_PYLON,26.151796,72.993880,40.0
Pylon 1837892983,POWER_PYLON,26.154563,72.993145,40.0
Pylon 1837892984,POWER_PYLON,26.157158,72.992435,40.0
Pylon 1837892985,POWER_PYLON,26.159925,72.991696,40.0
