lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
26.600000,72.800000,1198.4,40.0,POWER_PYLON
26.600000,72.802000,1001.2,40.0,POWER_PYLON
26.600000,72.804000,805.2,40.0,POWER_PYLON
26.600000,72.806000,611.5,40.0,POWER_PYLON
26.600000,72.808000,423.1,40.0,POWER_PYLON
26.600000,72.810000,252.4,40.0,POWER_PYLON
26.600000,72.812000,167.5,40.0,POWER_PYLON
26.600000,72.814000,268.3,40.0,POWER_PYLON
26.600000,72.816000,390.2,40.0,POWER_PYLON
26.600000,72.818000,222.0,40.0,POWER_PYLON
26.600000,72.820000,161.0,40.0,POWER_PYLON
26.600000,72.822000,286.7,40.0,POWER_PYLON
26.600000,72.824000,437.5,40.0,POWER_PYLON
26.600000,72.826000,566.6,40.0,POWER_PYLON
26.600000,72.828000,721.7,40.0,POWER_PYLON
26.600000,72.830000,850.7,40.0,POWER_PYLON
26.600000,72.832000,1003.1,40.0,POWER_PYLON
26.600000,72.834000,1157.4,40.0,POWER_PYLON
26.600000,72.836000,1303.9,40.0,POWER_PYLON
26.600000,72.838000,1463.1,40.0,POWER_PYLON
26.600000,72.840000,1608.9,40.0,POWER_PYLON
26.600000,72.842000,1758.8,40.0,POWER_PYLON
26.600000,72.844000,1917.8,40.0,POWER_PYLON
26.600000,72.846000,2068.2,40.0,POWER_PYLON
26.600000,72.848000,2219.4,40.0,POWER_PYLON
26.600000,72.850000,2372.3,40.0,POWER_PYLON
26.600000,72.852000,2524.8,40.0,POWER_PYLON
26.600000,72.854000,2671.1,40.0,POWER_PYLON
26.600000,72.856000,2748.3,40.0,POWER_PYLON
26.600000,72.858000,2571.1,40.0,POWER_PYLON
26.600000,72.860000,2392.4,40.0,POWER_PYLON
26.600000,72.862000,2211.3,40.0,POWER_PYLON
26.600000,72.864000,2033.7,40.0,POWER_PYLON
26.600000,72.866000,1860.4,40.0,POWER_PYLON
26.600000,72.868000,1676.1,40.0,POWER_PYLON
26.600000,72.870000,1495.6,40.0,POWER_PYLON
26.600000,72.872000,1320.6,40.0,POWER_PYLON
26.600000,72.874000,1142.3,40.0,POWER_PYLON
26.600000,72.876000,957.2,40.0,POWER_PYLON
26.600000,72.878000,779.3,40.0,POWER_PYLON
26.600000,72.880000,614.8,40.0,POWER_PYLON
26.600000,72.882000,429.8,40.0,POWER_PYLON
26.600000,72.884000,241.1,40.0,POWER_PYLON
26.600000,72.886000,105.6,40.0,POWER_PYLON
