lat,lon,elev_m,slope_deg,roughness_m,surface_type
26.600000,72.800000,268.00,0.146,0.24,flat
26.600000,72.802000,268.50,0.146,0.41,flat
26.600000,72.804000,269.00,0.145,0.41,flat
26.600000,72.806000,269.50,0.145,0.41,flat
26.600000,72.808000,270.00,0.144,0.41,flat
26.600000,72.810000,270.49,0.144,0.41,flat
26.600000,72.812000,270.99,0.144,0.40,flat
26.600000,72.814000,271.49,0.143,0.40,flat
26.600000,72.816000,271.99,0.143,0.40,flat
26.600000,72.818000,272.49,0.143,0.40,flat
26.600000,72.820000,272.99,0.171,0.48,flat
26.600000,72.822000,273.68,0.200,0.55,flat
26.600000,72.824000,274.38,0.203,0.56,flat
26.600000,72.826000,275.08,0.205,0.56,flat
26.600000,72.828000,275.78,0.208,0.57,flat
26.600000,72.830000,276.47,0.213,0.57,flat
26.600000,72.832000,277.17,0.218,0.58,flat
26.600000,72.834000,277.87,0.224,0.58,flat
26.600000,72.836000,278.57,0.231,0.59,flat
26.600000,72.838000,279.27,0.238,0.60,flat
26.600000,72.840000,279.97,0.235,0.58,flat
26.600000,72.842000,280.57,0.228,0.56,flat
26.600000,72.844000,281.17,0.231,0.56,flat
26.600000,72.846000,281.77,0.235,0.56,flat
26.600000,72.848000,282.36,0.239,0.57,flat
26.600000,72.850000,282.96,0.243,0.58,flat
26.600000,72.852000,283.56,0.247,0.58,flat
26.600000,72.854000,284.16,0.251,0.59,flat
26.600000,72.856000,284.76,0.255,0.59,flat
26.600000,72.858000,285.36,0.259,0.60,flat
26.600000,72.860000,285.96,0.255,0.58,flat
26.600000,72.862000,286.46,0.251,0.55,flat
26.600000,72.864000,286.96,0.255,0.56,flat
26.600000,72.866000,287.46,0.260,0.57,flat
26.600000,72.868000,287.96,0.265,0.57,flat
26.600000,72.870000,288.46,0.270,0.58,flat
26.600000,72.872000,288.96,0.275,0.59,flat
26.600000,72.874000,289.45,0.280,0.60,flat
26.600000,72.876000,289.95,0.285,0.60,flat
26.600000,72.878000,290.45,0.289,0.61,flat
26.600000,72.880000,290.95,0.273,0.55,flat
26.600000,72.882000,291.09,0.278,0.51,flat
26.600000,72.884000,291.19,0.297,0.55,flat
26.600000,72.886000,291.29,0.317,0.58,flat
26.600000,72.888000,291.39,0.337,0.62,flat
26.600000,72.890000,291.49,0.357,0.66,flat
26.600000,72.892000,291.59,0.377,0.69,flat
26.600000,72.894000,291.69,0.397,0.73,flat
26.600000,72.896000,291.79,0.417,0.76,flat
26.600000,72.898000,291.89,0.437,0.80,flat
26.600000,72.900000,291.99,0.479,0.96,flat
26.600000,72.902000,290.86,0.559,1.26,flat
26.600000,72.904000,289.57,0.558,1.28,flat
26.600000,72.906000,288.27,0.541,1.26,flat
26.600000,72.908000,286.97,0.525,1.24,flat
26.600000,72.910000,285.68,0.509,1.21,flat
26.600000,72.912000,284.38,0.494,1.19,flat
26.600000,72.914000,283.08,0.479,1.17,flat
26.600000,72.916000,281.79,0.465,1.15,flat
26.600000,72.918000,280.49,0.452,1.14,flat
26.600000,72.920000,279.19,0.369,0.91,flat
26.600000,72.922000,278.49,0.283,0.64,flat
26.600000,72.924000,277.89,0.258,0.59,flat
26.600000,72.926000,277.29,0.243,0.56,flat
26.600000,72.928000,276.69,0.230,0.55,flat
26.600000,72.930000,276.10,0.217,0.53,flat
26.600000,72.932000,275.50,0.205,0.51,flat
26.600000,72.934000,274.90,0.195,0.50,flat
26.600000,72.936000,274.30,0.186,0.49,flat
26.600000,72.938000,273.70,0.180,0.48,flat
26.600000,72.940000,273.10,0.187,0.51,flat
