name,category,lat,lon,height_m
Tower 419284732,TOWER,22.494980,88.359589,30.0
Pylon 1330234435,POWER_PYLON,22.744958,88.220848,40.0
Pylon 1330234437,POWER_PYLON,22.747574,88.219198,40.0
Pylon 1330234438,POWER_PYLON,22.747781,88.111079,40.0
Pylon 1330234439,POWER_PYLON,22.750208,88.218048,40.0
Pylon 1330234440,POWER_PYLON,22.750972,88.112676,40.0
Pylon 1330234441,POWER_PYLON,22.752890,88.216848,40.0
Pylon 1330234442,POWER_PYLON,22.754088,88.114205,40.0
Pylon 1330234443,POWER_PYLON,22.755645,88.215615,40.0
Pylon 1330234444,POWER_PYLON,22.757191,88.115766,40.0
Pylon 1330234446,POWER_PYLON,22.758478,88.214347,40.0
Pylon 1330234447,POWER_PYLON,22.760720,88.117576,40.0
Pylon 1330234448,POWER_PYLON,22.761220,88.213117,40.0
Pylon 1330234449,POWER_PYLON,22.763986,88.211917,40.0
Pylon 1330234450,POWER_PYLON,22.764143,88.119365,40.0
Pylon 1330234451,POWER_PYLON,22.766702,88.210735,40.0
Pylon 1330234452,POWER_PYLON,22.767652,88.121129,40.0
Pylon 1330234453,POWER_PYLON,22.769450,88.209504,40.0
Pylon 1330234454,POWER_PYLON,22.770771,88.207658,40.0
Pylon 1330234455,POWER_PYLON,22.771109,88.122893,40.0
Pylon 1330234456,POWER_PYLON,22.771110,88.224708,40.0
Pylon 1330234457,POWER_PYLON,22.771257,88.209451,40.0
Pylon 1330234458,POWER_PYLON,22.771309,88.221919,40.0
Pylon 1330234460,POWER_PYLON,22.771590,88.218895,40.0
Pylon 1330234461,POWER_PYLON,22.771789,88.226847,40.0
Pylon 1330234462,POWER_PYLON,22.771836,88.215822,40.0
Pylon 1330234463,POWER_PYLON,22.771850,88.204795,40.0
Pylon 1330234464,POWER_PYLON,22.772067,88.208309,40.0
Pylon 1330234465,POWER_PYLON,22.772093,88.212669,40.0
Pylon 1330234466,POWER_PYLON,22.772942,88.201843,40.0
Pylon 1330234467,POWER_PYLON,22.773896,88.199290,40.0
Pylon 1330234468,POWER_PYLON,22.774428,88.228506,40.0
Pylon 1330234469,POWER_PYLON,22.774441,88.124533,40.0
Pylon 1330234471,POWER_PYLON,22.774693,88.207185,40.0
Pylon 1330234472,POWER_PYLON,22.774943,88.196430,40.0
Pylon 1330234473,POWER_PYLON,22.775966,88.193692,40.0
Pylon 1330234474,POWER_PYLON,22.776695,88.229985,40.0
Pylon 1330234475,POWER_PYLON,22.777107,88.191185,40.0
Pylon 1330234476,POWER_PYLON,22.777434,88.231502,40.0
Pylon 1330234477,POWER_PYLON,22.777448,88.205947,40.0
Pylon 1330234478,POWER_PYLON,22.777582,88.126109,40.0
Pylon 1330234479,POWER_PYLON,22.778169,88.188873,40.0
Pylon 1330234480,POWER_PYLON,22.778447,88.234598,40.0
Pylon 1330234481,POWER_PYLON,22.779274,88.186433,40.0
Pylon 1330234482,POWER_PYLON,22.779407,88.237478,40.0
Pylon 1330234484,POWER_PYLON,22.780173,88.204745,40.0
Pylon 1330234485,POWER_PYLON,22.780384,88.240341,40.0
Pylon 1330234486,POWER_PYLON,22.780432,88.183894,40.0
Pylon 1330234487,POWER_PYLON,22.780966,88.127819,40.0
