lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
22.800000,88.100000,2287.6,40.0,POWER_PYLON
22.800000,88.102000,2082.2,40.0,POWER_PYLON
22.800000,88.104000,1876.8,40.0,POWER_PYLON
22.800000,88.106000,1671.5,40.0,POWER_PYLON
22.800000,88.108000,1466.3,40.0,POWER_PYLON
22.800000,88.110000,1261.3,40.0,POWER_PYLON
22.800000,88.112000,1056.4,40.0,POWER_PYLON
22.800000,88.114000,851.9,40.0,POWER_PYLON
22.800000,88.116000,648.2,40.0,POWER_PYLON
22.800000,88.118000,446.2,40.0,POWER_PYLON
22.800000,88.120000,250.2,40.0,POWER_PYLON
22.800000,88.122000,103.0,40.0,POWER_PYLON
22.800000,88.124000,207.9,40.0,POWER_PYLON
22.800000,88.126000,277.0,40.0,POWER_PYLON
22.800000,88.128000,389.3,40.0,POWER_PYLON
22.800000,88.130000,481.7,40.0,POWER_PYLON
22.800000,88.132000,575.1,40.0,POWER_PYLON
22.800000,88.134000,549.6,40.0,POWER_PYLON
22.800000,88.136000,356.5,40.0,POWER_PYLON
22.800000,88.138000,191.4,40.0,POWER_PYLON
22.800000,88.140000,175.5,40.0,POWER_PYLON
22.800000,88.142000,330.9,40.0,POWER_PYLON
22.800000,88.144000,522.2,40.0,POWER_PYLON
22.800000,88.146000,721.5,40.0,POWER_PYLON
22.800000,88.148000,923.5,40.0,POWER_PYLON
22.800000,88.150000,1126.9,40.0,POWER_PYLON
22.800000,88.152000,1330.9,40.0,POWER_PYLON
22.800000,88.154000,1482.5,40.0,POWER_PYLON
22.800000,88.156000,1556.9,40.0,POWER_PYLON
22.800000,88.158000,1480.2,40.0,POWER_PYLON
22.800000,88.160000,1390.1,40.0,POWER_PYLON
22.800000,88.162000,1325.9,40.0,POWER_PYLON
22.800000,88.164000,1291.7,40.0,POWER_PYLON
22.800000,88.166000,1289.8,40.0,POWER_PYLON
22.800000,88.168000,1320.2,40.0,POWER_PYLON
22.800000,88.170000,1302.0,40.0,POWER_PYLON
22.800000,88.172000,1103.6,40.0,POWER_PYLON
22.800000,88.174000,908.4,40.0,POWER_PYLON
22.800000,88.176000,719.1,40.0,POWER_PYLON
22.800000,88.178000,541.8,40.0,POWER_PYLON
22.800000,88.180000,393.1,40.0,POWER_PYLON
22.800000,88.182000,316.3,40.0,POWER_PYLON
22.800000,88.184000,360.7,40.0,POWER_PYLON
22.800000,88.186000,494.7,40.0,POWER_PYLON
22.800000,88.188000,666.3,40.0,POWER_PYLON
22.800000,88.190000,853.1,40.0,POWER_PYLON
22.800000,88.192000,683.9,40.0,POWER_PYLON
22.800000,88.194000,480.6,40.0,POWER_PYLON
22.800000,88.196000,280.6,40.0,POWER_PYLON
22.800000,88.198000,105.4,40.0,POWER_PYLON
22.800000,88.200000,167.4,40.0,POWER_PYLON
22.800000,88.202000,359.9,40.0,POWER_PYLON
22.800000,88.204000,527.4,40.0,POWER_PYLON
22.800000,88.206000,693.1,40.0,POWER_PYLON
22.800000,88.208000,875.8,40.0,POWER_PYLON
22.800000,88.210000,1046.9,40.0,POWER_PYLON
22.800000,88.212000,1217.6,40.0,POWER_PYLON
22.800000,88.214000,1397.7,40.0,POWER_PYLON
22.800000,88.216000,1584.0,40.0,POWER_PYLON
22.800000,88.218000,1774.7,40.0,POWER_PYLON
22.800000,88.220000,1968.3,40.0,POWER_PYLON
22.800000,88.222000,2164.1,40.0,POWER_PYLON
22.800000,88.224000,2361.6,40.0,POWER_PYLON
22.800000,88.226000,2557.0,40.0,POWER_PYLON
22.800000,88.228000,2444.2,40.0,POWER_PYLON
22.800000,88.230000,2239.9,40.0,POWER_PYLON
22.800000,88.232000,2035.8,40.0,POWER_PYLON
22.800000,88.234000,1832.2,40.0,POWER_PYLON
22.800000,88.236000,1629.0,40.0,POWER_PYLON
22.800000,88.238000,1426.5,40.0,POWER_PYLON
22.800000,88.240000,1225.0,40.0,POWER_PYLON
22.800000,88.242000,1025.3,40.0,POWER_PYLON
22.800000,88.244000,828.3,40.0,POWER_PYLON
22.800000,88.246000,636.9,40.0,POWER_PYLON
22.800000,88.248000,458.0,40.0,POWER_PYLON
22.800000,88.250000,313.7,40.0,POWER_PYLON
22.800000,88.252000,267.7,40.0,POWER_PYLON
22.800000,88.254000,359.7,40.0,POWER_PYLON
22.800000,88.256000,521.3,40.0,POWER_PYLON
22.800000,88.258000,706.1,40.0,POWER_PYLON
22.800000,88.260000,900.0,40.0,POWER_PYLON
22.800000,88.262000,1098.2,40.0,POWER_PYLON
22.800000,88.264000,1298.7,40.0,POWER_PYLON
22.800000,88.266000,1301.0,40.0,POWER_PYLON
22.800000,88.268000,1095.4,40.0,POWER_PYLON
22.800000,88.270000,889.8,40.0,POWER_PYLON
22.800000,88.272000,684.2,40.0,POWER_PYLON
22.800000,88.274000,478.6,40.0,POWER_PYLON
22.800000,88.276000,273.0,40.0,POWER_PYLON
22.800000,88.278000,67.5,40.0,POWER_PYLON
22.800000,88.280000,99.7,40.0,POWER_PYLON
22.800000,88.282000,174.9,40.0,POWER_PYLON
22.800000,88.284000,245.6,40.0,POWER_PYLON
22.800000,88.286000,353.2,40.0,POWER_PYLON
22.800000,88.288000,455.4,40.0,POWER_PYLON
22.800000,88.290000,545.7,40.0,POWER_PYLON
22.800000,88.292000,642.2,40.0,POWER_PYLON
22.800000,88.294000,771.1,40.0,POWER_PYLON
22.800000,88.296000,875.5,40.0,POWER_PYLON
22.800000,88.298000,970.3,40.0,POWER_PYLON
22.800000,88.300000,788.5,40.0,POWER_PYLON
22.800000,88.302000,587.8,40.0,POWER_PYLON
22.800000,88.304000,392.1,40.0,POWER_PYLON
22.800000,88.306000,215.9,40.0,POWER_PYLON
22.800000,88.308000,154.9,40.0,POWER_PYLON
22.800000,88.310000,176.5,40.0,POWER_PYLON
22.800000,88.312000,349.5,40.0,POWER_PYLON
22.800000,88.314000,545.6,40.0,POWER_PYLON
22.800000,88.316000,746.9,40.0,POWER_PYLON
22.800000,88.318000,950.0,40.0,POWER_PYLON
22.800000,88.320000,1038.4,9.0,BUILDING
22.800000,88.322000,946.7,9.0,BUILDING
22.800000,88.324000,805.7,9.0,BUILDING
22.800000,88.326000,697.6,9.0,BUILDING
22.800000,88.328000,639.4,9.0,BUILDING
22.800000,88.330000,644.5,9.0,BUILDING
22.800000,88.332000,711.7,9.0,BUILDING
22.800000,88.334000,826.0,9.0,BUILDING
22.800000,88.336000,905.0,15.0,BUILDING
22.800000,88.338000,950.5,15.0,BUILDING
22.800000,88.340000,1035.5,15.0,BUILDING
22.800000,88.342000,1151.4,15.0,BUILDING
22.800000,88.344000,1289.9,15.0,BUILDING
22.800000,88.346000,1113.0,6.0,BUILDING
22.800000,88.348000,932.2,6.0,BUILDING
22.800000,88.350000,764.1,6.0,BUILDING
22.800000,88.352000,619.0,6.0,BUILDING
22.800000,88.354000,508.0,6.0,BUILDING
22.800000,88.356000,451.5,6.0,BUILDING
22.800000,88.358000,477.8,12.0,BUILDING
22.800000,88.360000,557.3,12.0,BUILDING
22.800000,88.362000,691.0,12.0,BUILDING
22.800000,88.364000,853.8,12.0,BUILDING
22.800000,88.366000,1032.0,12.0,BUILDING
22.800000,88.368000,1187.3,40.0,RELIGIOUS_STRUCTURE
22.800000,88.370000,1183.6,40.0,RELIGIOUS_STRUCTURE
22.800000,88.372000,1215.2,40.0,RELIGIOUS_STRUCTURE
22.800000,88.374000,1279.4,40.0,RELIGIOUS_STRUCTURE
22.800000,88.376000,1371.8,40.0,RELIGIOUS_STRUCTURE
22.800000,88.378000,1487.0,40.0,RELIGIOUS_STRUCTURE
22.800000,88.380000,1620.2,40.0,RELIGIOUS_STRUCTURE
22.800000,88.382000,1767.4,40.0,RELIGIOUS_STRUCTURE
22.800000,88.384000,1925.3,40.0,RELIGIOUS_STRUCTURE
22.800000,88.386000,2091.5,40.0,RELIGIOUS_STRUCTURE
22.800000,88.388000,2264.2,40.0,RELIGIOUS_STRUCTURE
22.800000,88.390000,2442.0,40.0,RELIGIOUS_STRUCTURE
22.800000,88.392000,2623.9,40.0,RELIGIOUS_STRUCTURE
22.800000,88.394000,2809.0,40.0,RELIGIOUS_STRUCTURE
22.800000,88.396000,2996.8,40.0,RELIGIOUS_STRUCTURE
22.800000,88.398000,3186.9,40.0,RELIGIOUS_STRUCTURE
22.800000,88.400000,3378.7,40.0,RELIGIOUS_STRUCTURE
22.800000,88.402000,3572.1,40.0,RELIGIOUS_STRUCTURE
22.800000,88.404000,3766.7,40.0,RELIGIOUS_STRUCTURE
22.800000,88.406000,3939.1,6.0,BUILDING
