lat,lon,elev_m,slope_deg,roughness_m,surface_type
22.800000,88.100000,7.00,0.115,0.19,flat
22.800000,88.102000,7.41,0.115,0.33,flat
22.800000,88.104000,7.82,0.116,0.33,flat
22.800000,88.106000,8.23,0.118,0.33,flat
22.800000,88.108000,8.64,0.120,0.33,flat
22.800000,88.110000,9.06,0.123,0.34,flat
22.800000,88.112000,9.47,0.126,0.34,flat
22.800000,88.114000,9.88,0.130,0.35,flat
22.800000,88.116000,10.29,0.135,0.35,flat
22.800000,88.118000,10.70,0.118,0.29,flat
22.800000,88.120000,10.92,0.085,0.19,flat
22.800000,88.122000,10.61,0.116,0.28,flat
22.800000,88.124000,10.30,0.112,0.28,flat
22.800000,88.126000,9.99,0.109,0.27,flat
22.800000,88.128000,9.68,0.105,0.27,flat
22.800000,88.130000,9.37,0.102,0.27,flat
22.800000,88.132000,9.07,0.099,0.26,flat
22.800000,88.134000,8.76,0.096,0.26,flat
22.800000,88.136000,8.45,0.094,0.26,flat
22.800000,88.138000,8.14,0.077,0.21,flat
22.800000,88.140000,7.94,0.050,0.13,flat
22.800000,88.142000,7.84,0.037,0.09,flat
22.800000,88.144000,7.74,0.036,0.09,flat
22.800000,88.146000,7.64,0.034,0.09,flat
22.800000,88.148000,7.53,0.032,0.09,flat
22.800000,88.150000,7.43,0.031,0.08,flat
22.800000,88.152000,7.33,0.030,0.08,flat
22.800000,88.154000,7.22,0.029,0.08,flat
22.800000,88.156000,7.12,0.029,0.08,flat
22.800000,88.158000,7.02,0.029,0.08,flat
22.800000,88.160000,6.92,0.029,0.08,flat
22.800000,88.162000,6.81,0.029,0.08,flat
22.800000,88.164000,6.71,0.030,0.08,flat
22.800000,88.166000,6.61,0.031,0.08,flat
22.800000,88.168000,6.50,0.032,0.09,flat
22.800000,88.170000,6.40,0.033,0.09,flat
22.800000,88.172000,6.30,0.035,0.09,flat
22.800000,88.174000,6.20,0.037,0.09,flat
22.800000,88.176000,6.09,0.038,0.09,flat
22.800000,88.178000,6.00,0.032,0.07,flat
22.800000,88.180000,6.00,0.038,0.07,flat
22.800000,88.182000,6.00,0.047,0.09,flat
22.800000,88.184000,6.00,0.056,0.10,flat
22.800000,88.186000,6.00,0.065,0.12,flat
22.800000,88.188000,6.00,0.074,0.14,flat
22.800000,88.190000,6.00,0.082,0.15,flat
22.800000,88.192000,6.00,0.091,0.17,flat
22.800000,88.194000,6.00,0.100,0.18,flat
22.800000,88.196000,6.00,0.110,0.20,flat
22.800000,88.198000,6.11,0.125,0.26,flat
22.800000,88.200000,6.42,0.131,0.30,flat
22.800000,88.202000,6.73,0.122,0.29,flat
22.800000,88.204000,7.04,0.114,0.28,flat
22.800000,88.206000,7.35,0.107,0.27,flat
22.800000,88.208000,7.66,0.100,0.26,flat
22.800000,88.210000,7.96,0.095,0.25,flat
22.800000,88.212000,8.27,0.090,0.25,flat
22.800000,88.214000,8.58,0.087,0.24,flat
22.800000,88.216000,8.89,0.049,0.15,flat
22.800000,88.218000,8.93,0.008,0.04,flat
22.800000,88.220000,8.83,0.029,0.09,flat
22.800000,88.222000,8.73,0.030,0.09,flat
22.800000,88.224000,8.63,0.031,0.09,flat
22.800000,88.226000,8.52,0.032,0.09,flat
22.800000,88.228000,8.42,0.033,0.09,flat
22.800000,88.230000,8.32,0.035,0.09,flat
22.800000,88.232000,8.21,0.036,0.10,flat
22.800000,88.234000,8.11,0.038,0.10,flat
22.800000,88.236000,8.01,0.030,0.09,flat
22.800000,88.238000,8.19,0.063,0.16,flat
22.800000,88.240000,8.39,0.070,0.18,flat
22.800000,88.242000,8.60,0.073,0.18,flat
22.800000,88.244000,8.80,0.077,0.19,flat
22.800000,88.246000,9.01,0.081,0.19,flat
22.800000,88.248000,9.22,0.086,0.20,flat
22.800000,88.250000,9.42,0.090,0.21,flat
22.800000,88.252000,9.63,0.095,0.21,flat
22.800000,88.254000,9.83,0.099,0.22,flat
22.800000,88.256000,10.04,0.102,0.23,flat
22.800000,88.258000,10.24,0.098,0.23,flat
22.800000,88.260000,10.45,0.093,0.22,flat
