name,category,lat,lon,height_m
Pylon 2072584391,POWER_PYLON,34.210314,77.436291,40.0
Pylon 2074228339,POWER_PYLON,34.203325,77.429505,40.0
Pylon 2074280921,POWER_PYLON,34.193929,77.421151,40.0
Tower 2418099869,TOWER,34.214198,77.513367,30.0
Tower 2420186263,TOWER,34.147241,77.657252,30.0
Tower 2465486070,TOWER,34.158049,77.584606,30.0
Tower 3047298421,TOWER,34.073522,77.547290,30.0
Tower 3713488525,TOWER,34.186557,77.585920,30.0
Tower 3713488529,TOWER,34.185849,77.586039,30.0
Tower 3713488533,TOWER,34.192530,77.598330,30.0
Tower 3713488732,TOWER,34.185830,77.586108,30.0
Tower 3713488733,TOWER,34.186090,77.585940,30.0
Tower 3713729262,TOWER,34.191659,77.590780,30.0
Tower 3877393981,TOWER,34.053027,77.540542,30.0
Tower 3877394018,TOWER,34.053405,77.540478,30.0
Tower 3877394025,TOWER,34.053462,77.539820,30.0
Tower 3877394204,TOWER,34.059155,77.547835,30.0
Tower 3877394218,TOWER,34.059399,77.548349,30.0
Tower 3877394224,TOWER,34.059578,77.547728,30.0
Tower 3877394567,TOWER,34.074617,77.560789,30.0
Tower 4003604858,TOWER,34.192477,77.598283,30.0
Tower 4003604859,TOWER,34.192504,77.598307,30.0
Tower 4003604860,TOWER,34.192564,77.598359,30.0
Tower 4324028559,TOWER,34.203717,77.572762,30.0
Tower 4324028560,TOWER,34.204163,77.572631,30.0
Tower 4330545003,TOWER,34.101299,77.614479,30.0
Tower 4330545004,TOWER,34.101306,77.615238,30.0
Pylon 4977735630,POWER_PYLON,34.191911,77.344093,40.0
Pylon 4977735631,POWER_PYLON,34.190767,77.345507,40.0
Pylon 4977735632,POWER_PYLON,34.190596,77.347913,40.0
Pylon 4977735633,POWER_PYLON,34.189016,77.350826,40.0
Pylon 4977735634,POWER_PYLON,34.188907,77.352373,40.0
Pylon 4977735635,POWER_PYLON,34.187936,77.353036,40.0
Pylon 4977735636,POWER_PYLON,34.186586,77.353862,40.0
Pylon 4977735637,POWER_PYLON,34.184785,77.356394,40.0
Pylon 4977735638,POWER_PYLON,34.184474,77.357531,40.0
Pylon 4977735639,POWER_PYLON,34.184856,77.359420,40.0
Pylon 4977735640,POWER_PYLON,34.185220,77.361265,40.0
Pylon 4977735641,POWER_PYLON,34.185672,77.363325,40.0
Pylon 4977735642,POWER_PYLON,34.186294,77.366122,40.0
Pylon 4977735643,POWER_PYLON,34.186968,77.369419,40.0
Pylon 4977735644,POWER_PYLON,34.187412,77.371562,40.0
Pylon 4977735645,POWER_PYLON,34.187691,77.373941,40.0
Pylon 4977735646,POWER_PYLON,34.187705,77.376639,40.0
Pylon 4977735647,POWER_PYLON,34.187474,77.378892,40.0
Pylon 4977735648,POWER_PYLON,34.187297,77.381102,40.0
Pylon 4977735649,POWER_PYLON,34.186924,77.383871,40.0
Pylon 4977735650,POWER_PYLON,34.186855,77.385584,40.0
Pylon 4977735651,POWER_PYLON,34.186757,77.389055,40.0
Pylon 4977735652,POWER_PYLON,34.186711,77.391574,40.0
Pylon 4977735653,POWER_PYLON,34.186249,77.392883,40.0
Pylon 4977735654,POWER_PYLON,34.184776,77.394299,40.0
Pylon 4977735655,POWER_PYLON,34.183161,77.395822,40.0
Pylon 4977735656,POWER_PYLON,34.181332,77.397496,40.0
Pylon 4977735657,POWER_PYLON,34.179699,77.399084,40.0
Pylon 4977735658,POWER_PYLON,34.177764,77.400929,40.0
Pylon 4977735659,POWER_PYLON,34.176273,77.402324,40.0
Pylon 4977735660,POWER_PYLON,34.174746,77.403783,40.0
Pylon 4977735661,POWER_PYLON,34.173042,77.405350,40.0
Pylon 4977735662,POWER_PYLON,34.171391,77.406895,40.0
Pylon 4977735663,POWER_PYLON,34.169261,77.408933,40.0
Pylon 4977735664,POWER_PYLON,34.168018,77.410135,40.0
Pylon 4977735665,POWER_PYLON,34.166136,77.411905,40.0
Pylon 4977735666,POWER_PYLON,34.164724,77.413203,40.0
Pylon 4977735667,POWER_PYLON,34.162869,77.414555,40.0
Pylon 4977735668,POWER_PYLON,34.161289,77.415671,40.0
Pylon 4977735669,POWER_PYLON,34.159407,77.417001,40.0
Pylon 4977735670,POWER_PYLON,34.157312,77.418568,40.0
Pylon 4977735671,POWER_PYLON,34.153734,77.422773,40.0
Pylon 4977735672,POWER_PYLON,34.152100,77.424672,40.0
Pylon 4977735673,POWER_PYLON,34.150360,77.426646,40.0
Pylon 4977735674,POWER_PYLON,34.149010,77.428277,40.0
Pylon 4977735675,POWER_PYLON,34.147643,77.429833,40.0
Pylon 4977735676,POWER_PYLON,34.146071,77.431700,40.0
Pylon 4977735677,POWER_PYLON,34.144002,77.434103,40.0
Pylon 4977735678,POWER_PYLON,34.143141,77.435176,40.0
Pylon 4977735679,POWER_PYLON,34.142120,77.436345,40.0
Pylon 4977735680,POWER_PYLON,34.141702,77.437536,40.0
Pylon 4977735681,POWER_PYLON,34.141596,77.439703,40.0
Pylon 4977735682,POWER_PYLON,34.140450,77.441023,40.0
Pylon 4977735683,POWER_PYLON,34.138799,77.441699,40.0
Pylon 4977735684,POWER_PYLON,34.137422,77.441098,40.0
Pylon 4977735685,POWER_PYLON,34.135966,77.440476,40.0
Pylon 4977735686,POWER_PYLON,34.135016,77.440626,40.0
Pylon 4977735687,POWER_PYLON,34.132263,77.440186,40.0
Pylon 4977735743,POWER_PYLON,34.098929,77.511450,40.0
Pylon 4977735744,POWER_PYLON,34.099644,77.509532,40.0
Pylon 4977735745,POWER_PYLON,34.100286,77.507746,40.0
Pylon 4977735746,POWER_PYLON,34.101221,77.506552,40.0
Pylon 4977735747,POWER_PYLON,34.102631,77.504699,40.0
Pylon 4977735748,POWER_PYLON,34.104319,77.502746,40.0
Pylon 4977735749,POWER_PYLON,34.105759,77.500107,40.0
Pylon 4977735750,POWER_PYLON,34.106727,77.498339,40.0
Pylon 4977735751,POWER_PYLON,34.108146,77.495692,40.0
Pylon 4977735752,POWER_PYLON,34.108064,77.494053,40.0
Pylon 4977735753,POWER_PYLON,34.108646,77.491760,40.0
Pylon 4977735754,POWER_PYLON,34.108983,77.490504,40.0
Pylon 4977735755,POWER_PYLON,34.109980,77.487337,40.0
Pylon 4977735756,POWER_PYLON,34.110571,77.484241,40.0
Pylon 4977735757,POWER_PYLON,34.110811,77.483061,40.0
Pylon 4977735758,POWER_PYLON,34.111461,77.480859,40.0
Pylon 4977735759,POWER_PYLON,34.112305,77.478628,40.0
Pylon 4977735760,POWER_PYLON,34.112812,77.476965,40.0
Pylon 4977735761,POWER_PYLON,34.113158,77.474905,40.0
Pylon 4977735762,POWER_PYLON,34.113691,77.472298,40.0
Pylon 4977735763,POWER_PYLON,34.113176,77.470431,40.0
Pylon 4977735764,POWER_PYLON,34.113727,77.468564,40.0
Pylon 4977735765,POWER_PYLON,34.114988,77.467394,40.0
Pylon 4977735766,POWER_PYLON,34.116818,77.467094,40.0
Pylon 4977735767,POWER_PYLON,34.118337,77.467319,40.0
Pylon 4977735768,POWER_PYLON,34.120477,77.467158,40.0
Pylon 4977735769,POWER_PYLON,34.122147,77.467266,40.0
Pylon 4977735770,POWER_PYLON,34.123923,77.466783,40.0
Pylon 4977735771,POWER_PYLON,34.125140,77.466289,40.0
Pylon 4977735772,POWER_PYLON,34.126081,77.465077,40.0
Pylon 4977735773,POWER_PYLON,34.126565,77.462776,40.0
Pylon 4977735774,POWER_PYLON,34.126759,77.460603,40.0
Pylon 4977735775,POWER_PYLON,34.126437,77.458495,40.0
Pylon 4977735776,POWER_PYLON,34.126108,77.455732,40.0
Pylon 4977735777,POWER_PYLON,34.125500,77.454563,40.0
Pylon 4977735778,POWER_PYLON,34.125131,77.452718,40.0
Pylon 4977735779,POWER_PYLON,34.125291,77.450475,40.0
Pylon 4977735780,POWER_PYLON,34.126481,77.448227,40.0
Pylon 4977735781,POWER_PYLON,34.127018,77.445776,40.0
Pylon 4977735782,POWER_PYLON,34.127192,77.443802,40.0
Pylon 4977735783,POWER_PYLON,34.129452,77.439494,40.0
Pylon 4977735784,POWER_PYLON,34.128431,77.440122,40.0
Pylon 4977735785,POWER_PYLON,34.127747,77.441613,40.0
Tower 5532355630,TOWER,34.160775,77.601317,30.0
Tower 5532355695,TOWER,34.160356,77.598954,30.0
Pylon 6394067499,POWER_PYLON,34.164113,77.436710,40.0
Pylon 6394067500,POWER_PYLON,34.165283,77.433741,40.0
Pylon 6394067501,POWER_PYLON,34.166754,77.431335,40.0
Pylon 6394067502,POWER_PYLON,34.168374,77.428714,40.0
Pylon 6394067503,POWER_PYLON,34.170154,77.426612,40.0
Pylon 6394067504,POWER_PYLON,34.171836,77.424632,40.0
Pylon 6394067505,POWER_PYLON,34.173744,77.422374,40.0
Pylon 6394067506,POWER_PYLON,34.175742,77.420056,40.0
Pylon 6394067507,POWER_PYLON,34.177321,77.417470,40.0
Pylon 6394067508,POWER_PYLON,34.179612,77.412310,40.0
Pylon 6394067509,POWER_PYLON,34.181795,77.410014,40.0
Pylon 6394067510,POWER_PYLON,34.183002,77.407718,40.0
Pylon 6394067511,POWER_PYLON,34.184560,77.404800,40.0
Pylon 6394067512,POWER_PYLON,34.186051,77.402016,40.0
Pylon 6394067513,POWER_PYLON,34.187502,77.399146,40.0
Pylon 6394067514,POWER_PYLON,34.188824,77.396699,40.0
Pylon 6394067515,POWER_PYLON,34.190397,77.394125,40.0
Pylon 6394067516,POWER_PYLON,34.191522,77.391045,40.0
Pylon 6394067517,POWER_PYLON,34.193022,77.388508,40.0
Pylon 6394067518,POWER_PYLON,34.194455,77.386003,40.0
Pylon 6394067519,POWER_PYLON,34.193887,77.382929,40.0
Pylon 6394067520,POWER_PYLON,34.193337,77.379780,40.0
Pylon 6394067521,POWER_PYLON,34.193257,77.377227,40.0
Pylon 6394067522,POWER_PYLON,34.193772,77.375328,40.0
Pylon 6394067523,POWER_PYLON,34.193102,77.371492,40.0
Pylon 6394067524,POWER_PYLON,34.192545,77.368472,40.0
Pylon 6394067525,POWER_PYLON,34.191992,77.365983,40.0
Pylon 6394067526,POWER_PYLON,34.191125,77.362448,40.0
Pylon 6394067527,POWER_PYLON,34.190621,77.360264,40.0
Pylon 6394067528,POWER_PYLON,34.190406,77.356955,40.0
Pylon 6394067529,POWER_PYLON,34.188167,77.350689,40.0
Pylon 6394067530,POWER_PYLON,34.184852,77.341730,40.0
Pylon 6394067531,POWER_PYLON,34.183144,77.338496,40.0
Pylon 6394067532,POWER_PYLON,34.183960,77.333576,40.0
Pylon 6394067533,POWER_PYLON,34.184471,77.330444,40.0
Pylon 6394067534,POWER_PYLON,34.185762,77.327772,40.0
Pylon 6394067535,POWER_PYLON,34.187164,77.324741,40.0
Pylon 6394067536,POWER_PYLON,34.187551,77.322982,40.0
Pylon 6394067537,POWER_PYLON,34.189097,77.319902,40.0
Pylon 6394067538,POWER_PYLON,34.190847,77.315895,40.0
Pylon 6394067539,POWER_PYLON,34.192334,77.312441,40.0
Pylon 6394067540,POWER_PYLON,34.192600,77.309099,40.0
Pylon 6394067541,POWER_PYLON,34.192920,77.305612,40.0
Pylon 6394067542,POWER_PYLON,34.193199,77.302356,40.0
Pylon 6394211257,POWER_PYLON,34.209647,77.316850,40.0
Pylon 6394211259,POWER_PYLON,34.213121,77.300735,40.0
Pylon 6394211260,POWER_PYLON,34.214301,77.302699,40.0
Pylon 6394211261,POWER_PYLON,34.214048,77.305038,40.0
Pylon 6394211262,POWER_PYLON,34.212881,77.307374,40.0
Pylon 6394211263,POWER_PYLON,34.212391,77.308358,40.0
Pylon 6394211264,POWER_PYLON,34.211400,77.310386,40.0
Pylon 6394211265,POWER_PYLON,34.210317,77.312693,40.0
Pylon 6394211266,POWER_PYLON,34.209820,77.314828,40.0
Pylon 6394211267,POWER_PYLON,34.209829,77.319050,40.0
Pylon 6394211268,POWER_PYLON,34.209035,77.321335,40.0
Pylon 6394211269,POWER_PYLON,34.208804,77.325101,40.0
Pylon 6394211270,POWER_PYLON,34.209199,77.327912,40.0
Pylon 6394211271,POWER_PYLON,34.208671,77.329768,40.0
Pylon 6394211272,POWER_PYLON,34.207429,77.331946,40.0
Pylon 6394211273,POWER_PYLON,34.206285,77.332922,40.0
Pylon 6394211274,POWER_PYLON,34.204417,77.335958,40.0
Pylon 6394211275,POWER_PYLON,34.204164,77.336680,40.0
Pylon 6394211276,POWER_PYLON,34.204000,77.339880,40.0
Pylon 6394211277,POWER_PYLON,34.202480,77.342666,40.0
Pylon 6394211278,POWER_PYLON,34.202254,77.342698,40.0
Pylon 6394211279,POWER_PYLON,34.201504,77.342200,40.0
Pylon 6394211280,POWER_PYLON,34.200945,77.341626,40.0
Pylon 6394211281,POWER_PYLON,34.200559,77.341545,40.0
Pylon 6394211282,POWER_PYLON,34.198625,77.341948,40.0
Pylon 6394211283,POWER_PYLON,34.197595,77.342495,40.0
Pylon 6394211284,POWER_PYLON,34.195115,77.343208,40.0
Pylon 7304549326,POWER_PYLON,34.188300,77.597111,40.0
Pylon 7304549327,POWER_PYLON,34.187755,77.596288,40.0
Pylon 7304549328,POWER_PYLON,34.185207,77.596130,40.0
Pylon 7304549329,POWER_PYLON,34.183648,77.595945,40.0
Pylon 7304549330,POWER_PYLON,34.180151,77.596127,40.0
Pylon 7304549331,POWER_PYLON,34.178660,77.595835,40.0
Pylon 7304549332,POWER_PYLON,34.176110,77.596492,40.0
Pylon 7304549333,POWER_PYLON,34.174707,77.596766,40.0
Pylon 7304549334,POWER_PYLON,34.172688,77.597589,40.0
Pylon 7304549335,POWER_PYLON,34.172058,77.597728,40.0
Pylon 7304549336,POWER_PYLON,34.170822,77.598729,40.0
Pylon 7304549337,POWER_PYLON,34.170223,77.600681,40.0
Pylon 7304549338,POWER_PYLON,34.168345,77.602846,40.0
Pylon 7304549339,POWER_PYLON,34.166266,77.602154,40.0
Pylon 7304549340,POWER_PYLON,34.163378,77.601025,40.0
Pylon 7304549341,POWER_PYLON,34.161392,77.601604,40.0
Pylon 7304549342,POWER_PYLON,34.160746,77.601277,40.0
Pylon 7304549343,POWER_PYLON,34.160353,77.598989,40.0
Pylon 7304549344,POWER_PYLON,34.159747,77.596798,40.0
Pylon 7304549345,POWER_PYLON,34.159084,77.595218,40.0
Pylon 7304549346,POWER_PYLON,34.158283,77.594620,40.0
Pylon 7304549347,POWER_PYLON,34.157450,77.593952,40.0
Pylon 7304549348,POWER_PYLON,34.156973,77.593273,40.0
Pylon 7304549349,POWER_PYLON,34.155954,77.590637,40.0
Pylon 7304549350,POWER_PYLON,34.156316,77.589089,40.0
Pylon 7304549351,POWER_PYLON,34.156036,77.586758,40.0
Pylon 7304549352,POWER_PYLON,34.155453,77.586281,40.0
Pylon 7304549353,POWER_PYLON,34.150254,77.585046,40.0
Pylon 7304549354,POWER_PYLON,34.149828,77.584659,40.0
Pylon 7304549355,POWER_PYLON,34.148765,77.584669,40.0
Pylon 7304549356,POWER_PYLON,34.148012,77.585476,40.0
Pylon 7304549357,POWER_PYLON,34.147630,77.587464,40.0
Pylon 7304549358,POWER_PYLON,34.147345,77.589404,40.0
Pylon 7304549359,POWER_PYLON,34.147182,77.591067,40.0
Pylon 7304549360,POWER_PYLON,34.146556,77.591494,40.0
Pylon 7304549361,POWER_PYLON,34.145474,77.591636,40.0
Pylon 7304549362,POWER_PYLON,34.145178,77.591224,40.0
Pylon 7304549367,POWER_PYLON,34.145575,77.590017,40.0
Pylon 7304549368,POWER_PYLON,34.144780,77.590921,40.0
Pylon 7304549369,POWER_PYLON,34.143300,77.592605,40.0
Pylon 7304549370,POWER_PYLON,34.141615,77.594510,40.0
Pylon 7304549371,POWER_PYLON,34.140161,77.595064,40.0
Pylon 7304549372,POWER_PYLON,34.136204,77.593407,40.0
Pylon 7304549373,POWER_PYLON,34.137013,77.593751,40.0
Pylon 7304549374,POWER_PYLON,34.139259,77.594303,40.0
Pylon 7304549375,POWER_PYLON,34.138778,77.594440,40.0
Pylon 7304575739,POWER_PYLON,34.150996,77.447820,40.0
Pylon 7304575740,POWER_PYLON,34.152592,77.448989,40.0
Pylon 7304575741,POWER_PYLON,34.154114,77.450357,40.0
Pylon 7304575742,POWER_PYLON,34.154771,77.450706,40.0
Pylon 7304575743,POWER_PYLON,34.154885,77.450561,40.0
Pylon 7304575744,POWER_PYLON,34.154059,77.449810,40.0
Pylon 7304575745,POWER_PYLON,34.153004,77.448839,40.0
Pylon 7304575746,POWER_PYLON,34.151963,77.448075,40.0
Pylon 7304575747,POWER_PYLON,34.150798,77.447227,40.0
Pylon 7304575748,POWER_PYLON,34.149664,77.446425,40.0
Pylon 7304575749,POWER_PYLON,34.147919,77.444526,40.0
Pylon 7304575750,POWER_PYLON,34.146483,77.442919,40.0
Pylon 7304575751,POWER_PYLON,34.145375,77.441895,40.0
Pylon 7304575752,POWER_PYLON,34.144094,77.440682,40.0
Pylon 7304575753,POWER_PYLON,34.142354,77.435503,40.0
Pylon 7304575754,POWER_PYLON,34.143406,77.438580,40.0
Pylon 7304575755,POWER_PYLON,34.205017,77.334483,40.0
Pylon 7304584620,POWER_PYLON,34.136704,77.593858,40.0
Pylon 7304584621,POWER_PYLON,34.135943,77.593724,40.0
Pylon 7304584622,POWER_PYLON,34.135214,77.592646,40.0
Pylon 7304584623,POWER_PYLON,34.128885,77.582893,40.0
Pylon 7304584624,POWER_PYLON,34.129859,77.584545,40.0
Pylon 7304584625,POWER_PYLON,34.131658,77.586356,40.0
Pylon 7304584626,POWER_PYLON,34.132666,77.586576,40.0
Pylon 7304584627,POWER_PYLON,34.133993,77.589625,40.0
Pylon 7304584628,POWER_PYLON,34.133656,77.587177,40.0
Pylon 7304584629,POWER_PYLON,34.132683,77.586310,40.0
Pylon 7304584630,POWER_PYLON,34.131826,77.586187,40.0
Pylon 7304584631,POWER_PYLON,34.130781,77.585154,40.0
Pylon 7304584632,POWER_PYLON,34.130019,77.584392,40.0
Pylon 7304584633,POWER_PYLON,34.129069,77.582791,40.0
Pylon 7304584634,POWER_PYLON,34.128179,77.581225,40.0
Pylon 7304584635,POWER_PYLON,34.126589,77.579943,40.0
Pylon 7304584636,POWER_PYLON,34.126496,77.580128,40.0
Pylon 7304584637,POWER_PYLON,34.125403,77.579264,40.0
Pylon 7304584638,POWER_PYLON,34.124531,77.577872,40.0
Pylon 7304584639,POWER_PYLON,34.123158,77.576504,40.0
Pylon 7304584640,POWER_PYLON,34.120953,77.575099,40.0
Pylon 7304584641,POWER_PYLON,34.119961,77.574586,40.0
Pylon 7304584642,POWER_PYLON,34.118848,77.571907,40.0
Pylon 7304584643,POWER_PYLON,34.118025,77.569965,40.0
Pylon 7304584644,POWER_PYLON,34.116770,77.568897,40.0
Pylon 7304584645,POWER_PYLON,34.114960,77.567985,40.0
Pylon 7304584646,POWER_PYLON,34.113186,77.567154,40.0
Pylon 7304584647,POWER_PYLON,34.111562,77.566400,40.0
Pylon 7304584648,POWER_PYLON,34.109468,77.565427,40.0
Pylon 7304584649,POWER_PYLON,34.108107,77.564767,40.0
Pylon 7304584650,POWER_PYLON,34.105191,77.563380,40.0
Pylon 7304584651,POWER_PYLON,34.103570,77.562632,40.0
Pylon 7304584652,POWER_PYLON,34.101702,77.561771,40.0
Pylon 7304584653,POWER_PYLON,34.099843,77.560853,40.0
Pylon 7304584654,POWER_PYLON,34.097975,77.559979,40.0
Pylon 7304584655,POWER_PYLON,34.097225,77.559095,40.0
Pylon 7304584656,POWER_PYLON,34.097015,77.558662,40.0
Pylon 7304584657,POWER_PYLON,34.096744,77.556717,40.0
Pylon 7304584658,POWER_PYLON,34.096489,77.554751,40.0
Pylon 7304584659,POWER_PYLON,34.095832,77.553102,40.0
Pylon 7304584660,POWER_PYLON,34.095119,77.551460,40.0
