lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
34.500000,77.300000,31805.0,40.0,POWER_PYLON
34.500000,77.302000,31804.1,40.0,POWER_PYLON
34.500000,77.304000,31804.3,40.0,POWER_PYLON
34.500000,77.306000,31805.5,40.0,POWER_PYLON
34.500000,77.308000,31807.8,40.0,POWER_PYLON
34.500000,77.310000,31811.1,40.0,POWER_PYLON
34.500000,77.312000,31815.5,40.0,POWER_PYLON
34.500000,77.314000,31821.0,40.0,POWER_PYLON
34.500000,77.316000,31827.6,40.0,POWER_PYLON
34.500000,77.318000,31835.2,40.0,POWER_PYLON
34.500000,77.320000,31843.9,40.0,POWER_PYLON
34.500000,77.322000,31853.6,40.0,POWER_PYLON
34.500000,77.324000,31864.4,40.0,POWER_PYLON
34.500000,77.326000,31876.2,40.0,POWER_PYLON
34.500000,77.328000,31889.1,40.0,POWER_PYLON
34.500000,77.330000,31903.1,40.0,POWER_PYLON
34.500000,77.332000,31918.1,40.0,POWER_PYLON
34.500000,77.334000,31934.2,40.0,POWER_PYLON
34.500000,77.336000,31951.3,40.0,POWER_PYLON
34.500000,77.338000,31969.5,40.0,POWER_PYLON
34.500000,77.340000,31988.7,40.0,POWER_PYLON
34.500000,77.342000,32009.0,40.0,POWER_PYLON
34.500000,77.344000,32030.3,40.0,POWER_PYLON
34.500000,77.346000,32052.6,40.0,POWER_PYLON
34.500000,77.348000,32076.0,40.0,POWER_PYLON
34.500000,77.350000,32099.9,40.0,POWER_PYLON
34.500000,77.352000,32124.2,40.0,POWER_PYLON
34.500000,77.354000,32149.4,40.0,POWER_PYLON
34.500000,77.356000,32175.7,40.0,POWER_PYLON
34.500000,77.358000,32203.1,40.0,POWER_PYLON
34.500000,77.360000,32093.3,30.0,TOWER
34.500000,77.362000,31944.2,30.0,TOWER
34.500000,77.364000,31795.5,30.0,TOWER
34.500000,77.366000,31647.1,30.0,TOWER
34.500000,77.368000,31499.2,30.0,TOWER
34.500000,77.370000,31351.6,30.0,TOWER
34.500000,77.372000,31204.4,30.0,TOWER
34.500000,77.374000,31057.6,30.0,TOWER
34.500000,77.376000,30891.6,6.0,BUILDING
34.500000,77.378000,30707.6,6.0,BUILDING
34.500000,77.380000,30523.6,6.0,BUILDING
34.500000,77.382000,30339.7,6.0,BUILDING
34.500000,77.384000,30155.7,6.0,BUILDING
34.500000,77.386000,29971.7,6.0,BUILDING
34.500000,77.388000,29787.7,6.0,BUILDING
34.500000,77.390000,29603.7,6.0,BUILDING
34.500000,77.392000,29419.7,6.0,BUILDING
34.500000,77.394000,29235.8,6.0,BUILDING
34.500000,77.396000,29051.8,6.0,BUILDING
34.500000,77.398000,28867.8,6.0,BUILDING
34.500000,77.400000,28683.8,6.0,BUILDING
34.500000,77.402000,28499.8,6.0,BUILDING
34.500000,77.404000,28315.9,6.0,BUILDING
34.500000,77.406000,28131.9,6.0,BUILDING
34.500000,77.408000,27947.9,6.0,BUILDING
34.500000,77.410000,27763.9,6.0,BUILDING
34.500000,77.412000,27580.0,6.0,BUILDING
34.500000,77.414000,27396.0,6.0,BUILDING
34.500000,77.416000,27212.0,6.0,BUILDING
34.500000,77.418000,27028.0,6.0,BUILDING
34.500000,77.420000,26844.1,6.0,BUILDING
34.500000,77.422000,26660.1,6.0,BUILDING
34.500000,77.424000,26476.1,6.0,BUILDING
34.500000,77.426000,26292.1,6.0,BUILDING
34.500000,77.428000,26108.2,6.0,BUILDING
34.500000,77.430000,25924.2,6.0,BUILDING
34.500000,77.432000,25740.2,6.0,BUILDING
34.500000,77.434000,25556.3,6.0,BUILDING
