lat,lon,elev_m,slope_deg,roughness_m,surface_type
34.500000,77.300000,5337.00,13.309,21.51,rolling
34.500000,77.302000,5369.48,12.573,29.07,rolling
34.500000,77.304000,5401.96,11.901,28.04,rolling
34.500000,77.306000,5434.44,11.309,27.16,rolling
34.500000,77.308000,5466.93,10.810,26.43,rolling
34.500000,77.310000,5499.41,10.421,25.88,rolling
34.500000,77.312000,5531.89,10.155,25.51,rolling
34.500000,77.314000,5564.37,10.023,25.32,rolling
34.500000,77.316000,5596.85,10.032,25.33,rolling
34.500000,77.318000,5629.33,10.179,25.54,rolling
34.500000,77.320000,5661.82,9.664,23.78,rolling
34.500000,77.322000,5688.76,5.083,13.13,rolling
34.500000,77.324000,5679.37,6.131,13.39,rolling
34.500000,77.326000,5669.99,7.119,14.97,rolling
34.500000,77.328000,5660.60,8.131,16.65,rolling
34.500000,77.330000,5651.22,9.157,18.40,rolling
34.500000,77.332000,5641.83,10.191,20.21,rolling
34.500000,77.334000,5632.44,11.228,22.05,rolling
34.500000,77.336000,5623.06,12.264,23.93,rolling
34.500000,77.338000,5613.67,13.297,25.84,rolling
34.500000,77.340000,5604.29,14.326,27.76,rolling
34.500000,77.342000,5594.90,15.336,29.60,hilly
34.500000,77.344000,5585.95,16.253,31.15,hilly
34.500000,77.346000,5578.23,17.013,32.65,hilly
34.500000,77.348000,5570.50,17.793,34.19,hilly
34.500000,77.350000,5562.77,18.567,35.74,hilly
34.500000,77.352000,5555.04,19.335,37.29,hilly
34.500000,77.354000,5547.31,20.096,38.84,hilly
34.500000,77.356000,5539.58,20.850,40.40,hilly
34.500000,77.358000,5531.85,21.597,41.96,hilly
34.500000,77.360000,5524.12,22.336,43.52,hilly
34.500000,77.362000,5516.39,23.068,45.08,hilly
34.500000,77.364000,5508.66,24.355,48.90,hilly
34.500000,77.366000,5475.62,27.535,62.03,hilly
34.500000,77.368000,5404.12,29.458,71.24,hilly
34.500000,77.370000,5332.63,28.606,69.55,hilly
34.500000,77.372000,5261.13,27.771,67.94,hilly
34.500000,77.374000,5189.63,26.958,66.41,hilly
34.500000,77.376000,5118.14,26.172,64.97,hilly
34.500000,77.378000,5046.64,25.420,63.63,hilly
34.500000,77.380000,4975.14,24.708,62.39,hilly
34.500000,77.382000,4903.65,24.043,61.26,hilly
34.500000,77.384000,4832.15,23.431,60.25,hilly
34.500000,77.386000,4760.65,22.002,56.29,hilly
34.500000,77.388000,4696.37,19.620,49.55,hilly
34.500000,77.390000,4638.49,18.092,45.83,hilly
34.500000,77.392000,4580.61,17.640,45.15,hilly
34.500000,77.394000,4522.73,17.461,44.88,hilly
34.500000,77.396000,4464.85,17.566,45.04,hilly
34.500000,77.398000,4406.98,17.950,45.62,hilly
34.500000,77.400000,4349.10,18.591,46.59,hilly
34.500000,77.402000,4291.22,19.455,47.95,hilly
34.500000,77.404000,4233.34,20.504,49.65,hilly
34.500000,77.406000,4175.46,21.702,51.67,hilly
34.500000,77.408000,4117.59,19.632,42.86,hilly
34.500000,77.410000,4096.72,16.472,31.48,hilly
34.500000,77.412000,4094.79,15.303,28.84,hilly
34.500000,77.414000,4092.86,14.464,27.20,rolling
34.500000,77.416000,4090.92,13.619,25.57,rolling
34.500000,77.418000,4088.99,12.768,23.93,rolling
34.500000,77.420000,4087.06,11.911,22.30,rolling
34.500000,77.422000,4085.13,11.049,20.66,rolling
34.500000,77.424000,4083.20,10.182,19.03,rolling
34.500000,77.426000,4081.26,9.311,17.41,rolling
34.500000,77.428000,4079.33,8.435,15.79,rolling
34.500000,77.430000,4077.40,12.134,31.89,rolling
34.500000,77.432000,4141.73,22.337,59.32,hilly
34.500000,77.434000,4223.25,24.261,65.63,hilly
