region,task,model,type,metric1,value1,metric2,value2,metric3,value3,n_samples,n_features,cv_folds,runtime_s
mumbai,T1:RiskClassification,LogisticRegression,classification,AUC-ROC,0.9991,F1,0.9516,Accuracy,0.9885,2000,8,5,0.1
mumbai,T1:RiskClassification,GradientBoosting,classification,AUC-ROC,0.9942,F1,0.9,Accuracy,0.976,2000,8,5,5.77
mumbai,T1:RiskClassification,MLP,classification,AUC-ROC,0.999,F1,0.9463,Accuracy,0.987,2000,8,5,6.48
mumbai,T2:EnergyRegression,Ridge,regression,R²,0.9905,MAE,79.702,—,,2000,8,5,0.03
mumbai,T2:EnergyRegression,GradientBoosting,regression,R²,0.9964,MAE,32.2314,—,,2000,8,5,4.16
mumbai,T2:EnergyRegression,MLP,regression,R²,0.9893,MAE,94.6703,—,,2000,8,5,11.12
bangalore,T1:RiskClassification,LogisticRegression,classification,AUC-ROC,0.9984,F1,0.9862,Accuracy,0.981,2000,8,5,0.09
bangalore,T1:RiskClassification,GradientBoosting,classification,AUC-ROC,0.9963,F1,0.981,Accuracy,0.974,2000,8,5,5.72
bangalore,T1:RiskClassification,MLP,classification,AUC-ROC,0.9986,F1,0.9843,Accuracy,0.9785,2000,8,5,6.08
bangalore,T2:EnergyRegression,Ridge,regression,R²,0.9885,MAE,76.0362,—,,2000,8,5,0.01
bangalore,T2:EnergyRegression,GradientBoosting,regression,R²,0.9968,MAE,31.0947,—,,2000,8,5,4.21
bangalore,T2:EnergyRegression,MLP,regression,R²,0.9872,MAE,89.8967,—,,2000,8,5,11.34
arunachal,T1:RiskClassification,LogisticRegression,classification,AUC-ROC,0.7925,F1,0.0,Accuracy,0.999,2000,8,5,0.07
arunachal,T1:RiskClassification,GradientBoosting,classification,AUC-ROC,0.1997,F1,0.0,Accuracy,0.999,2000,8,5,2.0
arunachal,T1:RiskClassification,MLP,classification,AUC-ROC,0.049,F1,0.0,Accuracy,0.999,2000,8,5,1.72
arunachal,T2:EnergyRegression,Ridge,regression,R²,0.9916,MAE,71.4429,—,,2000,8,5,0.01
arunachal,T2:EnergyRegression,GradientBoosting,regression,R²,0.9986,MAE,28.9161,—,,2000,8,5,4.13
arunachal,T2:EnergyRegression,MLP,regression,R²,0.9921,MAE,74.0954,—,,2000,8,5,11.37
odisha,T1:RiskClassification,LogisticRegression,classification,AUC-ROC,0.9998,F1,0.9982,Accuracy,0.9965,2000,8,5,0.07
odisha,T1:RiskClassification,GradientBoosting,classification,AUC-ROC,0.995,F1,0.9974,Accuracy,0.995,2000,8,5,3.39
odisha,T1:RiskClassification,MLP,classification,AUC-ROC,0.9998,F1,0.9984,Accuracy,0.997,2000,8,5,4.64
odisha,T2:EnergyRegression,Ridge,regression,R²,0.9908,MAE,64.541,—,,2000,8,5,0.01
odisha,T2:EnergyRegression,GradientBoosting,regression,R²,0.9986,MAE,25.7211,—,,2000,8,5,4.47
odisha,T2:EnergyRegression,MLP,regression,R²,0.99,MAE,71.2362,—,,2000,8,5,12.36
ladakh,T1:RiskClassification,LogisticRegression,classification,AUC-ROC,0.9949,F1,0.7,Accuracy,0.997,2000,8,5,0.06
ladakh,T1:RiskClassification,GradientBoosting,classification,AUC-ROC,0.8064,F1,0.5556,Accuracy,0.996,2000,8,5,3.59
ladakh,T1:RiskClassification,MLP,classification,AUC-ROC,0.9353,F1,0.6957,Accuracy,0.9965,2000,8,5,2.96
ladakh,T2:EnergyRegression,Ridge,regression,R²,0.9908,MAE,74.2223,—,,2000,8,5,0.01
ladakh,T2:EnergyRegression,GradientBoosting,regression,R²,0.9959,MAE,30.5265,—,,2000,8,5,4.27
ladakh,T2:EnergyRegression,MLP,regression,R²,0.9901,MAE,87.223,—,,2000,8,5,12.13
