name,category,lat,lon,height_m
Tower 575808717,TOWER,19.162633,73.228925,30.0
Pylon 1219318609,POWER_PYLON,19.062371,72.962447,40.0
Pylon 1219318611,POWER_PYLON,19.063872,72.966653,40.0
Pylon 1219318615,POWER_PYLON,19.065555,72.971309,40.0
Pylon 1219318619,POWER_PYLON,19.067279,72.976158,40.0
Pylon 1219318625,POWER_PYLON,19.069044,72.980965,40.0
Pylon 1219318628,POWER_PYLON,19.069855,72.983304,40.0
Pylon 1219318632,POWER_PYLON,19.069470,72.983454,40.0
Pylon 1219318634,POWER_PYLON,19.068638,72.981115,40.0
Pylon 1219318636,POWER_PYLON,19.066914,72.976309,40.0
Pylon 1219318641,POWER_PYLON,19.065170,72.971502,40.0
Pylon 1219318645,POWER_PYLON,19.063487,72.966781,40.0
Pylon 1219318647,POWER_PYLON,19.061966,72.962576,40.0
Pylon 1219318673,POWER_PYLON,19.062453,72.966781,40.0
Pylon 1219318678,POWER_PYLON,19.064765,72.973412,40.0
Pylon 1219318681,POWER_PYLON,19.067158,72.980021,40.0
Pylon 1219335039,POWER_PYLON,19.061499,72.960033,40.0
Pylon 1219335060,POWER_PYLON,19.061114,72.960194,40.0
Pylon 1219335088,POWER_PYLON,19.060343,72.960945,40.0
Pylon 1219335109,POWER_PYLON,19.059922,72.958481,40.0
Pylon 1219335110,POWER_PYLON,19.060421,72.959883,40.0
Pylon 1219335113,POWER_PYLON,19.061540,72.963037,40.0
Pylon 1219335125,POWER_PYLON,19.062655,72.966138,40.0
Pylon 1219335126,POWER_PYLON,19.063872,72.969549,40.0
Pylon 1219335127,POWER_PYLON,19.064978,72.972596,40.0
Pylon 1219335130,POWER_PYLON,19.066052,72.975590,40.0
Pylon 1219335137,POWER_PYLON,19.066549,72.976952,40.0
Pylon 1219335141,POWER_PYLON,19.067006,72.978186,40.0
Pylon 1219335143,POWER_PYLON,19.067462,72.979495,40.0
Pylon 1219335144,POWER_PYLON,19.067928,72.980772,40.0
Pylon 1219335147,POWER_PYLON,19.068395,72.982081,40.0
Pylon 1219335150,POWER_PYLON,19.068841,72.983357,40.0
Pylon 1219335176,POWER_PYLON,19.059802,72.958546,40.0
Pylon 1219335202,POWER_PYLON,19.060290,72.959936,40.0
Pylon 1219335207,POWER_PYLON,19.061408,72.963101,40.0
Pylon 1219335212,POWER_PYLON,19.062503,72.966191,40.0
Pylon 1219335225,POWER_PYLON,19.063710,72.969625,40.0
Pylon 1219335228,POWER_PYLON,19.064785,72.972704,40.0
Pylon 1219335229,POWER_PYLON,19.065829,72.975686,40.0
Pylon 1219335231,POWER_PYLON,19.066286,72.977049,40.0
Pylon 1219335238,POWER_PYLON,19.066752,72.978304,40.0
Pylon 1219335246,POWER_PYLON,19.067229,72.979613,40.0
Pylon 1219335253,POWER_PYLON,19.067685,72.980890,40.0
Pylon 1219335257,POWER_PYLON,19.068151,72.982156,40.0
Pylon 1219335262,POWER_PYLON,19.068618,72.983433,40.0
Pylon 1366938045,POWER_PYLON,19.049710,72.924822,40.0
Pylon 1366938047,POWER_PYLON,19.050415,72.923584,40.0
Pylon 1366938048,POWER_PYLON,19.047233,72.930487,40.0
Pylon 1366938052,POWER_PYLON,19.051583,72.936124,40.0
Pylon 1366938060,POWER_PYLON,19.052157,72.938258,40.0
Pylon 1366938063,POWER_PYLON,19.052440,72.938508,40.0
Pylon 1366938066,POWER_PYLON,19.052603,72.938439,40.0
Pylon 1366938067,POWER_PYLON,19.053061,72.940782,40.0
Pylon 1366938068,POWER_PYLON,19.053334,72.940917,40.0
Pylon 1366938070,POWER_PYLON,19.053481,72.940936,40.0
Pylon 1366938071,POWER_PYLON,19.054160,72.943806,40.0
Pylon 1366938072,POWER_PYLON,19.054416,72.944017,40.0
Pylon 1366938074,POWER_PYLON,19.054463,72.942761,40.0
Pylon 1366938075,POWER_PYLON,19.054545,72.943867,40.0
Pylon 1366938077,POWER_PYLON,19.055018,72.946209,40.0
Pylon 1366938078,POWER_PYLON,19.055130,72.942808,40.0
Pylon 1366938080,POWER_PYLON,19.055208,72.946238,40.0
Pylon 1366938081,POWER_PYLON,19.055372,72.946196,40.0
Pylon 1366938082,POWER_PYLON,19.055889,72.948554,40.0
Pylon 1366938083,POWER_PYLON,19.055984,72.945279,40.0
Pylon 1366938085,POWER_PYLON,19.056092,72.948670,40.0
Pylon 1366938086,POWER_PYLON,19.056246,72.948596,40.0
Pylon 1366938088,POWER_PYLON,19.056848,72.951253,40.0
Pylon 1366938090,POWER_PYLON,19.056941,72.951033,40.0
Pylon 1366938091,POWER_PYLON,19.056910,72.947882,40.0
Pylon 1366938092,POWER_PYLON,19.057129,72.951055,40.0
Pylon 1366938095,POWER_PYLON,19.057327,72.944033,40.0
Pylon 1366938098,POWER_PYLON,19.057623,72.949844,40.0
Pylon 1366938100,POWER_PYLON,19.057841,72.953544,40.0
Pylon 1366938103,POWER_PYLON,19.058008,72.953509,40.0
Pylon 1366938104,POWER_PYLON,19.057950,72.954316,40.0
Pylon 1366938112,POWER_PYLON,19.058738,72.956001,40.0
Pylon 1366938113,POWER_PYLON,19.058779,72.953037,40.0
Pylon 1366938117,POWER_PYLON,19.058929,72.956014,40.0
Pylon 1366938121,POWER_PYLON,19.059246,72.957746,40.0
Pylon 1366938135,POWER_PYLON,19.059822,72.955955,40.0
Pylon 1366938145,POWER_PYLON,19.060290,72.943453,40.0
Pylon 1366938157,POWER_PYLON,19.060945,72.959019,40.0
Pylon 1366938226,POWER_PYLON,19.063431,72.942839,40.0
Pylon 1366938271,POWER_PYLON,19.065699,72.942389,40.0
Pylon 1366938331,POWER_PYLON,19.068078,72.940077,40.0
Pylon 1366938368,POWER_PYLON,19.070069,72.937926,40.0
Pylon 1366938373,POWER_PYLON,19.071484,72.935129,40.0
Pylon 1366938377,POWER_PYLON,19.074046,72.931838,40.0
Pylon 1366987015,POWER_PYLON,19.040616,72.918043,40.0
Pylon 1366987017,POWER_PYLON,19.040769,72.918008,40.0
Pylon 1366987021,POWER_PYLON,19.041476,72.920433,40.0
Pylon 1366987023,POWER_PYLON,19.041667,72.920381,40.0
Pylon 1366987027,POWER_PYLON,19.043066,72.922273,40.0
Pylon 1366987028,POWER_PYLON,19.043208,72.922143,40.0
Pylon 1366987034,POWER_PYLON,19.044754,72.923930,40.0
Pylon 1366987035,POWER_PYLON,19.044609,72.924057,40.0
Pylon 1366987054,POWER_PYLON,19.048490,72.928761,40.0
Pylon 1366987058,POWER_PYLON,19.051360,72.927906,40.0
Pylon 1539944617,POWER_PYLON,19.309852,73.319068,40.0
Pylon 1539944619,POWER_PYLON,19.310342,73.315246,40.0
Pylon 1539944620,POWER_PYLON,19.310671,73.321506,40.0
Pylon 1539944621,POWER_PYLON,19.310687,73.312204,40.0
Pylon 1539944623,POWER_PYLON,19.310987,73.309557,40.0
Pylon 1539944630,POWER_PYLON,19.311409,73.306219,40.0
Pylon 1539944633,POWER_PYLON,19.311479,73.324100,40.0
Pylon 1539944638,POWER_PYLON,19.312760,73.327635,40.0
Pylon 1539944639,POWER_PYLON,19.312803,73.304058,40.0
Pylon 1539944640,POWER_PYLON,19.314041,73.331306,40.0
Pylon 1539944641,POWER_PYLON,19.314734,73.300983,40.0
Pylon 1539944649,POWER_PYLON,19.315300,73.334918,40.0
Pylon 1539944652,POWER_PYLON,19.316464,73.338235,40.0
Pylon 1539944655,POWER_PYLON,19.316578,73.298094,40.0
Pylon 1539944658,POWER_PYLON,19.318095,73.295716,40.0
Pylon 1539944661,POWER_PYLON,19.318554,73.340136,40.0
Pylon 1539944663,POWER_PYLON,19.319395,73.293981,40.0
Pylon 1539944669,POWER_PYLON,19.319612,73.290473,40.0
Pylon 1539944671,POWER_PYLON,19.320851,73.342234,40.0
Pylon 1539944675,POWER_PYLON,19.321019,73.286392,40.0
Pylon 1539944678,POWER_PYLON,19.321788,73.282131,40.0
Pylon 1539944681,POWER_PYLON,19.322712,73.276566,40.0
Pylon 1539944685,POWER_PYLON,19.323148,73.344325,40.0
Pylon 1539944693,POWER_PYLON,19.325151,73.272052,40.0
Pylon 1539944695,POWER_PYLON,19.325304,73.346265,40.0
Pylon 1539944701,POWER_PYLON,19.326903,73.268609,40.0
Pylon 1539944705,POWER_PYLON,19.327790,73.348536,40.0
Pylon 1539944716,POWER_PYLON,19.328480,73.265492,40.0
Pylon 1539944721,POWER_PYLON,19.330461,73.261654,40.0
Pylon 1539944724,POWER_PYLON,19.332379,73.257812,40.0
Pylon 1539944742,POWER_PYLON,19.334064,73.254627,40.0
Pylon 1539944748,POWER_PYLON,19.335749,73.251219,40.0
Pylon 1539944760,POWER_PYLON,19.337171,73.248498,40.0
Pylon 1539944774,POWER_PYLON,19.338768,73.224264,40.0
Pylon 1539944782,POWER_PYLON,19.338830,73.226994,40.0
Pylon 1539944787,POWER_PYLON,19.338847,73.230726,40.0
Pylon 1539944789,POWER_PYLON,19.338881,73.234439,40.0
Pylon 1539944792,POWER_PYLON,19.338911,73.237678,40.0
Pylon 1539944804,POWER_PYLON,19.338988,73.241501,40.0
Pylon 1539944806,POWER_PYLON,19.339018,73.244952,40.0
Pylon 1539944809,POWER_PYLON,19.339664,73.220610,40.0
Pylon 1539944826,POWER_PYLON,19.340348,73.217767,40.0
Pylon 1539944829,POWER_PYLON,19.340571,73.216831,40.0
Pylon 1539944835,POWER_PYLON,19.341825,73.215524,40.0
Pylon 1539944854,POWER_PYLON,19.343386,73.213751,40.0
Pylon 1539944857,POWER_PYLON,19.343495,73.212182,40.0
Pylon 1539944859,POWER_PYLON,19.343576,73.210953,40.0
Pylon 1539944883,POWER_PYLON,19.347188,73.208543,40.0
Pylon 2125053359,POWER_PYLON,19.141443,72.831384,40.0
Pylon 2170705010,POWER_PYLON,19.139462,72.831545,40.0
Pylon 2199929438,POWER_PYLON,19.030131,73.347996,40.0
Pylon 2299141737,POWER_PYLON,19.059223,73.001333,40.0
Pylon 2309822683,POWER_PYLON,18.851450,73.225723,40.0
Pylon 2309822686,POWER_PYLON,18.853351,73.223370,40.0
Pylon 2309822688,POWER_PYLON,18.855868,73.221506,40.0
Pylon 2309822689,POWER_PYLON,18.859502,73.218792,40.0
Pylon 2309822690,POWER_PYLON,18.862181,73.216792,40.0
Pylon 2309822691,POWER_PYLON,18.865093,73.214610,40.0
Pylon 2309822692,POWER_PYLON,18.867829,73.212581,40.0
Pylon 2309822693,POWER_PYLON,18.870369,73.210678,40.0
Pylon 2309822694,POWER_PYLON,18.873463,73.208357,40.0
Pylon 2309822695,POWER_PYLON,18.876132,73.206372,40.0
Pylon 2309822696,POWER_PYLON,18.878950,73.204265,40.0
Pylon 2309822697,POWER_PYLON,18.881899,73.202058,40.0
Pylon 2309822698,POWER_PYLON,18.884850,73.199849,40.0
Pylon 2309822699,POWER_PYLON,18.887845,73.197606,40.0
Pylon 2309858373,POWER_PYLON,18.850866,73.280080,40.0
Pylon 2309858376,POWER_PYLON,18.853147,73.279082,40.0
Pylon 2309858378,POWER_PYLON,18.856580,73.276749,40.0
Pylon 2309858380,POWER_PYLON,18.860323,73.276811,40.0
Pylon 2309858383,POWER_PYLON,18.865242,73.276984,40.0
Pylon 2309858385,POWER_PYLON,18.868798,73.274445,40.0
Pylon 2309858387,POWER_PYLON,18.870462,73.274305,40.0
Pylon 2309858391,POWER_PYLON,18.873958,73.273563,40.0
Pylon 2309858394,POWER_PYLON,18.875144,73.271661,40.0
Pylon 2309858399,POWER_PYLON,18.877063,73.270976,40.0
Pylon 2309858403,POWER_PYLON,18.879847,73.271176,40.0
Pylon 2309858406,POWER_PYLON,18.881269,73.270903,40.0
Pylon 2309858409,POWER_PYLON,18.883258,73.271813,40.0
