lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
19.350000,72.750000,5957.8,36.0,BUILDING
19.350000,72.752000,5749.0,36.0,BUILDING
19.350000,72.754000,5540.4,36.0,BUILDING
19.350000,72.756000,5331.8,36.0,BUILDING
19.350000,72.758000,5123.5,36.0,BUILDING
19.350000,72.760000,4915.3,36.0,BUILDING
19.350000,72.762000,4707.3,36.0,BUILDING
19.350000,72.764000,4499.5,36.0,BUILDING
19.350000,72.766000,4292.0,36.0,BUILDING
19.350000,72.768000,4084.7,36.0,BUILDING
19.350000,72.770000,3877.8,36.0,BUILDING
19.350000,72.772000,3671.3,36.0,BUILDING
19.350000,72.774000,3465.3,36.0,BUILDING
19.350000,72.776000,3259.8,36.0,BUILDING
19.350000,72.778000,3055.0,36.0,BUILDING
19.350000,72.780000,2851.0,36.0,BUILDING
19.350000,72.782000,2648.0,36.0,BUILDING
19.350000,72.784000,2446.2,36.0,BUILDING
19.350000,72.786000,2246.1,36.0,BUILDING
19.350000,72.788000,2048.0,36.0,BUILDING
19.350000,72.790000,1852.5,36.0,BUILDING
19.350000,72.792000,1660.8,36.0,BUILDING
19.350000,72.794000,1474.1,36.0,BUILDING
19.350000,72.796000,1294.8,36.0,BUILDING
19.350000,72.798000,1126.2,36.0,BUILDING
19.350000,72.800000,974.0,36.0,BUILDING
19.350000,72.802000,847.1,36.0,BUILDING
19.350000,72.804000,758.4,36.0,BUILDING
19.350000,72.806000,721.9,36.0,BUILDING
19.350000,72.808000,745.4,36.0,BUILDING
19.350000,72.810000,823.8,36.0,BUILDING
19.350000,72.812000,843.7,15.0,BUILDING
19.350000,72.814000,638.9,15.0,BUILDING
19.350000,72.816000,439.5,15.0,BUILDING
19.350000,72.818000,258.2,15.0,BUILDING
19.350000,72.820000,169.2,15.0,BUILDING
19.350000,72.822000,281.3,15.0,BUILDING
19.350000,72.824000,467.1,15.0,BUILDING
19.350000,72.826000,667.6,15.0,BUILDING
19.350000,72.828000,872.8,15.0,BUILDING
19.350000,72.830000,973.9,12.0,BUILDING
19.350000,72.832000,994.2,45.0,RELIGIOUS_STRUCTURE
19.350000,72.834000,1015.1,45.0,RELIGIOUS_STRUCTURE
19.350000,72.836000,1077.6,45.0,RELIGIOUS_STRUCTURE
19.350000,72.838000,1174.9,45.0,RELIGIOUS_STRUCTURE
19.350000,72.840000,1299.3,45.0,RELIGIOUS_STRUCTURE
19.350000,72.842000,1443.7,45.0,RELIGIOUS_STRUCTURE
19.350000,72.844000,1602.8,45.0,RELIGIOUS_STRUCTURE
19.350000,72.846000,1772.6,45.0,RELIGIOUS_STRUCTURE
19.350000,72.848000,1950.4,45.0,RELIGIOUS_STRUCTURE
19.350000,72.850000,2134.1,45.0,RELIGIOUS_STRUCTURE
19.350000,72.852000,2076.3,40.0,POWER_PYLON
19.350000,72.854000,1866.0,40.0,POWER_PYLON
19.350000,72.856000,1655.8,40.0,POWER_PYLON
19.350000,72.858000,1445.5,40.0,POWER_PYLON
19.350000,72.860000,1235.4,40.0,POWER_PYLON
19.350000,72.862000,1025.3,40.0,POWER_PYLON
19.350000,72.864000,815.4,40.0,POWER_PYLON
19.350000,72.866000,605.8,40.0,POWER_PYLON
19.350000,72.868000,397.0,40.0,POWER_PYLON
