lat,lon,elev_m,slope_deg,roughness_m,surface_type
19.350000,72.750000,0.00,0.000,0.00,flat
19.350000,72.752000,0.00,0.000,0.00,flat
19.350000,72.754000,0.00,0.000,0.00,flat
19.350000,72.756000,0.00,0.000,0.00,flat
19.350000,72.758000,0.00,0.000,0.00,flat
19.350000,72.760000,0.00,0.000,0.00,flat
19.350000,72.762000,0.00,0.000,0.00,flat
19.350000,72.764000,0.00,0.000,0.00,flat
19.350000,72.766000,0.00,0.000,0.00,flat
19.350000,72.768000,0.00,0.021,0.07,flat
19.350000,72.770000,0.16,0.064,0.19,flat
19.350000,72.772000,0.47,0.087,0.25,flat
19.350000,72.774000,0.79,0.089,0.25,flat
19.350000,72.776000,1.10,0.092,0.26,flat
19.350000,72.778000,1.42,0.095,0.26,flat
19.350000,72.780000,1.73,0.099,0.26,flat
19.350000,72.782000,2.05,0.104,0.27,flat
19.350000,72.784000,2.36,0.109,0.28,flat
19.350000,72.786000,2.68,0.115,0.29,flat
19.350000,72.788000,3.00,0.191,0.55,flat
19.350000,72.790000,3.93,0.274,0.78,flat
19.350000,72.792000,4.88,0.278,0.79,flat
19.350000,72.794000,5.83,0.281,0.79,flat
19.350000,72.796000,6.77,0.285,0.80,flat
19.350000,72.798000,7.72,0.289,0.80,flat
19.350000,72.800000,8.67,0.293,0.81,flat
19.350000,72.802000,9.61,0.298,0.81,flat
19.350000,72.804000,10.56,0.302,0.82,flat
19.350000,72.806000,11.51,0.263,0.68,flat
19.350000,72.808000,12.05,0.202,0.43,flat
19.350000,72.810000,12.16,0.205,0.38,flat
19.350000,72.812000,12.26,0.226,0.42,flat
19.350000,72.814000,12.37,0.247,0.45,flat
19.350000,72.816000,12.47,0.268,0.49,flat
19.350000,72.818000,12.58,0.289,0.53,flat
19.350000,72.820000,12.68,0.310,0.57,flat
19.350000,72.822000,12.79,0.331,0.61,flat
19.350000,72.824000,12.89,0.352,0.65,flat
19.350000,72.826000,13.00,0.392,0.78,flat
19.350000,72.828000,11.98,0.440,1.02,flat
19.350000,72.830000,10.92,0.416,0.99,flat
19.350000,72.832000,9.87,0.390,0.95,flat
19.350000,72.834000,8.82,0.367,0.92,flat
19.350000,72.836000,7.77,0.345,0.89,flat
19.350000,72.838000,6.72,0.326,0.87,flat
19.350000,72.840000,5.66,0.311,0.85,flat
19.350000,72.842000,4.61,0.299,0.84,flat
19.350000,72.844000,3.56,0.225,0.65,flat
19.350000,72.846000,3.00,0.080,0.26,flat
19.350000,72.848000,3.00,0.020,0.04,flat
19.350000,72.850000,3.00,0.014,0.03,flat
19.350000,72.852000,3.00,0.008,0.02,flat
19.350000,72.854000,3.00,0.002,0.01,flat
19.350000,72.856000,3.00,0.004,0.01,flat
19.350000,72.858000,3.00,0.010,0.02,flat
19.350000,72.860000,3.00,0.016,0.03,flat
19.350000,72.862000,3.00,0.022,0.04,flat
19.350000,72.864000,3.00,0.050,0.14,flat
19.350000,72.866000,3.30,0.086,0.24,flat
19.350000,72.868000,3.62,0.086,0.25,flat
19.350000,72.870000,3.93,0.086,0.25,flat
19.350000,72.872000,4.25,0.088,0.25,flat
19.350000,72.874000,4.57,0.091,0.25,flat
19.350000,72.876000,4.88,0.096,0.26,flat
19.350000,72.878000,5.20,0.102,0.27,flat
19.350000,72.880000,5.51,0.109,0.27,flat
19.350000,72.882000,5.83,0.280,0.90,flat
19.350000,72.884000,7.48,0.670,2.14,flat
19.350000,72.886000,10.74,0.893,2.81,flat
19.350000,72.888000,14.01,0.916,2.83,flat
19.350000,72.890000,17.27,0.955,2.88,flat
19.350000,72.892000,20.53,1.008,2.94,flat
19.350000,72.894000,23.79,1.074,3.01,flat
19.350000,72.896000,27.05,1.150,3.11,flat
19.350000,72.898000,30.31,1.234,3.21,flat
19.350000,72.900000,33.57,1.325,3.33,flat
19.350000,72.902000,36.83,1.115,2.42,flat
19.350000,72.904000,34.31,1.301,2.98,flat
19.350000,72.906000,31.47,1.292,3.03,flat
19.350000,72.908000,28.63,1.258,2.98,flat
19.350000,72.910000,25.79,1.225,2.94,flat
19.350000,72.912000,22.95,1.193,2.89,flat
19.350000,72.914000,20.11,1.161,2.85,flat
19.350000,72.916000,17.27,1.130,2.81,flat
19.350000,72.918000,14.43,1.100,2.76,flat
19.350000,72.920000,11.59,0.776,1.85,flat
19.350000,72.922000,12.70,1.264,3.65,flat
19.350000,72.924000,18.80,1.927,5.48,flat
19.350000,72.926000,24.90,2.024,5.60,flat
19.350000,72.928000,31.00,2.133,5.73,flat
19.350000,72.930000,37.10,2.250,5.88,flat
19.350000,72.932000,43.20,2.376,6.04,flat
19.350000,72.934000,49.30,2.508,6.22,flat
19.350000,72.936000,55.40,2.646,6.41,flat
19.350000,72.938000,61.51,2.789,6.61,flat
19.350000,72.940000,67.61,2.478,4.90,flat
19.350000,72.942000,65.34,2.245,4.60,flat
19.350000,72.944000,62.50,1.974,4.29,flat
19.350000,72.946000,59.66,1.685,3.85,flat
19.350000,72.948000,56.82,1.409,3.46,flat
19.350000,72.950000,53.98,1.155,3.12,flat
19.350000,72.952000,51.14,0.943,2.87,flat
19.350000,72.954000,48.30,0.804,2.73,flat
19.350000,72.956000,45.46,0.780,2.71,flat
19.350000,72.958000,42.62,0.460,1.61,flat
19.350000,72.960000,44.07,1.362,3.75,flat
19.350000,72.962000,51.22,2.152,5.86,flat
19.350000,72.964000,58.37,2.254,5.99,flat
19.350000,72.966000,65.53,2.372,6.14,flat
19.350000,72.968000,72.68,2.504,6.32,flat
19.350000,72.970000,79.83,2.648,6.51,flat
19.350000,72.972000,86.99,2.801,6.72,flat
19.350000,72.974000,94.14,2.963,6.95,flat
19.350000,72.976000,101.29,3.132,7.20,flat
19.350000,72.978000,108.45,3.137,6.80,flat
19.350000,72.980000,113.37,3.056,6.36,flat
19.350000,72.982000,118.10,3.114,6.43,flat
19.350000,72.984000,122.83,3.182,6.54,flat
19.350000,72.986000,127.57,3.251,6.66,flat
19.350000,72.988000,132.30,3.320,6.77,flat
19.350000,72.990000,137.04,3.390,6.89,flat
19.350000,72.992000,141.77,3.459,7.00,flat
19.350000,72.994000,146.50,3.529,7.12,flat
19.350000,72.996000,151.24,3.375,6.37,flat
19.350000,72.998000,148.75,3.883,8.75,flat
19.350000,73.000000,136.12,4.578,11.48,flat
19.350000,73.002000,123.50,4.410,11.25,flat
