lat,lon,elev_m,slope_deg,roughness_m,surface_type
20.100000,85.600000,25.00,0.081,0.15,flat
20.100000,85.602000,24.79,0.060,0.22,flat
20.100000,85.604000,24.58,0.061,0.22,flat
20.100000,85.606000,24.37,0.083,0.25,flat
20.100000,85.608000,24.16,0.114,0.28,flat
20.100000,85.610000,23.95,0.149,0.33,flat
20.100000,85.612000,23.74,0.186,0.39,flat
20.100000,85.614000,23.53,0.223,0.45,flat
20.100000,85.616000,23.32,0.261,0.52,flat
20.100000,85.618000,23.12,0.303,0.59,flat
20.100000,85.620000,22.76,0.337,0.67,flat
20.100000,85.622000,22.24,0.346,0.72,flat
20.100000,85.624000,21.72,0.346,0.72,flat
20.100000,85.626000,21.19,0.346,0.72,flat
20.100000,85.628000,20.67,0.346,0.72,flat
20.100000,85.630000,20.15,0.346,0.72,flat
20.100000,85.632000,19.62,0.346,0.72,flat
20.100000,85.634000,19.10,0.346,0.72,flat
20.100000,85.636000,18.58,0.346,0.72,flat
20.100000,85.638000,18.05,0.364,0.78,flat
20.100000,85.640000,17.25,0.372,0.85,flat
20.100000,85.642000,16.41,0.358,0.83,flat
20.100000,85.644000,15.57,0.342,0.81,flat
20.100000,85.646000,14.73,0.327,0.79,flat
20.100000,85.648000,13.90,0.312,0.77,flat
20.100000,85.650000,13.06,0.299,0.75,flat
20.100000,85.652000,12.22,0.286,0.73,flat
20.100000,85.654000,11.38,0.274,0.72,flat
20.100000,85.656000,10.55,0.245,0.65,flat
20.100000,85.658000,9.85,0.186,0.48,flat
20.100000,85.660000,9.44,0.143,0.36,flat
20.100000,85.662000,9.02,0.132,0.34,flat
20.100000,85.664000,8.60,0.123,0.33,flat
20.100000,85.666000,8.18,0.117,0.32,flat
20.100000,85.668000,7.76,0.115,0.32,flat
20.100000,85.670000,7.34,0.116,0.32,flat
20.100000,85.672000,6.92,0.121,0.33,flat
20.100000,85.674000,6.50,0.130,0.34,flat
20.100000,85.676000,6.08,0.094,0.22,flat
20.100000,85.678000,6.17,0.110,0.24,flat
20.100000,85.680000,6.38,0.136,0.30,flat
20.100000,85.682000,6.59,0.156,0.33,flat
20.100000,85.684000,6.80,0.175,0.36,flat
20.100000,85.686000,7.00,0.195,0.39,flat
20.100000,85.688000,7.21,0.215,0.43,flat
20.100000,85.690000,7.42,0.236,0.46,flat
20.100000,85.692000,7.63,0.256,0.50,flat
20.100000,85.694000,7.84,0.274,0.53,flat
20.100000,85.696000,7.95,0.299,0.57,flat
20.100000,85.698000,7.74,0.355,0.66,flat
20.100000,85.700000,7.53,0.405,0.75,flat
20.100000,85.702000,7.32,0.456,0.84,flat
20.100000,85.704000,7.11,0.506,0.93,flat
20.100000,85.706000,6.90,0.557,1.02,flat
20.100000,85.708000,6.69,0.608,1.12,flat
20.100000,85.710000,6.48,0.659,1.21,flat
20.100000,85.712000,6.27,0.709,1.30,flat
20.100000,85.714000,6.06,0.759,1.38,flat
20.100000,85.716000,6.00,0.792,1.45,flat
20.100000,85.718000,6.00,0.819,1.50,flat
20.100000,85.720000,6.00,0.846,1.55,flat
20.100000,85.722000,6.00,0.873,1.60,flat
20.100000,85.724000,6.00,0.900,1.65,flat
20.100000,85.726000,6.00,0.927,1.70,flat
20.100000,85.728000,6.00,0.954,1.75,flat
20.100000,85.730000,6.00,0.981,1.80,flat
20.100000,85.732000,6.00,1.008,1.84,flat
20.100000,85.734000,6.00,1.015,1.79,flat
20.100000,85.736000,6.00,0.907,1.67,flat
20.100000,85.738000,6.00,0.800,1.48,flat
20.100000,85.740000,6.00,0.692,1.28,flat
20.100000,85.742000,6.00,0.584,1.09,flat
20.100000,85.744000,6.00,0.476,0.89,flat
20.100000,85.746000,6.00,0.368,0.70,flat
20.100000,85.748000,6.00,0.260,0.52,flat
20.100000,85.750000,6.00,0.152,0.34,flat
20.100000,85.752000,6.00,0.044,0.19,flat
20.100000,85.754000,6.00,0.002,0.05,flat
20.100000,85.756000,6.00,0.005,0.01,flat
20.100000,85.758000,6.00,0.008,0.02,flat
20.100000,85.760000,6.00,0.011,0.02,flat
20.100000,85.762000,6.00,0.014,0.03,flat
20.100000,85.764000,6.00,0.017,0.03,flat
20.100000,85.766000,6.00,0.020,0.04,flat
20.100000,85.768000,6.00,0.023,0.04,flat
20.100000,85.770000,6.00,0.026,0.05,flat
20.100000,85.772000,6.02,0.067,0.20,flat
20.100000,85.774000,6.44,0.121,0.34,flat
20.100000,85.776000,6.86,0.124,0.34,flat
20.100000,85.778000,7.28,0.128,0.35,flat
20.100000,85.780000,7.69,0.132,0.35,flat
20.100000,85.782000,8.11,0.136,0.36,flat
20.100000,85.784000,8.53,0.142,0.37,flat
20.100000,85.786000,8.95,0.147,0.37,flat
20.100000,85.788000,9.37,0.153,0.38,flat
20.100000,85.790000,9.79,0.132,0.30,flat
20.100000,85.792000,9.90,0.111,0.21,flat
20.100000,85.794000,9.69,0.116,0.25,flat
20.100000,85.796000,9.48,0.109,0.23,flat
20.100000,85.798000,9.27,0.101,0.22,flat
20.100000,85.800000,9.06,0.094,0.21,flat
20.100000,85.802000,8.85,0.087,0.20,flat
20.100000,85.804000,8.64,0.080,0.19,flat
20.100000,85.806000,8.43,0.074,0.18,flat
20.100000,85.808000,8.22,0.069,0.18,flat
20.100000,85.810000,8.01,0.083,0.33,flat
20.100000,85.812000,8.79,0.224,0.65,flat
20.100000,85.814000,9.63,0.234,0.68,flat
20.100000,85.816000,10.47,0.236,0.68,flat
20.100000,85.818000,11.30,0.238,0.68,flat
20.100000,85.820000,12.14,0.241,0.69,flat
20.100000,85.822000,12.98,0.243,0.69,flat
20.100000,85.824000,13.82,0.247,0.69,flat
20.100000,85.826000,14.65,0.250,0.70,flat
20.100000,85.828000,15.49,0.186,0.50,flat
20.100000,85.830000,15.75,0.123,0.32,flat
20.100000,85.832000,15.12,0.202,0.54,flat
20.100000,85.834000,14.50,0.199,0.54,flat
20.100000,85.836000,13.87,0.196,0.54,flat
