name,category,lat,lon,height_m
Pylon 1358277779,POWER_PYLON,11.646239,92.703142,40.0
Pylon 1358278918,POWER_PYLON,11.648926,92.703067,40.0
Pylon 1358278931,POWER_PYLON,11.649735,92.702506,40.0
Pylon 1358278935,POWER_PYLON,11.650575,92.700664,40.0
Pylon 1358278938,POWER_PYLON,11.652872,92.700614,40.0
Pylon 1358278942,POWER_PYLON,11.653399,92.700444,40.0
Pylon 1358278961,POWER_PYLON,11.655097,92.699774,40.0
Pylon 1358278967,POWER_PYLON,11.657058,92.699088,40.0
Pylon 1358278968,POWER_PYLON,11.660126,92.697944,40.0
Pylon 1358278969,POWER_PYLON,11.663587,92.697834,40.0
Pylon 1358278975,POWER_PYLON,11.666289,92.698355,40.0
Pylon 1358278976,POWER_PYLON,11.668211,92.699018,40.0
Pylon 1358278977,POWER_PYLON,11.668890,92.699814,40.0
Pylon 1358278979,POWER_PYLON,11.668921,92.700657,40.0
Pylon 1358278980,POWER_PYLON,11.669510,92.701790,40.0
Pylon 1491364815,POWER_PYLON,11.689755,92.702313,40.0
Pylon 1491364816,POWER_PYLON,11.692177,92.703768,40.0
Pylon 1491364841,POWER_PYLON,11.694595,92.705225,40.0
Pylon 1491364871,POWER_PYLON,11.697004,92.706711,40.0
Pylon 1491365023,POWER_PYLON,11.699596,92.710898,40.0
Pylon 1491365028,POWER_PYLON,11.699932,92.708498,40.0
Pylon 7418905380,POWER_PYLON,11.672501,92.702096,40.0
Pylon 7418905381,POWER_PYLON,11.675610,92.700956,40.0
Pylon 7418905382,POWER_PYLON,11.677623,92.701853,40.0
Pylon 7418905383,POWER_PYLON,11.680175,92.703011,40.0
Pylon 7418905384,POWER_PYLON,11.682617,92.704076,40.0
Pylon 7418933385,POWER_PYLON,11.685809,92.703684,40.0
Pylon 7418933386,POWER_PYLON,11.688983,92.703310,40.0
Pylon 7418933387,POWER_PYLON,11.696958,92.707569,40.0
Pylon 7418933388,POWER_PYLON,11.699595,92.708829,40.0
Pylon 7418933389,POWER_PYLON,11.694040,92.705981,40.0
Pylon 7418933390,POWER_PYLON,11.691626,92.704776,40.0
Pylon 7418933391,POWER_PYLON,11.689412,92.703571,40.0
