lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
11.900000,92.500000,31823.9,40.0,POWER_PYLON
11.900000,92.502000,31668.5,40.0,POWER_PYLON
11.900000,92.504000,31513.9,40.0,POWER_PYLON
11.900000,92.506000,31360.0,40.0,POWER_PYLON
11.900000,92.508000,31206.9,40.0,POWER_PYLON
11.900000,92.510000,31054.5,40.0,POWER_PYLON
11.900000,92.512000,30902.9,40.0,POWER_PYLON
11.900000,92.514000,30752.2,40.0,POWER_PYLON
11.900000,92.516000,30602.2,40.0,POWER_PYLON
11.900000,92.518000,30453.1,40.0,POWER_PYLON
11.900000,92.520000,30304.8,40.0,POWER_PYLON
11.900000,92.522000,30157.3,40.0,POWER_PYLON
11.900000,92.524000,30010.8,40.0,POWER_PYLON
11.900000,92.526000,29865.0,40.0,POWER_PYLON
11.900000,92.528000,29720.2,40.0,POWER_PYLON
11.900000,92.530000,29576.3,40.0,POWER_PYLON
11.900000,92.532000,29433.3,40.0,POWER_PYLON
11.900000,92.534000,29291.2,40.0,POWER_PYLON
11.900000,92.536000,29150.0,40.0,POWER_PYLON
11.900000,92.538000,29009.8,40.0,POWER_PYLON
11.900000,92.540000,28870.6,40.0,POWER_PYLON
11.900000,92.542000,28732.3,40.0,POWER_PYLON
11.900000,92.544000,28595.0,40.0,POWER_PYLON
11.900000,92.546000,28458.8,40.0,POWER_PYLON
11.900000,92.548000,28323.6,40.0,POWER_PYLON
11.900000,92.550000,28189.4,40.0,POWER_PYLON
11.900000,92.552000,28056.2,40.0,POWER_PYLON
11.900000,92.554000,27924.2,40.0,POWER_PYLON
11.900000,92.556000,27793.2,40.0,POWER_PYLON
11.900000,92.558000,27663.3,40.0,POWER_PYLON
11.900000,92.560000,27534.5,40.0,POWER_PYLON
11.900000,92.562000,27406.8,40.0,POWER_PYLON
11.900000,92.564000,27280.3,40.0,POWER_PYLON
11.900000,92.566000,27155.0,40.0,POWER_PYLON
11.900000,92.568000,27030.8,40.0,POWER_PYLON
11.900000,92.570000,26907.9,40.0,POWER_PYLON
11.900000,92.572000,26786.1,40.0,POWER_PYLON
11.900000,92.574000,26665.6,40.0,POWER_PYLON
11.900000,92.576000,26546.3,40.0,POWER_PYLON
11.900000,92.578000,26428.3,40.0,POWER_PYLON
11.900000,92.580000,26311.5,40.0,POWER_PYLON
11.900000,92.582000,26196.1,40.0,POWER_PYLON
11.900000,92.584000,26081.9,40.0,POWER_PYLON
11.900000,92.586000,25969.1,40.0,POWER_PYLON
11.900000,92.588000,25857.7,40.0,POWER_PYLON
11.900000,92.590000,25747.6,40.0,POWER_PYLON
11.900000,92.592000,25638.8,40.0,POWER_PYLON
11.900000,92.594000,25531.5,40.0,POWER_PYLON
11.900000,92.596000,25425.6,40.0,POWER_PYLON
11.900000,92.598000,25321.1,40.0,POWER_PYLON
11.900000,92.600000,25218.1,40.0,POWER_PYLON
11.900000,92.602000,25116.6,40.0,POWER_PYLON
11.900000,92.604000,25016.5,40.0,POWER_PYLON
11.900000,92.606000,24918.0,40.0,POWER_PYLON
11.900000,92.608000,24820.9,40.0,POWER_PYLON
11.900000,92.610000,24725.5,40.0,POWER_PYLON
11.900000,92.612000,24631.5,40.0,POWER_PYLON
11.900000,92.614000,24539.2,40.0,POWER_PYLON
11.900000,92.616000,24448.4,40.0,POWER_PYLON
11.900000,92.618000,24359.3,40.0,POWER_PYLON
11.900000,92.620000,24271.8,40.0,POWER_PYLON
11.900000,92.622000,24186.0,40.0,POWER_PYLON
11.900000,92.624000,24101.8,40.0,POWER_PYLON
11.900000,92.626000,24019.3,40.0,POWER_PYLON
11.900000,92.628000,23938.5,40.0,POWER_PYLON
11.900000,92.630000,23859.4,40.0,POWER_PYLON
11.900000,92.632000,23782.0,40.0,POWER_PYLON
11.900000,92.634000,23706.5,40.0,POWER_PYLON
11.900000,92.636000,23632.6,40.0,POWER_PYLON
11.900000,92.638000,23560.6,40.0,POWER_PYLON
11.900000,92.640000,23490.4,40.0,POWER_PYLON
11.900000,92.642000,23422.0,40.0,POWER_PYLON
11.900000,92.644000,23355.4,40.0,POWER_PYLON
11.900000,92.646000,23290.7,40.0,POWER_PYLON
11.900000,92.648000,23227.8,40.0,POWER_PYLON
11.900000,92.650000,23166.8,40.0,POWER_PYLON
11.900000,92.652000,23107.7,40.0,POWER_PYLON
11.900000,92.654000,23050.6,40.0,POWER_PYLON
11.900000,92.656000,22995.3,40.0,POWER_PYLON
11.900000,92.658000,22942.0,40.0,POWER_PYLON
11.900000,92.660000,22890.7,40.0,POWER_PYLON
11.900000,92.662000,22841.3,40.0,POWER_PYLON
11.900000,92.664000,22793.9,40.0,POWER_PYLON
11.900000,92.666000,22748.5,40.0,POWER_PYLON
11.900000,92.668000,22705.1,40.0,POWER_PYLON
11.900000,92.670000,22663.7,40.0,POWER_PYLON
11.900000,92.672000,22624.3,40.0,POWER_PYLON
11.900000,92.674000,22587.0,40.0,POWER_PYLON
11.900000,92.676000,22551.7,40.0,POWER_PYLON
11.900000,92.678000,22518.5,40.0,POWER_PYLON
11.900000,92.680000,22487.3,40.0,POWER_PYLON
11.900000,92.682000,22458.2,40.0,POWER_PYLON
11.900000,92.684000,22431.2,40.0,POWER_PYLON
11.900000,92.686000,22406.3,40.0,POWER_PYLON
11.900000,92.688000,22383.5,40.0,POWER_PYLON
11.900000,92.690000,22362.7,40.0,POWER_PYLON
11.900000,92.692000,22344.1,40.0,POWER_PYLON
11.900000,92.694000,22327.6,40.0,POWER_PYLON
11.900000,92.696000,22313.3,40.0,POWER_PYLON
11.900000,92.698000,22301.0,40.0,POWER_PYLON
11.900000,92.700000,22290.9,40.0,POWER_PYLON
11.900000,92.702000,22282.9,40.0,POWER_PYLON
11.900000,92.704000,22277.0,40.0,POWER_PYLON
11.900000,92.706000,22273.3,40.0,POWER_PYLON
11.900000,92.708000,22271.7,40.0,POWER_PYLON
11.900000,92.710000,22272.2,40.0,POWER_PYLON
11.900000,92.712000,22274.9,40.0,POWER_PYLON
11.900000,92.714000,22279.7,40.0,POWER_PYLON
11.900000,92.716000,22286.6,40.0,POWER_PYLON
11.900000,92.718000,22295.7,40.0,POWER_PYLON
11.900000,92.720000,22306.9,40.0,POWER_PYLON
11.900000,92.722000,22320.2,40.0,POWER_PYLON
11.900000,92.724000,22335.7,40.0,POWER_PYLON
