lat,lon,elev_m,slope_deg,roughness_m,surface_type
11.900000,92.500000,0.00,0.000,0.00,flat
11.900000,92.502000,0.00,0.000,0.00,flat
11.900000,92.504000,0.00,0.000,0.00,flat
11.900000,92.506000,0.00,0.000,0.00,flat
11.900000,92.508000,0.00,0.000,0.00,flat
11.900000,92.510000,0.00,0.000,0.00,flat
11.900000,92.512000,0.00,0.000,0.00,flat
11.900000,92.514000,0.00,0.000,0.00,flat
11.900000,92.516000,0.00,0.000,0.00,flat
11.900000,92.518000,0.00,0.237,0.88,flat
11.900000,92.520000,1.81,0.526,1.69,flat
11.900000,92.522000,3.99,0.583,1.86,flat
11.900000,92.524000,6.17,0.597,1.87,flat
11.900000,92.526000,8.35,0.616,1.89,flat
11.900000,92.528000,10.53,0.641,1.92,flat
11.900000,92.530000,12.71,0.669,1.95,flat
11.900000,92.532000,14.89,0.702,1.99,flat
11.900000,92.534000,17.07,0.738,2.03,flat
11.900000,92.536000,19.25,0.947,2.67,flat
11.900000,92.538000,23.07,1.234,3.59,flat
11.900000,92.540000,27.76,1.325,3.90,flat
11.900000,92.542000,32.45,1.312,3.88,flat
11.900000,92.544000,37.14,1.301,3.87,flat
11.900000,92.546000,41.83,1.290,3.86,flat
11.900000,92.548000,46.52,1.280,3.85,flat
11.900000,92.550000,51.20,1.271,3.84,flat
11.900000,92.552000,55.89,1.263,3.83,flat
11.900000,92.554000,60.58,0.846,2.63,flat
11.900000,92.556000,62.05,0.227,0.93,flat
11.900000,92.558000,60.09,0.550,1.67,flat
11.900000,92.560000,58.13,0.542,1.66,flat
11.900000,92.562000,56.16,0.535,1.65,flat
11.900000,92.564000,54.20,0.529,1.64,flat
11.900000,92.566000,52.24,0.524,1.64,flat
11.900000,92.568000,50.28,0.520,1.63,flat
11.900000,92.570000,48.31,0.517,1.63,flat
11.900000,92.572000,46.35,0.636,2.01,flat
11.900000,92.574000,43.47,1.023,3.20,flat
11.900000,92.576000,38.56,1.289,3.98,flat
11.900000,92.578000,33.66,1.291,3.98,flat
11.900000,92.580000,28.75,1.292,3.98,flat
11.900000,92.582000,23.85,1.295,3.98,flat
11.900000,92.584000,18.94,1.298,3.99,flat
11.900000,92.586000,14.03,1.301,3.99,flat
11.900000,92.588000,9.13,1.305,3.99,flat
11.900000,92.590000,4.22,1.221,3.73,flat
11.900000,92.592000,0.00,0.610,2.03,flat
11.900000,92.594000,0.00,0.226,0.42,flat
11.900000,92.596000,0.00,0.198,0.37,flat
11.900000,92.598000,0.00,0.170,0.31,flat
11.900000,92.600000,0.00,0.141,0.26,flat
11.900000,92.602000,0.00,0.113,0.21,flat
11.900000,92.604000,0.00,0.085,0.16,flat
11.900000,92.606000,0.00,0.057,0.12,flat
11.900000,92.608000,0.00,0.029,0.07,flat
11.900000,92.610000,0.00,0.956,3.54,flat
11.900000,92.612000,7.28,1.953,6.26,flat
11.900000,92.614000,14.80,2.012,6.39,flat
11.900000,92.616000,22.33,2.058,6.44,flat
11.900000,92.618000,29.85,2.120,6.51,flat
11.900000,92.620000,37.37,2.197,6.59,flat
11.900000,92.622000,44.89,2.289,6.70,flat
11.900000,92.624000,52.42,2.392,6.82,flat
11.900000,92.626000,59.94,2.506,6.95,flat
11.900000,92.628000,67.46,3.126,8.90,flat
11.900000,92.630000,79.76,3.861,11.19,flat
11.900000,92.632000,93.27,4.051,11.71,flat
11.900000,92.634000,106.79,4.102,11.77,flat
11.900000,92.636000,120.31,4.154,11.83,flat
11.900000,92.638000,133.83,4.208,11.90,flat
11.900000,92.640000,147.35,4.264,11.97,flat
11.900000,92.642000,160.87,4.322,12.04,flat
11.900000,92.644000,174.39,4.382,12.11,flat
11.900000,92.646000,187.91,3.199,7.89,flat
11.900000,92.648000,187.70,2.717,6.23,flat
11.900000,92.650000,179.19,3.035,8.31,flat
11.900000,92.652000,170.69,2.774,7.99,flat
11.900000,92.654000,162.19,2.553,7.74,flat
11.900000,92.656000,153.68,2.382,7.56,flat
11.900000,92.658000,145.18,2.273,7.44,flat
11.900000,92.660000,136.67,2.233,7.40,flat
11.900000,92.662000,128.17,2.268,7.44,flat
11.900000,92.664000,119.66,2.259,6.97,flat
11.900000,92.666000,112.10,2.051,5.82,flat
11.900000,92.668000,105.66,1.806,5.12,flat
11.900000,92.670000,99.23,1.729,5.03,flat
11.900000,92.672000,92.80,1.692,4.98,flat
11.900000,92.674000,86.37,1.699,4.99,flat
11.900000,92.676000,79.93,1.749,5.05,flat
11.900000,92.678000,73.50,1.837,5.15,flat
11.900000,92.680000,67.07,1.960,5.30,flat
11.900000,92.682000,60.64,2.050,5.30,flat
11.900000,92.684000,54.78,1.968,4.82,flat
11.900000,92.686000,50.42,1.782,4.42,flat
11.900000,92.688000,46.06,1.725,4.34,flat
11.900000,92.690000,41.70,1.670,4.27,flat
11.900000,92.692000,37.34,1.616,4.20,flat
11.900000,92.694000,32.98,1.564,4.13,flat
11.900000,92.696000,28.62,1.514,4.07,flat
11.900000,92.698000,24.25,1.466,4.01,flat
11.900000,92.700000,19.89,1.381,3.81,flat
11.900000,92.702000,15.91,0.997,2.60,flat
11.900000,92.704000,15.03,0.727,1.50,flat
11.900000,92.706000,14.16,0.657,1.38,flat
11.900000,92.708000,13.29,0.587,1.27,flat
11.900000,92.710000,12.42,0.519,1.17,flat
11.900000,92.712000,11.55,0.453,1.07,flat
11.900000,92.714000,10.67,0.390,0.99,flat
11.900000,92.716000,9.80,0.332,0.91,flat
11.900000,92.718000,8.93,0.283,0.86,flat
11.900000,92.720000,8.06,0.741,2.74,flat
11.900000,92.722000,14.53,1.769,5.30,flat
11.900000,92.724000,21.50,1.857,5.52,flat
11.900000,92.726000,28.48,1.900,5.57,flat
11.900000,92.728000,35.46,1.962,5.64,flat
11.900000,92.730000,42.44,2.042,5.74,flat
