name,category,lat,lon,height_m
Mobile tower,TOWER,18.512276,73.808374,30.0
Pylon 2237582084,POWER_PYLON,18.485642,73.830244,40.0
Pylon 2237582088,POWER_PYLON,18.487191,73.831274,40.0
Pylon 2237582090,POWER_PYLON,18.499547,73.815286,40.0
Pylon 2237582093,POWER_PYLON,18.502298,73.814079,40.0
Pylon 2242380189,POWER_PYLON,18.435900,73.859179,40.0
Pylon 2242380194,POWER_PYLON,18.436329,73.857962,40.0
Pylon 2242380197,POWER_PYLON,18.437103,73.855720,40.0
Pylon 2242380202,POWER_PYLON,18.437844,73.853599,40.0
Pylon 2242380206,POWER_PYLON,18.438856,73.850801,40.0
Pylon 2242380212,POWER_PYLON,18.439439,73.849045,40.0
Pylon 2242380215,POWER_PYLON,18.441797,73.845663,40.0
Pylon 2242380220,POWER_PYLON,18.444427,73.841979,40.0
Pylon 2242380224,POWER_PYLON,18.446104,73.839590,40.0
Pylon 2242380228,POWER_PYLON,18.448170,73.836651,40.0
Pylon 2242380232,POWER_PYLON,18.450083,73.833927,40.0
Pylon 2242380241,POWER_PYLON,18.451547,73.831797,40.0
Pylon 2242380244,POWER_PYLON,18.451868,73.831370,40.0
Pylon 2242380249,POWER_PYLON,18.455271,73.831922,40.0
Pylon 2242380253,POWER_PYLON,18.458446,73.832083,40.0
Pylon 2242380266,POWER_PYLON,18.462064,73.832294,40.0
Pylon 2242380268,POWER_PYLON,18.464540,73.832413,40.0
Pylon 2242380271,POWER_PYLON,18.465279,73.842095,40.0
Pylon 2242380273,POWER_PYLON,18.466440,73.839366,40.0
Pylon 2242380276,POWER_PYLON,18.467251,73.832552,40.0
Pylon 2242380278,POWER_PYLON,18.468270,73.837612,40.0
Pylon 2242380281,POWER_PYLON,18.469831,73.832684,40.0
Pylon 2242380284,POWER_PYLON,18.470716,73.835225,40.0
Pylon 2242380286,POWER_PYLON,18.472064,73.832801,40.0
Pylon 2242380288,POWER_PYLON,18.473734,73.832284,40.0
Pylon 2242380291,POWER_PYLON,18.474965,73.831106,40.0
Pylon 2242380293,POWER_PYLON,18.476662,73.829452,40.0
Pylon 2242380296,POWER_PYLON,18.477557,73.833665,40.0
Pylon 2242380298,POWER_PYLON,18.479112,73.827065,40.0
Pylon 2242380301,POWER_PYLON,18.480308,73.833204,40.0
Pylon 2242380304,POWER_PYLON,18.481113,73.825144,40.0
Pylon 2242380307,POWER_PYLON,18.482046,73.832187,40.0
Pylon 2242380309,POWER_PYLON,18.483509,73.822884,40.0
Pylon 2242380311,POWER_PYLON,18.484075,73.831022,40.0
Pylon 2242380314,POWER_PYLON,18.486446,73.821507,40.0
Pylon 2242380316,POWER_PYLON,18.489194,73.820230,40.0
Pylon 2242380318,POWER_PYLON,18.491934,73.818936,40.0
Pylon 2242380321,POWER_PYLON,18.494305,73.817816,40.0
Pylon 2242380324,POWER_PYLON,18.496544,73.816735,40.0
Pylon 2242380327,POWER_PYLON,18.505231,73.812780,40.0
