lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
18.800000,73.700000,248.6,40.0,POWER_PYLON
18.800000,73.702000,232.1,40.0,POWER_PYLON
18.800000,73.704000,173.2,40.0,POWER_PYLON
18.800000,73.706000,254.9,40.0,POWER_PYLON
18.800000,73.708000,221.7,40.0,POWER_PYLON
18.800000,73.710000,267.1,40.0,POWER_PYLON
18.800000,73.712000,287.4,40.0,POWER_PYLON
18.800000,73.714000,276.6,40.0,POWER_PYLON
18.800000,73.716000,99.4,40.0,POWER_PYLON
18.800000,73.718000,92.6,40.0,POWER_PYLON
18.800000,73.720000,167.7,40.0,POWER_PYLON
18.800000,73.722000,316.3,40.0,POWER_PYLON
18.800000,73.724000,392.7,40.0,POWER_PYLON
18.800000,73.726000,466.6,40.0,POWER_PYLON
18.800000,73.728000,550.1,40.0,POWER_PYLON
18.800000,73.730000,621.6,40.0,POWER_PYLON
18.800000,73.732000,716.4,40.0,POWER_PYLON
18.800000,73.734000,781.7,40.0,POWER_PYLON
18.800000,73.736000,878.2,40.0,POWER_PYLON
18.800000,73.738000,936.8,40.0,POWER_PYLON
18.800000,73.740000,1035.9,40.0,POWER_PYLON
18.800000,73.742000,1096.6,40.0,POWER_PYLON
18.800000,73.744000,1185.5,40.0,POWER_PYLON
18.800000,73.746000,1257.4,40.0,POWER_PYLON
18.800000,73.748000,1248.9,30.0,TOWER
18.800000,73.750000,1077.2,30.0,TOWER
18.800000,73.752000,922.1,30.0,TOWER
18.800000,73.754000,793.2,30.0,TOWER
18.800000,73.756000,705.2,30.0,TOWER
18.800000,73.758000,674.2,30.0,TOWER
18.800000,73.760000,707.7,30.0,TOWER
18.800000,73.762000,785.5,30.0,TOWER
18.800000,73.764000,866.4,30.0,TOWER
18.800000,73.766000,875.7,30.0,TOWER
18.800000,73.768000,772.2,30.0,TOWER
18.800000,73.770000,717.6,30.0,TOWER
18.800000,73.772000,721.0,30.0,TOWER
18.800000,73.774000,772.2,30.0,TOWER
18.800000,73.776000,872.9,30.0,TOWER
18.800000,73.778000,1008.3,30.0,TOWER
18.800000,73.780000,1166.4,30.0,TOWER
18.800000,73.782000,1339.2,30.0,TOWER
18.800000,73.784000,1514.2,30.0,TOWER
18.800000,73.786000,1684.8,30.0,TOWER
18.800000,73.788000,1863.0,30.0,TOWER
18.800000,73.790000,2031.4,30.0,TOWER
18.800000,73.792000,2207.2,30.0,TOWER
18.800000,73.794000,2388.7,30.0,TOWER
18.800000,73.796000,2509.5,40.0,POWER_PYLON
18.800000,73.798000,2538.6,40.0,POWER_PYLON
18.800000,73.800000,2584.5,40.0,POWER_PYLON
18.800000,73.802000,2646.6,40.0,POWER_PYLON
18.800000,73.804000,2663.9,40.0,POWER_PYLON
18.800000,73.806000,2650.7,40.0,POWER_PYLON
18.800000,73.808000,2620.1,40.0,POWER_PYLON
18.800000,73.810000,2593.9,40.0,POWER_PYLON
18.800000,73.812000,2561.8,40.0,POWER_PYLON
18.800000,73.814000,2539.1,40.0,POWER_PYLON
18.800000,73.816000,2503.4,40.0,POWER_PYLON
18.800000,73.818000,2402.8,40.0,POWER_PYLON
18.800000,73.820000,2290.2,40.0,POWER_PYLON
18.800000,73.822000,2190.9,40.0,POWER_PYLON
18.800000,73.824000,2089.3,40.0,POWER_PYLON
18.800000,73.826000,1976.1,40.0,POWER_PYLON
18.800000,73.828000,1844.1,40.0,POWER_PYLON
18.800000,73.830000,1727.9,40.0,POWER_PYLON
18.800000,73.832000,1630.9,40.0,POWER_PYLON
18.800000,73.834000,1556.7,40.0,POWER_PYLON
18.800000,73.836000,1508.5,40.0,POWER_PYLON
18.800000,73.838000,1489.0,40.0,POWER_PYLON
18.800000,73.840000,1499.2,40.0,POWER_PYLON
18.800000,73.842000,1538.6,40.0,POWER_PYLON
18.800000,73.844000,1587.3,40.0,POWER_PYLON
18.800000,73.846000,1465.5,40.0,POWER_PYLON
18.800000,73.848000,1302.7,40.0,POWER_PYLON
18.800000,73.850000,1145.3,40.0,POWER_PYLON
18.800000,73.852000,967.1,40.0,POWER_PYLON
18.800000,73.854000,805.0,40.0,POWER_PYLON
18.800000,73.856000,670.6,40.0,POWER_PYLON
18.800000,73.858000,488.5,40.0,POWER_PYLON
18.800000,73.860000,297.9,40.0,POWER_PYLON
18.800000,73.862000,167.1,40.0,POWER_PYLON
18.800000,73.864000,237.1,40.0,POWER_PYLON
18.800000,73.866000,416.7,40.0,POWER_PYLON
18.800000,73.868000,616.6,40.0,POWER_PYLON
18.800000,73.870000,600.3,45.0,RELIGIOUS_STRUCTURE
18.800000,73.872000,422.9,45.0,RELIGIOUS_STRUCTURE
18.800000,73.874000,294.2,45.0,RELIGIOUS_STRUCTURE
18.800000,73.876000,288.7,45.0,RELIGIOUS_STRUCTURE
18.800000,73.878000,411.3,45.0,RELIGIOUS_STRUCTURE
18.800000,73.880000,586.7,45.0,RELIGIOUS_STRUCTURE
18.800000,73.882000,779.9,45.0,RELIGIOUS_STRUCTURE
