lat,lon,elev_m,slope_deg,roughness_m,surface_type
18.800000,73.700000,654.00,1.480,2.53,flat
18.800000,73.702000,655.37,1.244,2.37,flat
18.800000,73.704000,656.74,1.013,1.96,flat
18.800000,73.706000,658.12,0.791,1.58,flat
18.800000,73.708000,659.49,0.586,1.25,flat
18.800000,73.710000,660.86,0.427,1.01,flat
18.800000,73.712000,662.23,0.374,0.94,flat
18.800000,73.714000,663.60,0.467,1.07,flat
18.800000,73.716000,664.98,0.645,1.34,flat
18.800000,73.718000,666.35,0.860,1.67,flat
18.800000,73.720000,667.78,0.982,1.94,flat
18.800000,73.722000,669.25,1.004,2.06,flat
18.800000,73.724000,670.73,1.023,2.09,flat
18.800000,73.726000,672.21,1.043,2.12,flat
18.800000,73.728000,673.69,1.062,2.16,flat
18.800000,73.730000,675.16,1.082,2.19,flat
18.800000,73.732000,676.64,1.102,2.22,flat
18.800000,73.734000,678.12,1.121,2.25,flat
18.800000,73.736000,679.60,1.171,2.43,flat
18.800000,73.738000,681.65,2.358,6.96,flat
18.800000,73.740000,694.95,3.877,10.85,flat
18.800000,73.742000,708.25,4.008,11.01,flat
18.800000,73.744000,721.55,4.161,11.19,flat
18.800000,73.746000,734.84,4.332,11.41,flat
18.800000,73.748000,748.14,4.521,11.66,flat
18.800000,73.750000,761.44,4.724,11.93,flat
18.800000,73.752000,774.74,4.940,12.22,flat
18.800000,73.754000,788.04,5.167,12.53,rolling
18.800000,73.756000,801.33,4.327,9.16,flat
18.800000,73.758000,799.55,4.424,9.47,flat
18.800000,73.760000,786.57,4.992,12.10,flat
18.800000,73.762000,773.59,4.719,11.72,flat
18.800000,73.764000,760.61,4.465,11.38,flat
18.800000,73.766000,747.63,4.232,11.07,flat
18.800000,73.768000,734.65,4.025,10.81,flat
18.800000,73.770000,721.67,3.847,10.59,flat
18.800000,73.772000,708.68,3.705,10.41,flat
18.800000,73.774000,695.70,3.471,9.91,flat
18.800000,73.776000,683.70,2.081,6.32,flat
18.800000,73.778000,680.64,0.885,2.47,flat
18.800000,73.780000,677.58,0.859,2.44,flat
18.800000,73.782000,674.52,0.841,2.42,flat
18.800000,73.784000,671.46,0.832,2.41,flat
18.800000,73.786000,668.40,0.832,2.41,flat
18.800000,73.788000,665.34,0.841,2.42,flat
18.800000,73.790000,662.27,0.860,2.44,flat
18.800000,73.792000,659.21,0.886,2.48,flat
18.800000,73.794000,656.15,0.578,1.55,flat
18.800000,73.796000,656.12,0.464,1.07,flat
18.800000,73.798000,657.91,0.598,1.55,flat
18.800000,73.800000,659.71,0.569,1.51,flat
18.800000,73.802000,661.50,0.544,1.48,flat
18.800000,73.804000,663.29,0.524,1.46,flat
18.800000,73.806000,665.09,0.507,1.44,flat
18.800000,73.808000,666.88,0.495,1.42,flat
18.800000,73.810000,668.68,0.488,1.41,flat
18.800000,73.812000,670.47,0.352,1.04,flat
18.800000,73.814000,671.27,0.567,2.12,flat
18.800000,73.816000,666.31,1.347,3.95,flat
18.800000,73.818000,661.35,1.355,3.96,flat
18.800000,73.820000,656.39,1.369,3.98,flat
18.800000,73.822000,651.43,1.389,4.00,flat
18.800000,73.824000,646.47,1.416,4.03,flat
18.800000,73.826000,641.51,1.449,4.07,flat
18.800000,73.828000,636.55,1.488,4.12,flat
18.800000,73.830000,631.59,1.532,4.17,flat
18.800000,73.832000,626.63,1.268,3.26,flat
18.800000,73.834000,624.50,0.917,1.94,flat
18.800000,73.836000,623.76,0.814,1.58,flat
18.800000,73.838000,623.03,0.773,1.51,flat
18.800000,73.840000,622.29,0.732,1.44,flat
18.800000,73.842000,621.55,0.691,1.38,flat
18.800000,73.844000,620.81,0.651,1.31,flat
18.800000,73.846000,620.07,0.611,1.24,flat
18.800000,73.848000,619.33,0.571,1.18,flat
18.800000,73.850000,618.59,0.549,1.19,flat
18.800000,73.852000,617.54,0.649,1.66,flat
18.800000,73.854000,615.22,0.788,2.07,flat
18.800000,73.856000,612.90,0.795,2.08,flat
18.800000,73.858000,610.58,0.803,2.09,flat
18.800000,73.860000,608.26,0.810,2.10,flat
18.800000,73.862000,605.93,0.818,2.11,flat
18.800000,73.864000,603.61,0.826,2.12,flat
18.800000,73.866000,601.29,0.833,2.13,flat
18.800000,73.868000,598.97,0.841,2.14,flat
18.800000,73.870000,596.65,0.698,1.63,flat
18.800000,73.872000,596.00,0.517,1.00,flat
18.800000,73.874000,596.00,0.422,0.79,flat
18.800000,73.876000,596.00,0.334,0.63,flat
18.800000,73.878000,596.00,0.247,0.48,flat
18.800000,73.880000,596.00,0.159,0.33,flat
18.800000,73.882000,596.00,0.071,0.21,flat
18.800000,73.884000,596.00,0.016,0.16,flat
18.800000,73.886000,596.00,0.104,0.25,flat
18.800000,73.888000,596.00,0.196,0.40,flat
18.800000,73.890000,595.71,0.310,0.71,flat
18.800000,73.892000,594.55,0.357,0.93,flat
18.800000,73.894000,593.39,0.329,0.89,flat
18.800000,73.896000,592.23,0.316,0.88,flat
18.800000,73.898000,591.07,0.319,0.88,flat
18.800000,73.900000,589.91,0.338,0.91,flat
18.800000,73.902000,588.75,0.371,0.95,flat
18.800000,73.904000,587.59,0.414,1.01,flat
18.800000,73.906000,586.43,0.464,1.08,flat
18.800000,73.908000,585.27,0.456,0.92,flat
18.800000,73.910000,585.00,0.415,0.76,flat
18.800000,73.912000,585.00,0.392,0.72,flat
18.800000,73.914000,585.00,0.371,0.68,flat
18.800000,73.916000,585.00,0.350,0.64,flat
18.800000,73.918000,585.00,0.329,0.60,flat
18.800000,73.920000,585.00,0.308,0.56,flat
18.800000,73.922000,585.00,0.286,0.53,flat
18.800000,73.924000,585.00,0.265,0.49,flat
18.800000,73.926000,585.00,0.268,0.58,flat
18.800000,73.928000,585.81,0.531,1.55,flat
18.800000,73.930000,588.55,0.772,2.25,flat
18.800000,73.932000,591.30,0.766,2.24,flat
18.800000,73.934000,594.04,0.762,2.24,flat
18.800000,73.936000,596.79,0.758,2.23,flat
18.800000,73.938000,599.53,0.754,2.23,flat
18.800000,73.940000,602.27,0.751,2.23,flat
18.800000,73.942000,605.02,0.749,2.22,flat
18.800000,73.944000,607.76,0.747,2.22,flat
18.800000,73.946000,610.51,1.015,3.00,flat
18.800000,73.948000,615.24,1.349,3.89,flat
18.800000,73.950000,620.41,1.432,4.08,flat
18.800000,73.952000,625.58,1.476,4.13,flat
18.800000,73.954000,630.75,1.538,4.21,flat
18.800000,73.956000,635.93,1.616,4.31,flat
18.800000,73.958000,641.10,1.708,4.42,flat
18.800000,73.960000,646.27,1.812,4.56,flat
18.800000,73.962000,651.44,1.925,4.71,flat
18.800000,73.964000,656.61,1.896,4.34,flat
18.800000,73.966000,660.07,1.651,3.24,flat
18.800000,73.968000,660.28,1.487,2.74,flat
18.800000,73.970000,660.49,1.400,2.58,flat
18.800000,73.972000,660.71,1.312,2.42,flat
18.800000,73.974000,660.92,1.225,2.26,flat
18.800000,73.976000,661.13,1.137,2.10,flat
18.800000,73.978000,661.34,1.049,1.94,flat
18.800000,73.980000,661.55,0.962,1.78,flat
18.800000,73.982000,661.76,0.874,1.63,flat
18.800000,73.984000,661.97,1.293,3.86,flat
18.800000,73.986000,669.34,2.274,6.63,flat
18.800000,73.988000,677.78,2.407,7.04,flat
18.800000,73.990000,686.22,2.401,7.04,flat
18.800000,73.992000,694.67,2.396,7.03,flat
18.800000,73.994000,703.11,2.391,7.03,flat
18.800000,73.996000,711.55,2.386,7.02,flat
18.800000,73.998000,720.00,2.381,7.01,flat
18.800000,74.000000,728.44,2.376,7.01,flat
18.800000,74.002000,736.88,1.865,5.49,flat
18.800000,74.004000,741.42,0.778,2.24,flat
18.800000,74.006000,739.94,0.895,2.01,flat
18.800000,74.008000,738.46,1.023,2.20,flat
18.800000,74.010000,736.99,1.156,2.41,flat
18.800000,74.012000,735.51,1.290,2.63,flat
18.800000,74.014000,734.03,1.425,2.86,flat
18.800000,74.016000,732.55,1.562,3.09,flat
18.800000,74.018000,731.08,1.700,3.32,flat
18.800000,74.020000,729.60,1.838,3.56,flat
18.800000,74.022000,728.12,2.329,5.33,flat
18.800000,74.024000,720.05,2.869,7.37,flat
18.800000,74.026000,711.40,2.814,7.42,flat
18.800000,74.028000,702.74,2.706,7.29,flat
18.800000,74.030000,694.09,2.610,7.17,flat
18.800000,74.032000,685.44,2.527,7.07,flat
18.800000,74.034000,676.78,2.459,6.99,flat
18.800000,74.036000,668.13,2.406,6.92,flat
18.800000,74.038000,659.47,2.369,6.88,flat
18.800000,74.040000,650.82,1.743,5.20,flat
18.800000,74.042000,646.65,0.367,1.70,flat
18.800000,74.044000,648.13,0.419,1.15,flat
18.800000,74.046000,649.61,0.451,1.19,flat
18.800000,74.048000,651.09,0.496,1.24,flat
18.800000,74.050000,652.56,0.550,1.32,flat
18.800000,74.052000,654.04,0.611,1.41,flat
18.800000,74.054000,655.52,0.677,1.50,flat
18.800000,74.056000,657.00,0.747,1.61,flat
18.800000,74.058000,658.47,0.820,1.73,flat
18.800000,74.060000,659.95,0.855,1.66,flat
18.800000,74.062000,660.71,0.808,1.56,flat
18.800000,74.064000,661.45,0.786,1.53,flat
18.800000,74.066000,662.19,0.766,1.49,flat
18.800000,74.068000,662.93,0.746,1.46,flat
18.800000,74.070000,663.67,0.725,1.42,flat
18.800000,74.072000,664.41,0.705,1.39,flat
18.800000,74.074000,665.15,0.685,1.35,flat
18.800000,74.076000,665.89,0.664,1.32,flat
18.800000,74.078000,666.62,0.612,1.17,flat
18.800000,74.080000,665.91,0.703,1.60,flat
18.800000,74.082000,663.69,0.804,2.02,flat
18.800000,74.084000,661.48,0.775,1.98,flat
18.800000,74.086000,659.26,0.747,1.94,flat
18.800000,74.088000,657.04,0.721,1.91,flat
18.800000,74.090000,654.83,0.697,1.88,flat
18.800000,74.092000,652.61,0.675,1.85,flat
18.800000,74.094000,650.40,0.656,1.83,flat
18.800000,74.096000,648.18,0.628,1.77,flat
18.800000,74.098000,646.05,0.215,1.29,flat
18.800000,74.100000,649.11,0.883,2.44,flat
18.800000,74.102000,652.17,0.932,2.50,flat
18.800000,74.104000,655.23,0.994,2.58,flat
18.800000,74.106000,658.29,1.067,2.67,flat
18.800000,74.108000,661.35,1.149,2.78,flat
18.800000,74.110000,664.41,1.238,2.91,flat
18.800000,74.112000,667.48,1.332,3.05,flat
18.800000,74.114000,670.54,1.431,3.19,flat
18.800000,74.116000,673.60,1.390,2.79,flat
18.800000,74.118000,674.37,1.323,2.42,flat
