lat,lon,elev_m,slope_deg,roughness_m,surface_type
34.300000,74.500000,1579.00,0.327,0.59,flat
34.300000,74.502000,1578.72,0.329,0.62,flat
34.300000,74.504000,1578.45,0.332,0.63,flat
34.300000,74.506000,1578.17,0.334,0.63,flat
34.300000,74.508000,1577.89,0.337,0.64,flat
34.300000,74.510000,1577.62,0.339,0.64,flat
34.300000,74.512000,1577.34,0.342,0.65,flat
34.300000,74.514000,1577.06,0.345,0.65,flat
34.300000,74.516000,1576.79,0.347,0.66,flat
34.300000,74.518000,1576.51,0.350,0.66,flat
34.300000,74.520000,1576.23,0.351,0.66,flat
34.300000,74.522000,1576.00,0.341,0.62,flat
34.300000,74.524000,1576.00,0.307,0.57,flat
34.300000,74.526000,1576.00,0.275,0.51,flat
34.300000,74.528000,1576.00,0.244,0.45,flat
34.300000,74.530000,1576.00,0.212,0.39,flat
34.300000,74.532000,1576.00,0.180,0.34,flat
34.300000,74.534000,1576.00,0.149,0.28,flat
34.300000,74.536000,1576.00,0.117,0.22,flat
34.300000,74.538000,1576.00,0.085,0.17,flat
34.300000,74.540000,1576.00,0.053,0.11,flat
34.300000,74.542000,1576.00,0.038,0.09,flat
34.300000,74.544000,1576.20,0.132,0.34,flat
34.300000,74.546000,1576.85,0.201,0.51,flat
34.300000,74.548000,1577.50,0.203,0.52,flat
34.300000,74.550000,1578.14,0.205,0.52,flat
34.300000,74.552000,1578.79,0.208,0.52,flat
34.300000,74.554000,1579.43,0.212,0.53,flat
34.300000,74.556000,1580.08,0.217,0.54,flat
34.300000,74.558000,1580.72,0.223,0.54,flat
34.300000,74.560000,1581.37,0.229,0.55,flat
34.300000,74.562000,1582.01,0.235,0.56,flat
34.300000,74.564000,1582.66,0.186,0.42,flat
34.300000,74.566000,1582.83,0.141,0.28,flat
34.300000,74.568000,1582.46,0.169,0.37,flat
34.300000,74.570000,1582.09,0.159,0.35,flat
34.300000,74.572000,1581.72,0.150,0.34,flat
34.300000,74.574000,1581.35,0.142,0.33,flat
34.300000,74.576000,1580.98,0.135,0.32,flat
34.300000,74.578000,1580.61,0.128,0.31,flat
34.300000,74.580000,1580.24,0.123,0.30,flat
34.300000,74.582000,1579.87,0.119,0.29,flat
34.300000,74.584000,1579.50,0.116,0.29,flat
34.300000,74.586000,1579.14,0.051,0.16,flat
34.300000,74.588000,1579.17,0.049,0.14,flat
34.300000,74.590000,1579.45,0.086,0.22,flat
34.300000,74.592000,1579.73,0.087,0.22,flat
34.300000,74.594000,1580.01,0.088,0.22,flat
34.300000,74.596000,1580.28,0.089,0.22,flat
34.300000,74.598000,1580.56,0.091,0.23,flat
34.300000,74.600000,1580.84,0.093,0.23,flat
34.300000,74.602000,1581.11,0.095,0.23,flat
34.300000,74.604000,1581.39,0.097,0.24,flat
34.300000,74.606000,1581.67,0.100,0.24,flat
34.300000,74.608000,1581.94,0.103,0.24,flat
34.300000,74.610000,1582.22,0.107,0.25,flat
34.300000,74.612000,1582.50,0.112,0.25,flat
34.300000,74.614000,1582.77,0.117,0.26,flat
34.300000,74.616000,1583.05,0.123,0.27,flat
34.300000,74.618000,1583.33,0.128,0.28,flat
34.300000,74.620000,1583.60,0.134,0.29,flat
34.300000,74.622000,1583.88,0.140,0.30,flat
34.300000,74.624000,1584.16,0.147,0.31,flat
34.300000,74.626000,1584.43,0.153,0.32,flat
34.300000,74.628000,1584.71,0.160,0.33,flat
34.300000,74.630000,1584.99,0.151,0.34,flat
34.300000,74.632000,1584.39,0.232,0.55,flat
34.300000,74.634000,1583.74,0.230,0.55,flat
34.300000,74.636000,1583.10,0.223,0.54,flat
34.300000,74.638000,1582.45,0.216,0.53,flat
34.300000,74.640000,1581.81,0.211,0.52,flat
34.300000,74.642000,1581.16,0.206,0.52,flat
34.300000,74.644000,1580.51,0.203,0.51,flat
34.300000,74.646000,1579.87,0.201,0.51,flat
34.300000,74.648000,1579.22,0.201,0.51,flat
34.300000,74.650000,1578.58,0.103,0.51,flat
34.300000,74.652000,1579.88,2.950,8.39,flat
34.300000,74.654000,1597.59,5.505,14.02,rolling
