name,category,lat,lon,height_m
Pylon 2495207611,POWER_PYLON,17.590504,83.186369,40.0
Pylon 2495207618,POWER_PYLON,17.591022,83.186053,40.0
Pylon 2495207620,POWER_PYLON,17.591698,83.183942,40.0
Pylon 2495207624,POWER_PYLON,17.592212,83.183583,40.0
Pylon 2495207625,POWER_PYLON,17.592803,83.181682,40.0
Pylon 2495207626,POWER_PYLON,17.592835,83.187587,40.0
Pylon 2495207627,POWER_PYLON,17.592833,83.187000,40.0
Pylon 2495207631,POWER_PYLON,17.593459,83.181026,40.0
Pylon 2495207640,POWER_PYLON,17.593880,83.179432,40.0
Pylon 2495207649,POWER_PYLON,17.594487,83.178894,40.0
Pylon 2495207651,POWER_PYLON,17.594512,83.188464,40.0
Pylon 2495207657,POWER_PYLON,17.595069,83.176950,40.0
Pylon 2495207664,POWER_PYLON,17.595248,83.188263,40.0
Pylon 2495207667,POWER_PYLON,17.595671,83.176450,40.0
Pylon 2495207679,POWER_PYLON,17.595935,83.175189,40.0
Pylon 2495207696,POWER_PYLON,17.596868,83.173930,40.0
Pylon 2495207698,POWER_PYLON,17.596931,83.189773,40.0
Pylon 2495207702,POWER_PYLON,17.597102,83.172774,40.0
Pylon 2495207710,POWER_PYLON,17.597707,83.189578,40.0
Pylon 2495207715,POWER_PYLON,17.597984,83.170912,40.0
Pylon 2495207719,POWER_PYLON,17.597992,83.171596,40.0
Pylon 2495207741,POWER_PYLON,17.599102,83.168621,40.0
Pylon 2495207749,POWER_PYLON,17.599157,83.169213,40.0
Pylon 2495207752,POWER_PYLON,17.599359,83.191032,40.0
Pylon 2495207775,POWER_PYLON,17.600078,83.190817,40.0
Pylon 2495207784,POWER_PYLON,17.600278,83.166197,40.0
Pylon 2495207793,POWER_PYLON,17.600371,83.166694,40.0
Pylon 2495207798,POWER_PYLON,17.600830,83.194264,40.0
Pylon 2495207803,POWER_PYLON,17.601242,83.164165,40.0
Pylon 2495207810,POWER_PYLON,17.601449,83.194178,40.0
Pylon 2495207813,POWER_PYLON,17.601475,83.164437,40.0
Pylon 2495207820,POWER_PYLON,17.601768,83.192316,40.0
Pylon 2495207829,POWER_PYLON,17.602083,83.196250,40.0
Pylon 2495207838,POWER_PYLON,17.602273,83.162064,40.0
Pylon 2495207845,POWER_PYLON,17.602341,83.192033,40.0
Pylon 2495207847,POWER_PYLON,17.602484,83.162327,40.0
Pylon 2495207856,POWER_PYLON,17.602628,83.195134,40.0
Pylon 2495207863,POWER_PYLON,17.602762,83.194872,40.0
Pylon 2495207876,POWER_PYLON,17.603286,83.159929,40.0
Pylon 2495207888,POWER_PYLON,17.603473,83.160292,40.0
Pylon 2495207903,POWER_PYLON,17.604303,83.157862,40.0
Pylon 2495207911,POWER_PYLON,17.604434,83.158330,40.0
Pylon 2495208007,POWER_PYLON,17.606715,83.103049,40.0
Pylon 2495208023,POWER_PYLON,17.607045,83.105055,40.0
Pylon 2495208038,POWER_PYLON,17.607221,83.100432,40.0
Pylon 2495208045,POWER_PYLON,17.607468,83.107522,40.0
Pylon 2495208060,POWER_PYLON,17.608012,83.110686,40.0
Pylon 2495208064,POWER_PYLON,17.608144,83.103234,40.0
Pylon 2495208068,POWER_PYLON,17.608265,83.101493,40.0
Pylon 2495208079,POWER_PYLON,17.608545,83.113742,40.0
Pylon 2495208095,POWER_PYLON,17.608962,83.105626,40.0
Pylon 2495208109,POWER_PYLON,17.609067,83.116750,40.0
Pylon 2495208112,POWER_PYLON,17.609111,83.108560,40.0
Pylon 2495208117,POWER_PYLON,17.609177,83.110848,40.0
Pylon 2495208124,POWER_PYLON,17.609374,83.102501,40.0
Pylon 2495208127,POWER_PYLON,17.609446,83.105574,40.0
Pylon 2495208135,POWER_PYLON,17.609523,83.100824,40.0
Pylon 2495208144,POWER_PYLON,17.609742,83.113511,40.0
Pylon 2495208152,POWER_PYLON,17.609995,83.118883,40.0
Pylon 2495208164,POWER_PYLON,17.610253,83.107839,40.0
Pylon 2495208167,POWER_PYLON,17.610297,83.116122,40.0
Pylon 2495208172,POWER_PYLON,17.610424,83.100127,40.0
Pylon 2495208181,POWER_PYLON,17.610682,83.116416,40.0
Pylon 2495208183,POWER_PYLON,17.610742,83.114698,40.0
Pylon 2495208188,POWER_PYLON,17.610814,83.112110,40.0
Pylon 2495208196,POWER_PYLON,17.610874,83.118451,40.0
Pylon 2495208199,POWER_PYLON,17.610913,83.109730,40.0
Pylon 2495208211,POWER_PYLON,17.611083,83.102963,40.0
Pylon 2495208214,POWER_PYLON,17.611296,83.114339,40.0
Pylon 2495208217,POWER_PYLON,17.611537,83.109399,40.0
Pylon 2495208221,POWER_PYLON,17.611836,83.116191,40.0
