lat,lon,nearest_obstacle_dist_m,nearest_obstacle_height_m,obstacle_type
18.000000,83.100000,157.2,40.0,POWER_PYLON
18.000000,83.102000,228.1,40.0,POWER_PYLON
18.000000,83.104000,411.4,40.0,POWER_PYLON
18.000000,83.106000,613.5,40.0,POWER_PYLON
18.000000,83.108000,820.7,40.0,POWER_PYLON
18.000000,83.110000,1029.8,40.0,POWER_PYLON
18.000000,83.112000,1239.9,40.0,POWER_PYLON
18.000000,83.114000,1450.6,40.0,POWER_PYLON
18.000000,83.116000,1661.6,40.0,POWER_PYLON
18.000000,83.118000,1872.9,40.0,POWER_PYLON
18.000000,83.120000,2084.3,40.0,POWER_PYLON
18.000000,83.122000,2295.8,40.0,POWER_PYLON
18.000000,83.124000,2507.4,40.0,POWER_PYLON
18.000000,83.126000,2719.1,40.0,POWER_PYLON
18.000000,83.128000,2834.4,40.0,POWER_PYLON
18.000000,83.130000,2681.0,40.0,POWER_PYLON
18.000000,83.132000,2536.1,40.0,POWER_PYLON
18.000000,83.134000,2380.0,40.0,POWER_PYLON
18.000000,83.136000,2227.8,40.0,POWER_PYLON
18.000000,83.138000,2075.0,40.0,POWER_PYLON
18.000000,83.140000,1869.6,40.0,POWER_PYLON
18.000000,83.142000,1659.8,40.0,POWER_PYLON
18.000000,83.144000,1450.7,40.0,POWER_PYLON
18.000000,83.146000,1242.5,40.0,POWER_PYLON
18.000000,83.148000,1035.8,40.0,POWER_PYLON
18.000000,83.150000,831.9,40.0,POWER_PYLON
18.000000,83.152000,633.4,40.0,POWER_PYLON
18.000000,83.154000,447.4,40.0,POWER_PYLON
18.000000,83.156000,298.5,40.0,POWER_PYLON
18.000000,83.158000,260.7,40.0,POWER_PYLON
18.000000,83.160000,369.8,40.0,POWER_PYLON
18.000000,83.162000,484.3,40.0,POWER_PYLON
18.000000,83.164000,323.2,40.0,POWER_PYLON
18.000000,83.166000,253.6,40.0,POWER_PYLON
18.000000,83.168000,337.8,40.0,POWER_PYLON
18.000000,83.170000,503.8,40.0,POWER_PYLON
18.000000,83.172000,695.3,40.0,POWER_PYLON
18.000000,83.174000,896.1,40.0,POWER_PYLON
18.000000,83.176000,1101.1,40.0,POWER_PYLON
18.000000,83.178000,1308.4,40.0,POWER_PYLON
18.000000,83.180000,1516.9,40.0,POWER_PYLON
18.000000,83.182000,1726.4,40.0,POWER_PYLON
18.000000,83.184000,1846.7,40.0,POWER_PYLON
18.000000,83.186000,1637.9,40.0,POWER_PYLON
18.000000,83.188000,1430.1,40.0,POWER_PYLON
18.000000,83.190000,1223.8,40.0,POWER_PYLON
18.000000,83.192000,1019.8,40.0,POWER_PYLON
18.000000,83.194000,819.9,40.0,POWER_PYLON
18.000000,83.196000,628.0,40.0,POWER_PYLON
18.000000,83.198000,454.3,40.0,POWER_PYLON
18.000000,83.200000,329.3,40.0,POWER_PYLON
18.000000,83.202000,316.8,40.0,POWER_PYLON
18.000000,83.204000,426.8,40.0,POWER_PYLON
18.000000,83.206000,594.9,40.0,POWER_PYLON
18.000000,83.208000,784.6,40.0,POWER_PYLON
18.000000,83.210000,983.5,40.0,POWER_PYLON
18.000000,83.212000,1186.9,40.0,POWER_PYLON
18.000000,83.214000,1392.9,40.0,POWER_PYLON
18.000000,83.216000,1600.5,40.0,POWER_PYLON
18.000000,83.218000,1809.1,40.0,POWER_PYLON
18.000000,83.220000,2018.5,40.0,POWER_PYLON
18.000000,83.222000,1918.3,6.0,BUILDING
18.000000,83.224000,1734.9,6.0,BUILDING
18.000000,83.226000,1558.9,6.0,BUILDING
18.000000,83.228000,1392.9,6.0,BUILDING
18.000000,83.230000,1241.0,6.0,BUILDING
18.000000,83.232000,1101.5,9.0,BUILDING
18.000000,83.234000,984.5,30.0,TOWER
18.000000,83.236000,870.9,30.0,TOWER
18.000000,83.238000,755.0,30.0,TOWER
18.000000,83.240000,645.3,30.0,TOWER
18.000000,83.242000,593.9,30.0,TOWER
18.000000,83.244000,615.5,30.0,TOWER
18.000000,83.246000,703.6,30.0,TOWER
