lat,lon,elev_m,slope_deg,roughness_m,surface_type
18.000000,83.100000,63.00,0.576,1.05,flat
18.000000,83.102000,63.21,0.570,1.05,flat
18.000000,83.104000,63.42,0.564,1.04,flat
18.000000,83.106000,63.64,0.558,1.03,flat
18.000000,83.108000,63.85,0.552,1.02,flat
18.000000,83.110000,64.06,0.546,1.01,flat
18.000000,83.112000,64.27,0.540,1.00,flat
18.000000,83.114000,64.48,0.534,0.99,flat
18.000000,83.116000,64.70,0.527,0.97,flat
18.000000,83.118000,64.91,0.520,0.95,flat
18.000000,83.120000,65.00,0.502,0.92,flat
18.000000,83.122000,65.00,0.478,0.88,flat
18.000000,83.124000,65.00,0.453,0.83,flat
18.000000,83.126000,65.00,0.429,0.79,flat
18.000000,83.128000,65.00,0.405,0.74,flat
18.000000,83.130000,65.00,0.380,0.70,flat
18.000000,83.132000,65.00,0.356,0.65,flat
18.000000,83.134000,65.00,0.332,0.61,flat
18.000000,83.136000,65.00,0.308,0.57,flat
18.000000,83.138000,64.87,0.319,0.73,flat
18.000000,83.140000,63.92,0.365,0.93,flat
18.000000,83.142000,62.96,0.349,0.91,flat
18.000000,83.144000,62.01,0.333,0.89,flat
18.000000,83.146000,61.05,0.318,0.87,flat
18.000000,83.148000,60.10,0.304,0.86,flat
18.000000,83.150000,59.15,0.292,0.84,flat
18.000000,83.152000,58.19,0.282,0.83,flat
18.000000,83.154000,57.24,0.273,0.82,flat
18.000000,83.156000,56.28,0.170,0.53,flat
18.000000,83.158000,56.07,0.088,0.20,flat
18.000000,83.160000,56.18,0.133,0.28,flat
18.000000,83.162000,56.29,0.175,0.35,flat
18.000000,83.164000,56.39,0.217,0.42,flat
18.000000,83.166000,56.50,0.259,0.49,flat
18.000000,83.168000,56.60,0.301,0.57,flat
18.000000,83.170000,56.71,0.344,0.64,flat
18.000000,83.172000,56.82,0.386,0.72,flat
18.000000,83.174000,56.92,0.435,0.81,flat
18.000000,83.176000,57.40,0.511,1.09,flat
18.000000,83.178000,58.89,0.538,1.31,flat
18.000000,83.180000,60.37,0.489,1.24,flat
18.000000,83.182000,61.86,0.448,1.19,flat
18.000000,83.184000,63.34,0.419,1.16,flat
18.000000,83.186000,64.82,0.403,1.14,flat
18.000000,83.188000,66.31,0.403,1.14,flat
18.000000,83.190000,67.79,0.417,1.15,flat
18.000000,83.192000,69.28,0.446,1.19,flat
18.000000,83.194000,70.76,0.292,0.73,flat
18.000000,83.196000,70.02,0.374,0.91,flat
18.000000,83.198000,68.85,0.404,1.04,flat
18.000000,83.200000,67.69,0.393,1.03,flat
18.000000,83.202000,66.52,0.382,1.01,flat
18.000000,83.204000,65.36,0.372,1.00,flat
18.000000,83.206000,64.19,0.363,0.99,flat
18.000000,83.208000,63.02,0.354,0.98,flat
18.000000,83.210000,61.86,0.346,0.97,flat
18.000000,83.212000,60.69,0.345,0.97,flat
18.000000,83.214000,59.48,0.348,0.98,flat
18.000000,83.216000,58.21,0.346,0.99,flat
18.000000,83.218000,56.94,0.344,0.99,flat
18.000000,83.220000,55.67,0.349,0.99,flat
18.000000,83.222000,54.39,0.362,1.01,flat
18.000000,83.224000,53.12,0.381,1.03,flat
18.000000,83.226000,51.85,0.406,1.06,flat
18.000000,83.228000,50.58,0.436,1.10,flat
18.000000,83.230000,49.30,0.469,1.15,flat
18.000000,83.232000,48.03,0.496,1.17,flat
18.000000,83.234000,46.86,0.481,1.17,flat
18.000000,83.236000,45.70,0.474,1.16,flat
18.000000,83.238000,44.53,0.467,1.15,flat
18.000000,83.240000,43.36,0.461,1.14,flat
18.000000,83.242000,42.20,0.454,1.13,flat
18.000000,83.244000,41.03,0.448,1.12,flat
18.000000,83.246000,39.87,0.441,1.12,flat
18.000000,83.248000,38.70,0.435,1.11,flat
18.000000,83.250000,37.53,0.343,0.81,flat
18.000000,83.252000,37.35,0.267,0.53,flat
