x_km,y_km,detection_probability,threat_level
0.0,0.0,0.515876422565196,medium
0.24,0.0,0.5266792438820224,medium
0.48,0.0,0.5369299347748244,medium
0.72,0.0,0.5466035320848242,medium
0.96,0.0,0.5556779609867685,medium
1.2,0.0,0.5641339562630329,medium
1.44,0.0,0.5719549569716544,medium
1.68,0.0,0.5791269810945908,medium
1.92,0.0,0.5856384867037124,medium
2.16,0.0,0.5914802259454861,medium
2.4,0.0,0.5966450977509891,medium
2.64,0.0,0.6011280046558617,high
2.88,0.0,0.6049257184934693,high
3.12,0.0,0.6080367590292834,high
3.36,0.0,0.6104612888569926,high
3.6,0.0,0.6122010270947693,high
3.84,0.0,0.613259183617244,high
4.08,0.0,0.6136404147455814,high
4.32,0.0,0.6133508005026024,high
4.56,0.0,0.6123978427285793,high
4.8,0.0,0.6107904825520041,high
5.04,0.0,0.6085391349246663,high
5.28,0.0,0.6056557371694802,high
5.52,0.0,0.6021538077628745,high
5.76,0.0,0.5980485108948395,medium
6.0,0.0,0.5933567217372537,medium
6.24,0.0,0.5880970868293236,medium
6.48,0.0,0.582290073589723,medium
6.72,0.0,0.5759580027284494,medium
6.96,0.0,0.5691250573054274,medium
7.2,0.0,0.5618172624203125,medium
7.44,0.0,0.5540624300704913,medium
7.68,0.0,0.5458900646228099,medium
7.92,0.0,0.5373312256271809,medium
8.16,0.0,0.5284183463400276,medium
8.4,0.0,0.5191850082621263,medium
8.64,0.0,0.5096656741236174,medium
8.88,0.0,0.49989538392666355,medium
9.12,0.0,0.48990942072115096,medium
9.36,0.0,0.4797429545802624,medium
9.6,0.0,0.46943067462350563,medium
9.84,0.0,0.45900641980779994,medium
10.08,0.0,0.4485028195240829,medium
10.32,0.0,0.43795095479758495,medium
10.56,0.0,0.4273800501360412,medium
10.8,0.0,0.4168172048744797,medium
11.04,0.0,0.406287171320834,medium
11.28,0.0,0.3958121852166181,medium
11.52,0.0,0.38541185209652984,medium
11.76,0.0,0.3751030911611922,medium
12.0,0.0,0.23900172839174746,low
12.24,0.0,0.23649240362427632,low
12.48,0.0,0.23382053220346874,low
12.72,0.0,0.23098472135479342,low
12.96,0.0,0.22798396826444817,low
13.2,0.0,0.22481774543453104,low
13.44,0.0,0.2214860871379737,low
13.68,0.0,0.21798967536070588,low
13.92,0.0,0.2143299234354664,low
14.16,0.0,0.21050905540285827,low
14.4,0.0,0.2065301789939137,low
14.64,0.0,0.20239735002929052,low
14.88,0.0,0.19811562598844026,low
15.12,0.0,0.19369110653217997,low
15.36,0.0,0.18913095887667777,low
15.6,0.0,0.18444342612535353,low
15.84,0.0,0.17963781697253284,low
16.08,0.0,0.17472447559827506,low
16.32,0.0,0.16971473107057108,low
16.56,0.0,0.16462082614524043,low
16.8,0.0,0.15945582598478727,low
17.04,0.0,0.15423350797868238,low
17.28,0.0,0.1489682345078447,low
17.52,0.0,0.14367481112162253,low
17.76,0.0,0.13836833315201758,low
18.0,0.0,0.13306402424517408,low
18.24,0.0,0.12777707061690055,low
18.48,0.0,0.12252245501690023,low
18.72,0.0,0.11731479440393361,low
18.96,0.0,0.11216818518962396,low
19.2,0.0,0.10709605961037826,low
19.44,0.0,0.10211105635254986,low
