Algorithm,Mission_Profile,Distance_km,Energy_kWh,Time_min,Risk_Pd,Waypoints,Required_Speed_m_s,Est_Turn_Rate_deg_s,Battery_kWh,Energy_OK,Speed_OK,Altitude_OK,TurnRate_OK,Curvature_OK,Feasible
A*,Balanced,10.935,64.411,12.15,0.173,182,15.0,3.72,50.0,False,True,True,True,False,False
A*,Energy,10.471,60.789,11.63,0.2279,169,15.005732301519059,3.61,50.0,False,True,True,True,False,False
A*,Risk,10.862,64.541,12.07,0.1482,188,14.99861916597625,3.87,50.0,False,True,True,True,False,False
A*,Time,10.081,60.65,11.2,0.2278,167,15.001488095238095,3.71,50.0,False,True,True,True,False,False
Dijkstra,Balanced,12.547,71.968,13.94,0.1241,213,15.001195600191297,3.8,50.0,False,True,True,True,False,False
Dijkstra,Energy,13.127,73.248,14.59,0.1262,213,14.99543066026959,3.63,50.0,False,True,True,True,False,False
Dijkstra,Risk,12.062,71.156,13.4,0.124,212,15.002487562189055,3.94,50.0,False,True,True,True,False,False
Dijkstra,Time,11.62,67.994,12.91,0.1295,204,15.001290988897495,3.93,50.0,False,True,True,True,False,False
RRT*,Balanced,8.527,45.306,9.47,0.3187,5,15.007039774727208,0.11,50.0,False,True,True,True,False,False
RRT*,Energy,8.384,44.792,9.32,0.3322,5,14.992846924177394,0.11,50.0,True,True,True,True,False,False
RRT*,Risk,9.503,50.952,10.56,0.2394,6,14.998421717171716,0.12,50.0,False,True,True,True,False,False
RRT*,Time,8.517,44.985,9.46,0.2593,4,15.005285412262156,0.08,50.0,True,True,True,True,False,False
Theta*,Balanced,10.935,64.411,12.15,0.173,182,15.0,3.72,50.0,False,True,True,True,False,False
Theta*,Energy,10.471,60.789,11.63,0.2279,169,15.005732301519059,3.61,50.0,False,True,True,True,False,False
Theta*,Risk,10.862,64.541,12.07,0.1482,188,14.99861916597625,3.87,50.0,False,True,True,True,False,False
Theta*,Time,10.081,60.65,11.2,0.2278,167,15.001488095238095,3.71,50.0,False,True,True,True,False,False
