time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,P_elec,Vt
0.0,0.0,0.0,-0.0004903315182636096,0.0,0.0,-0.09806610730603349,0.0,0.0,0.0,0.0,0.0,0.0,20.0,48.0
0.01,0.0,0.0,-0.0019593529859147506,0.0,0.0,-0.19573760034171112,0.0,0.0,0.0,0.0,0.0,0.0,20.00011285738403,48.0
0.02,0.0,0.0,-0.004401537588923856,0.0,0.0,-0.2926983533436397,0.0,0.0,0.0,0.0,0.0,0.0,20.000528770266722,48.0
0.03,0.0,0.0,-0.00780885255573227,0.0,0.0,-0.388763303448037,0.0,0.0,0.0,0.0,0.0,0.0,20.0012868632261,48.0
0.04,0.0,0.0,-0.012172328873700108,0.0,0.0,-0.483930264506975,0.0,0.0,0.0,0.0,0.0,0.0,20.002240629584794,48.0
0.05,0.0,0.0,-0.01748297598560078,0.0,0.0,-0.5781971136849035,0.0,0.0,0.0,0.0,0.0,0.0,20.003355895538956,48.0
0.06,0.0,0.0,-0.023731782420740612,0.0,0.0,-0.6715617910558221,0.0,0.0,0.0,0.0,0.0,0.0,20.00461195009857,48.0
0.07,0.0,0.0,-0.030909716421990675,0.0,0.0,-0.7640222991885908,0.0,0.0,0.0,0.0,0.0,0.0,20.00599448016253,48.0
0.08,0.0,0.0,-0.03900772656861347,0.0,0.0,-0.8555767027206318,0.0,0.0,0.0,0.0,0.0,0.0,20.007492822294893,48.0
0.09,0.0,0.0,-0.04801674239476967,0.0,0.0,-0.9462231279202848,0.0,0.0,0.0,0.0,0.0,0.0,20.009098631173757,48.0
0.1,0.0,0.0,-0.05792767500359275,0.0,0.0,-1.0359597622380692,0.0,0.0,0.0,0.0,0.0,0.0,20.010805143555324,48.0
0.11,0.0,0.0,-0.06873141767672183,0.0,0.0,-1.124784853847114,0.0,0.0,0.0,0.0,0.0,0.0,20.012606733317597,48.0
0.12,0.0,0.0,-0.08041884647918579,0.0,0.0,-1.2126967111730143,0.0,0.0,0.0,0.0,0.0,0.0,20.014498624322954,48.0
0.13,0.0,0.0,-0.09298082085953412,0.0,0.0,-1.2996937024133748,0.0,0.0,0.0,0.0,0.0,0.0,20.016476695638246,48.0
0.14,0.0,0.0,-0.10640818424511268,0.0,0.0,-1.3857742550472965,0.0,0.0,0.0,0.0,0.0,0.0,20.018537344081214,48.0
0.15,0.0,0.0,-0.12069176463238529,0.0,0.0,-1.4709368553350706,0.0,0.0,0.0,0.0,0.0,0.0,20.02067738405845,48.0
0.16,0.0,0.0,-0.13582237517220414,0.0,0.0,-1.5551800478083369,0.0,0.0,0.0,0.0,0.0,0.0,20.02289397260971,48.0
0.17,0.0,0.0,-0.1517908147499354,0.0,0.0,-1.6385024347509647,0.0,0.0,0.0,0.0,0.0,0.0,20.025184552042838,48.0
0.18,0.0,0.0,-0.16858786856034816,0.0,0.0,-1.7209026756709187,0.0,0.0,0.0,0.0,0.0,0.0,20.027546805181114,48.0
0.19,0.0,0.0,-0.18620430867717822,0.0,0.0,-1.8023794867633636,0.0,0.0,0.0,0.0,0.0,0.0,20.029978619866,48.0
0.2,0.0,0.0,-0.20463089461727998,0.0,0.0,-1.8829316403652694,0.0,0.0,0.0,0.0,0.0,0.0,20.0324780603901,48.0
0.21,0.0,0.0,-0.2238583738992831,0.0,0.0,-1.962557964401771,0.0,0.0,0.0,0.0,0.0,0.0,20.035043344211665,48.0
0.22,0.0,0.0,-0.24387748259667252,0.0,0.0,-2.041257341824539,0.0,0.0,0.0,0.0,0.0,0.0,20.037672822757603,48.0
0.23,0.0,0.0,-0.26467894588521346,0.0,0.0,-2.1190287100424183,0.0,0.0,0.0,0.0,0.0,0.0,20.04036496543565,48.0
0.24,0.0,0.0,-0.2862534785846449,0.0,0.0,-2.195871060344582,0.0,0.0,0.0,0.0,0.0,0.0,20.04311834619714,48.0
0.25,0.0,0.0,-0.3085917856945686,0.0,0.0,-2.271783437316462,0.0,0.0,0.0,0.0,0.0,0.0,20.04593163214979,48.0
0.26,0.0,0.0,-0.33168456292446197,0.0,0.0,-2.3467649382486977,0.0,0.0,0.0,0.0,0.0,0.0,20.04880357383508,48.0
0.27,0.0,0.0,-0.3555224972177469,0.0,0.0,-2.420814712539361,0.0,0.0,0.0,0.0,0.0,0.0,20.051732996869756,48.0
0.28,0.0,0.0,-0.3800962672698481,0.0,0.0,-2.493931961089694,0.0,0.0,0.0,0.0,0.0,0.0,20.05471879471486,48.0
0.29,0.0,0.0,-0.4053965440401772,0.0,0.0,-2.5661159356936185,0.0,0.0,0.0,0.0,0.0,0.0,20.057759922383866,48.0
0.3,0.0,0.0,-0.4314139912579824,0.0,0.0,-2.6373659384212487,0.0,0.0,0.0,0.0,0.0,0.0,20.06085539093876,48.0
0.31,0.0,0.0,-0.45813926592200355,0.0,0.0,-2.707681320996657,0.0,0.0,0.0,0.0,0.0,0.0,20.06400426265146,48.0
0.32,0.0,0.0,-0.48556301879387764,0.0,0.0,-2.777061484170129,0.0,0.0,0.0,0.0,0.0,0.0,20.067205646730656,48.0
0.33,0.0,0.0,-0.5136758948852402,0.0,0.0,-2.8455058770851487,0.0,0.0,0.0,0.0,0.0,0.0,20.070458695531837,48.0
